Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
230KV GANTRY UDUMALAIPET,2W,GANTRY,GANTRY,20,,,,385,,77.27938889,10.57680556,GOOD,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27938888888889 10.576805555555556, 77.27947222222222 10.577027777777777)"
T.NO-1 LILO,,DD,T,28,GANTRY - 1,24.35159132,0.8,376,"72°38'6.66""",77.27947222,10.57702778,,MISSING,YES,,,PLAIN LAND,2 EARTH WIRE - ONE EW ISGOING TO ELAYAMUTHUR LINE AND ANOTHER THUNKAVI LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27947222222222 10.577027777777777, 77.28147222222222 10.576944444444445)"
T.NO-2,,DA,S,26,01-Feb,221.1108319,2.8,372,,77.28147222,10.57694444,GOOD,GOOD,NO,"3nos 11kv, 22kv","MOD ROAD, CEMENT ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28147222222222 10.576944444444445, 77.28422222222223 10.576944444444445)"
T.NO-3,,DA,S,26,02-Mar,299.0150498,1.3,371,,77.28422222,10.57694444,GOOD,GOOD,NO,LT,MUD&CEMENT ROAD,PLAIN LAND,INSIDE SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28422222222223 10.576944444444445, 77.28719444444444 10.576916666666666)"
T.NO-4,,DA,S,26,03-Apr,327,2.78,372,,77.28719444,10.57691667,GOOD,GOOD,NO,"2nos LT, 11KV",2nos MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28719444444444 10.576916666666666, 77.29005555555555 10.576944444444445)"
T.NO-5,,DA,S,26,4--5,313.0143767,1.36,364,,77.29005556,10.57694444,GOOD,GOOD,NO,"2nos LT, 22KV",2nos MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29005555555555 10.576944444444445, 77.29302777777778 10.576972222222222)"
T.NO-6,,DB,T,24,5--6,325.0553799,1.2,361,"0°20'4.86""",77.29302778,10.57697222,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29302777777778 10.576972222222222, 77.29566666666666 10.577)"
T.NO-7,,DA,S,26,6--7,288.0850569,1.43,361,,77.29566667,10.577,GOOD,GOOD,NO,22KV,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29566666666666 10.577, 77.29869444444444 10.576972222222222)"
T.NO-8,,DA,S,26,7--8,334.0134728,1.1,355,,77.29869444,10.57697222,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29869444444444 10.576972222222222, 77.30152777777778 10.576972222222222)"
T.NO-9,,DA,S,26,8--9,308.0259729,1.62,355,,77.30152778,10.57697222,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30152777777778 10.576972222222222, 77.30438888888888 10.576972222222222)"
