S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Karambarai Gantry,2W,,Gantry,15,-,-,-,331,,11.29541667,77.00853056,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00853055555555 11.295416666666666, 77.00859166666666 11.295055555555555)"
2,1,,Tension,DD+0,28,4-5,42,0.9,327," 91°45’41.64""LT",11.29505556,77.00859167,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00859166666666 11.295055555555555, 77.00928055555555 11.295213888888888)"
3,2,,Tension,MC+3,48,5-6,80,0.3,323," 87°58’19.52""LT",11.29521389,77.00928056,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00928055555555 11.295213888888888, 77.0091 11.297002777777777)"
4,3,,Tension,MC+3,48,6-7,206,1.8,323," 17°37’43.42""RT",11.29700278,77.0091,OK,OK,230KV Karamadai-Karuvalur,-,Plain,"Common for Irumbarai,BB-II & Sandinallah ,Thudiyalur-I Feeders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0091 11.297002777777777, 77.00940555555556 11.298863888888889)"
5,4,,Tension,DB+0,24,7-8,213,9.6,319," 4°28’22.34""RT",11.29886389,77.00940556,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00940555555556 11.298863888888889, 77.01008333333333 11.301436111111112)"
6,5,,Tension,DD+0,28,8-9,300,0.9,317," 37°31’24.83""RT",11.30143611,77.01008333,OK,OK,"33kv, 400kv PGCIL -Karamadai-MTPS","CTR, Two Roads",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01008333333333 11.301436111111112, 77.01093888888889 11.302080555555555)"
7,6,,Tension,MC+3,48,9-10,120,0.8,321," 35°44’19.58""RT",11.30208056,77.01093889,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01093888888889 11.302080555555555, 77.01383611111112 11.302186111111112)"
8,7,,Tension,DD+0,28,10-11,321,0.2,315," 7°2’50.02""RT",11.30218611,77.01383611,OK,OK,"LT, Two 33kv, 230KV Karamadai-Karuvalur",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01383611111112 11.302186111111112, 77.01684722222222 11.30191388888889)"
9,8,,Tension,DB+0,24,11-12,334,0.3,312, 11°44’50.59”LT,11.30191389,77.01684722,OK,OK,LT,"Canal, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01684722222222 11.30191388888889, 77.01942222222222 11.302230555555557)"
10,9,,Suspension,DA+0,26,12-13,287,0.2,311,,11.30223056,77.01942222,OK,OK,33kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01942222222222 11.302230555555557, 77.02237222222222 11.30258888888889)"
11,10,,Tension,DC+0,26,13-14,330,0.8,312, 26°28’16.33”LT,11.30258889,77.02237222,OK,OK,230KV Karamadai-Karuvalur,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02237222222222 11.30258888888889, 77.0245361111111 11.304019444444446)"
12,11,,Suspension,DA+0,26,14-15,285,1.9,310,,11.30401944,77.02453611,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0245361111111 11.304019444444446, 77.02666944444444 11.305444444444445)"
13,12,,Tension,DD+0,28,15-16,287,5.1,322," 36°44’57.72""RT",11.30544444,77.02666944,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02666944444444 11.305444444444445, 77.02936944444444 11.305308333333334)"
14,13,,Tension,DB+0,24,16-17,300,0.2,318, 12°53’30.01”LT,11.30530833,77.02936944,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02936944444444 11.305308333333334, 77.03182777777778 11.305741666666668)"
15,14,,Tension,DD+0,28,17-18,276,0.2,328, 52°14’6.59”LT,11.30574167,77.03182778,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03182777777778 11.305741666666668, 77.03318333333333 11.308280555555557)"
16,15,,Suspension,DA+0,26,18-19,324,1.3,327,,11.30828056,77.03318333,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03318333333333 11.308280555555557, 77.03450277777777 11.310858333333334)"
17,16,,Suspension,DA+0,26,19-20,323,2.8,319,,11.31085833,77.03450278,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03450277777777 11.310858333333334, 77.03576388888888 11.313236111111111)"
18,17,,Suspension,DA+0,26,20-21,301,1,324,,11.31323611,77.03576389,OK,OK,-,"Canal, CTR",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03576388888888 11.313236111111111, 77.0371 11.315783333333334)"
19,18,2W,Tension,DD+0,28,21-22,323,3,324," 46°13’9.34""LT",11.31578333,77.0371,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0371 11.315783333333334, 77.03623055555555 11.318402777777777)"
20,19,,Tension,DC+0,26,22-23,310,1,323," 16°21’31.48""RT",11.31840278,77.03623056,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03623055555555 11.318402777777777, 77.03611388888889 11.321294444444444)"
21,20,,Suspension,DA+0,26,23-24,322,0.8,319,,11.32129444,77.03611389,OK,OK,33kv,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03611388888889 11.321294444444444, 77.03600555555555 11.323997222222221)"
22,21,,Tension,DB+0,24,24-25,305,0.3,319, 0°48’39.62”LT,11.32399722,77.03600556,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03600555555555 11.323997222222221, 77.035875 11.326547222222223)"
23,22,,Suspension,DA+0,26,25-26,286,2.1,311,,11.32654722,77.035875,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.035875 11.326547222222223, 77.03576666666666 11.329277777777778)"
24,23,,Tension,DC+0,26,26-27,308,5,314, 20°17’18.21”LT,11.32927778,77.03576667,OK,OK,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03576666666666 11.329277777777778, 77.03490277777777 11.3314)"
25,24,,Suspension,DA+0,26,27-28,260,1.2,307,,11.3314,77.03490278,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03490277777777 11.3314, 77.03406666666666 11.333475)"
26,25,,Suspension,DA+0,26,28-29,253,0.5,308,,11.333475,77.03406667,OK,OK,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03406666666666 11.333475, 77.03322777777778 11.335525)"
27,26,,Tension,DB+0,24,29-30,248,0.2,314," 2°7’43.91""RT",11.335525,77.03322778,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03322777777778 11.335525, 77.03250277777778 11.337616666666667)"
28,27,,Tension,DB+0,24,30-31 LILO - METTUPALAYAM,249,3,311, 13°53’55.7”LT,11.33761667,77.03250278,OK,OK,-,"CTR, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03250277777778 11.337616666666667, 77.03160555555556 11.33898888888889)"
29,28,,Tension,DD+0,28,31 LILO - METTUPALAYAM-32,188,0.3,303," 32°4’2""RT",11.33898889,77.03160556,OK,OK,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03160555555556 11.33898888888889, 77.03153333333333 11.341880555555557)"
30,29,,Tension,DB+0,24,32-33,323,0.8,301, 2°57’8.35”LT,11.34188056,77.03153333,OK,OK,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03153333333333 11.341880555555557, 77.03143055555556 11.343055555555557)"
31,30,,Suspension,DA+0,26,33-34,135,0.2,307,,11.34305556,77.03143056,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03143055555556 11.343055555555557, 77.03126944444445 11.344883333333334)"
32,31 LILO - METTUPALAYAM,3W,Tension,DD+0,28,34-35,209,0.8,314," 76°9’8.04""RT",11.34488333,77.03126944,OK,OK,-,-,Plain,LILO POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03126944444445 11.344883333333334, 77.03318888888889 11.345555555555556)"
33,32,,Suspension,SA+0,26,35-36,225,7.8,300,,11.34555556,77.03318889,OK,OK,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03318888888889 11.345555555555556, 77.03548611111111 11.346327777777779)"
34,33,,Suspension,SA+0,26,36-37,269,4,314,,11.34632778,77.03548611,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03548611111111 11.346327777777779, 77.03741388888889 11.346975)"
35,34,,Tension,SB+0,24,37-38,228,3,321, 7°24’46.89”LT,11.346975,77.03741389,OK,OK,33kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03741388888889 11.346975, 77.04004166666667 11.348319444444446)"
36,35,,Suspension,SA+0,26,38-39,328,0.6,323,,11.34831944,77.04004167,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04004166666667 11.348319444444446, 77.04278333333333 11.349755555555555)"
37,36,,Suspension,SA+0,26,39-40,341,7.7,324,,11.34975556,77.04278333,OK,OK,"LT, 33kv",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04278333333333 11.349755555555555, 77.04493333333333 11.350872222222222)"
38,37,,Tension,SB+0,24,40-41,273,0.1,327," 6°49’22.49""RT",11.35087222,77.04493333,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04493333333333 11.350872222222222, 77.04720277777777 11.35175)"
39,38,,Suspension,SA+0,26,41-42,269,0.2,326,,11.35175,77.04720278,OK,OK,-,Two CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04720277777777 11.35175, 77.04975555555555 11.352736111111112)"
40,39,,Suspension,SA+0,26,42-43,304,0.7,326,,11.35273611,77.04975556,OK,OK,"33kv, Two LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04975555555555 11.352736111111112, 77.05231666666667 11.353722222222222)"
41,40,,Suspension,SA+0,26,43-44,305,0.6,329,,11.35372222,77.05231667,OK,OK,"LT, Three 33kv",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05231666666667 11.353722222222222, 77.05429166666666 11.354474999999999)"
42,41,2W,Tension,SB+0,24,44-45,236,2,325,"4°5’52.15""RT",11.354475,77.05429167,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05429166666666 11.354474999999999, 77.05681666666666 11.355216666666667)"
43,42,,Suspension,SA+0,26,45-46,293,5,319,,11.35521667,77.05681667,OK,OK,Two 33kv,"CTR, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05681666666666 11.355216666666667, 77.05906666666667 11.35586111111111)"
44,43,,Suspension,SA+0,26,46-47,259,3.8,325,,11.35586111,77.05906667,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05906666666667 11.35586111111111, 77.06170833333333 11.35661111111111)"
45,44,,Tension,SC+0,26,47-48,303,0.7,336," 20°11’34.79""RT",11.35661111,77.06170833,OK,OK,33kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06170833333333 11.35661111111111, 77.06427222222221 11.356413888888888)"
46,45,,Suspension,SA+0,26,48-49,286,1.4,334,,11.35641389,77.06427222,OK,OK,-,"CTR, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06427222222221 11.356413888888888, 77.06646944444444 11.356244444444444)"
47,46,,Tension,SB+0,24,49-50,244,0.9,350, 12°28’35.0”LT,11.35624444,77.06646944,OK,OK,"LT, Two 33kv",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06646944444444 11.356244444444444, 77.06876944444444 11.356588888888888)"
48,47,,Suspension,SA+0,26,50-51,257,3.7,351,,11.35658889,77.06876944,OK,OK,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06876944444444 11.356588888888888, 77.07139166666666 11.356977777777777)"
49,48,,Tension,SB+0,24,51-52,294,5.2,360," 4°6’32.49""RT",11.35697778,77.07139167,OK,OK,33kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07139166666666 11.356977777777777, 77.07428888888889 11.357191666666667)"
50,49,,Suspension,SA+0,26,52-Irumbarai Gantry,319,2.3,353,,11.35719167,77.07428889,OK,OK,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07428888888889 11.357191666666667, 77.07705555555555 11.357408333333334)"
51,50,,Suspension,SA+0,26,Irumbarai Gantry-,308,2.8,348,,11.35740833,77.07705556,OK,OK,-,"CTR, Canal",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07705555555555 11.357408333333334, 77.079925 11.357613888888888)"
52,51,,Suspension,SA+0,26,-,318,5.8,356,,11.35761389,77.079925,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.079925 11.357613888888888, 77.08273888888888 11.357838888888889)"
53,52,,Tension,SD+0,28,-,314,2.7,370," 17°16’48.52""LT",11.35783889,77.08273889,OK,OK,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08273888888888 11.357838888888889, 77.08288611111111 11.357891666666667)"
54,Irumbarai Gantry,2W,,Gantry,15,-,25,-,369,,11.35789167,77.08288611,OK,OK,-,-,Plain,No Peak Available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
