Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 64 LILO vanjipalayam,,,,,,329,,77.25963888888889,11.124416666666667,GOOD,GOOD,,,PLAIN,NEED TWO WAY JUNCTION BOX.ONE EARTH WIRE CONNECT WITH OUR LINE ANOTHER WIRE IS CONNECT WITH THINGALUR FEEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25963888888889 11.124416666666667, 77.259 11.126138888888889)"
T.NO 1,T,26,64 LILO -1,202.48456731316588,4.35,330,"22°18'54""",77.259,11.126138888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.259 11.126138888888889, 77.25908333333334 11.12813888888889)"
T.NO 2,S,26,1-2,222.14409737825582,7.8,331,,77.25908333333334,11.12813888888889,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25908333333334 11.12813888888889, 77.25916666666667 11.129861111111111)"
T.NO 3,T,24,2-3,189.12958520548815,5.35,329,"2°5'25""",77.25916666666667,11.129861111111111,GOOD,GOOD,2nos 11kv,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25916666666667 11.129861111111111, 77.25919444444445 11.131777777777778)"
T.NO 4,T,24,3-4,212,9.45,331,"7°25'37""",77.25919444444445,11.131777777777778,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25919444444445 11.131777777777778, 77.2595 11.134)"
T.NO 5,S,26,4-5,249.19470299346253,4.75,332,,77.2595,11.134,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2595 11.134, 77.2598611111111 11.1365)"
T.NO 6,S,26,5-6,279.32955446926843,3.15,338,,77.2598611111111,11.1365,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2598611111111 11.1365, 77.26016666666666 11.138916666666667)"
T.NO 7,S,26,6-7,271.1401851441427,8.65,345,,77.26016666666666,11.138916666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26016666666666 11.138916666666667, 77.26058333333333 11.141888888888888)"
T.NO 8,T,28,7-8,329.81509971497667,6.7,348,"54°39'30""",77.26058333333333,11.141888888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26058333333333 11.141888888888888, 77.25841666666666 11.143916666666666)"
T.NO 9,T,24,8-9,326.93118541980664,7.15,355,"10°54'37""",77.25841666666666,11.143916666666666,GOOD,GOOD,"2nos LT,11kv, 230KV CONSTRUCTED LINE",TAAR ROAD,PLAIN,PGCIL- GOPI 230KV CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25841666666666 11.143916666666666, 77.25719444444445 11.145583333333333)"
T.NO 10,T,24,9-10,229.6105398277701,3.15,350,"5°55'25""",77.25719444444445,11.145583333333333,GOOD,GOOD,"LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25719444444445 11.145583333333333, 77.25638888888889 11.146472222222222)"
T.NO 11 lilo,T,28,10-11,132.38202294873727,8.1,343,"74°57'31""",77.25638888888889,11.146472222222222,GOOD,GOOD,,,PLAIN,NEED TWO WAY JUNCTION BOX.ONE EARTH WIRE CONNECT WITH OUR LINE ANOTHER WIRE IS CONNECT WITH AVINASI FEEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25638888888889 11.146472222222222, 77.25719444444445 11.147722222222221)"
T.NO 1,T,28,11-1,162.82813024781683,6.3,346,"55°57'13""",77.25719444444445,11.147722222222221,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25719444444445 11.147722222222221, 77.25836111111111 11.147722222222221)"
T.NO 2,T,24,1-2,129.0348790056394,7.6,349,"6°28'7""",77.25836111111111,11.147722222222221,GOOD,GOOD,"LT,11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25836111111111 11.147722222222221, 77.26 11.147583333333333)"
T.NO 3,T,28,2-3,178.71765441612084,3.7,352,"91°59'19""",77.26,11.147583333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26 11.147583333333333, 77.25994444444444 11.147055555555555)"
T.NO 4,T,26,3-4,56.43580423808985,2.1,357,"17°33'45""",77.25994444444444,11.147055555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25994444444444 11.147055555555555, 77.26 11.146722222222222)"
GANTRY  110 KV VANJIPALAYAM ,GANTRY,,4-GANTRY,38.63935817272331,,358,,77.26,11.146722222222222,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=SUM(E8:E23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
