,Tower No, Supspension/Tenion,TOWER TYPE,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 15/1 LILO,T,LILO,28,,,,,309,,77.37947222222222,11.192722222222223,GOOD,GOOD,,,,LILO FROM PERUMANALLUR LILO TO PERUMANALLUR SS 110KV LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37947222222222 11.192722222222223, 77.37863888888889 11.192194444444445)"
2,T.NO 2,T,DD,28,15/1-2,NO,107.07007051459338,2.75,328,"59°48'44""",77.37863888888889,11.192194444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37863888888889 11.192194444444445, 77.37724999999999 11.192916666666667)"
3,T.NO 3,T,DB,24,2-3,NO,171.73526137634053,4.5,329,"3°31'50""",77.37724999999999,11.192916666666667,GOOD,GOOD,,"MUD ROAD,DRAIN",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37724999999999 11.192916666666667, 77.37577777777777 11.193777777777777)"
4,T.NO 4,T,DC,26,3-4,NO,186.93849255838134,3.45,330,"24°54'10""",77.37577777777777,11.193777777777777,GOOD,GOOD,LT,MUD ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37577777777777 11.193777777777777, 77.37430555555555 11.193944444444444)"
5,T.NO 5,T,DC,26,4-5,NO,162.78820596099706,7.15,331,"20°34'19""",77.37430555555555,11.193944444444444,GOOD,GOOD,"2nos LT,2nos 11kv",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37430555555555 11.193944444444444, 77.37249999999999 11.193472222222223)"
6,T.NO 6,T,DB,24,5-6,YES,201.8142710513803,9.1,332,"13°35'20""",77.37249999999999,11.193472222222223,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37249999999999 11.193472222222223, 77.37016666666666 11.193444444444445)"
7,T.NO 7,T,DC,26,6-7,NO,256.0703028466987,8.2,333,"26°42'11""",77.37016666666666,11.193444444444445,GOOD,GOOD,,DRAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37016666666666 11.193444444444445, 77.36858333333333 11.194194444444445)"
8,T.NO 8,T,DB,24,7-8,NO,191.44973230589798,6.3,334,"4°19'29""",77.36858333333333,11.194194444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36858333333333 11.194194444444445, 77.36669444444443 11.195277777777777)"
9,T.NO 9,T,DC,26,8-9,NO,238.27085428142487,4.75,335,"19°27'34""",77.36669444444443,11.195277777777777,GOOD,GOOD,230kv DC CROSSING ABOVE OUR LINE,,PLAIN,PGCIL-INGUR 230KV CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36669444444443 11.195277777777777, 77.36436111111111 11.195722222222223)"
10,T.NO 10,T,DB,24,9-10,YES,259.11580422660444,5.1,336,"12°9'33""",77.36436111111111,11.195722222222223,GOOD,GOOD,"LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36436111111111 11.195722222222223, 77.36219444444444 11.195666666666668)"
