S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 44/1 KARUVALUR 110kv LILO,,T,DC,26,NIL,NIL,3.35,367,"00°00'00""",77.18833333,11.18972222,GOOD,GOOD,NIL,NIL,PLAIN,KARUVALUR 110KV LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18833333333333 11.189722222222223, 77.18919444444445 11.19213888888889)"
2,T.NO 2,,T,DC,26,44/1-2,285.5678553,4.85,358,"29°28'38""",77.18919444,11.19213889,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18919444444445 11.19213888888889, 77.19088888888889 11.193611111111112)"
3,T.NO 3,,T,DD,28,02-Mar,244.4033551,5.35,359,"31°5'46""",77.19088889,11.19361111,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19088888888889 11.193611111111112, 77.19327777777778 11.194)"
4,T.NO 4,,T,DC,26,03-Apr,265.3770902,6.05,357,"19°17'57""",77.19327778,11.194,GOOD,GOOD,110kv CROSSING ABOVE OUR LINE ,NIL,PLAIN,110KV KARUVALUR - ARASUR -I & THEKKALUR LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19327777777778 11.194, 77.19555555555556 11.195277777777777)"
5,T.NO 5,,T,DB,24,04-May,284.4116735,7.65,356,"2°26'14""",77.19555556,11.19527778,GOOD,GOOD,"HT,LT",TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19555555555556 11.195277777777777, 77.19772222222223 11.196611111111112)"
6,T.NO 6,,T,DB,24,05-Jun,279.9464234,8.05,354,"11°1'41""",77.19772222,11.19661111,GOOD,GOOD,"HT,2nos LT",NIL,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19772222222223 11.196611111111112, 77.20002777777778 11.197472222222222)"
7,T.NO 7,,T,DD,28,06-Jul,269.0910627,5.65,354,"99°30'34""",77.20002778,11.19747222,GOOD,GOOD,"2nos HT,LT",TAAR ROAD,PLAIN,ELACHIPALAYAM VILLAGE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20002777777778 11.197472222222222, 77.1986388888889 11.199833333333334)"
8,T.NO 8,,T,DD,28,07-Aug,302.1853736,3.95,360,"81°31'28""",77.19863889,11.19983333,GOOD,GOOD,"HT,2nos LT",TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1986388888889 11.199833333333334, 77.1996388888889 11.20061111111111)"
9,T.NO 9,,T,DD,28,08-Sep,137.9057649,6.89,358,"83°37'16""",77.19963889,11.20061111,GOOD,GOOD,HT,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1996388888889 11.20061111111111, 77.19947222222223 11.200861111111111)"
10,GT-KARAVALUR 110kv SS,2W,T,GANTRY,15,9-GT,33.28663395,NIL,364,"00°00'00""",77.19947222,11.20086111,GOOD,EARTH WIRE NOT PROVIDED,NIL,NIL,PLAIN,EARTH WIRE TERMINATED IN TAKE OFF TOWER OF KARUVALUR 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                                                                                                                                                                                                                                               TOWER HEIGHT; A-TYPE 26M , B-TYPE 24M ,                                                                                                                                                                                                                                                                                                                                     C-TYPE 26M, D-TYPE 28M,GANTRY TOWER 15M,                                                                                                                                                                                                                                                                                                                             MA-45,MB-42M,MC-45M,MD-48M                                                                                                                                                                                                                                                                                                                                                               M-MULTI CIRCUIT, D-DOUBLE CIRCUIT, S-SINGLE                                                                                                                                                                                   CIRCUIT  ",,,,,,TOTAL,2102M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.M.ARULMANIKANDAN                                                                                                                                                         Assistant manager                                                                                                                                                                                                                                                                                                                                                  M/S Sterlite power transmission Limited  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
