S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 45 THEKKALUR LILO,,T,DC,26,NIL,NIL,2.05,364,"0°00'00""",77.19127778,11.18913889,GOOD,GOOD,NIL,NIL,PLAIN,THEKKALUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19127777777778 11.18913888888889, 77.19088888888889 11.186666666666667)"
2,T.NO 1,,T,DB,24,45-1,274.7817316,3.32,362,"0°25'14""",77.19088889,11.18666667,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19088888888889 11.186666666666667, 77.19052777777779 11.184000000000001)"
3,T.NO 2,,S,DA,26,01-Feb,298.558202,2.9,368,"0°00'00""",77.19052778,11.184,GOOD,GOOD,LT,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19052777777779 11.184000000000001, 77.1901388888889 11.181388888888888)"
4,T.NO 3,,S,DA,26,02-Mar,290.628629,4.28,364,"0°00'00""",77.19013889,11.18138889,GOOD,GOOD,NIL,TAAR ROAD,PLAIN,THEKKALUR - KARUVALUR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1901388888889 11.181388888888888, 77.18975 11.178694444444444)"
5,T.NO 4,,T,DB,24,03-Apr,301.9354236,3.65,363,"10°11'22""",77.18975,11.17869444,GOOD,GOOD,NIL,MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18975 11.178694444444444, 77.18986111111111 11.176)"
6,T.NO 5,,S,DA,26,04-May,299.3760177,5.39,359,"0°00'00""",77.18986111,11.176,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18986111111111 11.176, 77.18994444444445 11.173388888888889)"
7,T.NO 6,,S,DA,26,05-Jun,290.2085457,2.9,359,"0°00'00""",77.18994444,11.17338889,GOOD,GOOD,"HT,LT",MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18994444444445 11.173388888888889, 77.19002777777779 11.170666666666666)"
8,T.NO 7,,T,DC,26,06-Jul,299.2407058,5.65,355,"25°30'52""",77.19002778,11.17066667,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19002777777779 11.170666666666666, 77.19130555555556 11.168249999999999)"
9,T.NO 8,,S,DA,26,07-Aug,301.9437034,6.5,350,"0°00'00""",77.19130556,11.16825,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19130555555556 11.168249999999999, 77.19233333333334 11.166277777777777)"
10,T.NO 9,,S,DA,26,08-Sep,246.8947144,4.39,349,"0°00'00""",77.19233333,11.16627778,GOOD,GOOD,HT,TAAR ROAD,PLAIN,THEKKALUR - KARUVALUR ROAD (UPPILIPALAYAM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19233333333334 11.166277777777777, 77.19369444444445 11.163722222222223)"
11,T.NO 10,,S,DA,26,09-Oct,316.7664755,3.1,344,"0°00'00""",77.19369444,11.16372222,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19369444444445 11.163722222222223, 77.19505555555556 11.161138888888889)"
