Tower No,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY ARASUR PGCIL,,,20,,,,404,,77.1913888888889,11.12786111111111,GOOD,MISSING,,,PLAIN,ARASUR 230KV SS (PGCIL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1913888888889 11.12786111111111, 77.19133333333333 11.128111111111112)"
T.NO 1,T,DD,28,GT-1,28.160255680657446,1.84,368,"73°29'44""",77.19133333333333,11.128111111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19133333333333 11.128111111111112, 77.19111111111111 11.128111111111112)"
T.NO 2 ,T,DB,24,1-2,23,2.46,375,"7°38'0""",77.19111111111111,11.128111111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19111111111111 11.128111111111112, 77.19022222222223 11.128)"
T.NO 3,T,MD,45,2-3,97.86725703727473,3.14,375,"30°3'45""",77.19022222222223,11.128,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19022222222223 11.128, 77.18808333333334 11.12888888888889)"
T.NO 4,T,MD,45,3-4,254.23217734976035,2.8,376,"65°42'30""",77.18808333333334,11.12888888888889,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18808333333334 11.12888888888889, 77.18802777777778 11.131111111111112)"
T.NO 5,T,MC,45,4-5,246.13004692641653,4.75,370,"17°25'13""",77.18802777777778,11.131111111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18802777777778 11.131111111111112, 77.18847222222223 11.132694444444445)"
T.NO 6,T,MB,45,5-6,182.69373278796402,3.47,369,"10°56'49""",77.18847222222223,11.132694444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18847222222223 11.132694444444445, 77.18858333333334 11.133833333333333)"
T.NO 7,T,MC,45,6-7,124.4025723206719,5.83,365,"17°17'53""",77.18858333333334,11.133833333333333,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18858333333334 11.133833333333333, 77.18927777777778 11.135472222222221)"
T.NO 8,T,MB,45,7-8,198.3229689168655,7.15,363,"5°6'37""",77.18927777777778,11.135472222222221,GOOD,GOOD,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18927777777778 11.135472222222221, 77.18986111111111 11.13738888888889)"
T.NO 9,T,MB,45,8-9,221.44976857066254,3.94,357,"10°45'38""",77.18986111111111,11.13738888888889,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18986111111111 11.13738888888889, 77.19008333333333 11.139277777777778)"
T.NO 10,T,MB,45,9-10,209.16022566444127,6.45,359,"10°6'51""",77.19008333333333,11.139277777777778,GOOD,GOOD,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19008333333333 11.139277777777778, 77.19058333333334 11.140916666666666)"
T.NO 11,T,MB,45,10-11,190.5203401214684,4.67,357,"13°16'43""",77.19058333333334,11.140916666666666,GOOD,GOOD,,"MUD ROAD,CANAL",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19058333333334 11.140916666666666, 77.19072222222222 11.14325)"
T.NO 12,T,MB,45,11-12,259.3260495977988,7.55,353,"4°17'54""",77.19072222222222,11.14325,GOOD,GOOD,2nos LT,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19072222222222 11.14325, 77.19091666666667 11.14461111111111)"
T.NO 13,T,MB,45,12-13,152.190669884852,4.25,356,"7°9'26""",77.19091666666667,11.14461111111111,GOOD,GOOD,"LT,11kv",CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19091666666667 11.14461111111111, 77.19136111111112 11.146277777777778)"
T.NO 14,T,MD,45,13-14,189.90787240133042,2.82,353,"77°36'37""",77.19136111111112,11.146277777777778,GOOD,GOOD,"2nos LT,2nos 22kv","CANAL,TAAR ROAD",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19136111111112 11.146277777777778, 77.19 11.146972222222221)"
