Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,
T.NO-196/1 LILO 110KV SIPCOT-1,DD,T,28,196/2-196/1,95.60334722173695,1.27,304,"90°0'41.94""",77.55465824,11.25398455,GOOD,GOOD,NO,11KV,TAAR ROAD,INSIDE SIPCOT,NEED 3 WAY JUNCTION BOX.2 EARTH WIRE ON THIS TOWER.1 EARTH WIRE CONTINUE TO OUR LINE ANOTHER EARTH WIRE CONNECTED FROM INGUR T.NO-197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55465824 11.25398455, 77.55284157 11.25349417)",,,,,,,,,,,,,,
T.NO-195,DA,S,26,196/1-195,205.7668583615933,2.25,301,,77.55284157,11.25349417,GOOD,GOOD,NO,"2nos 22KV,2nos 11KV","TAAR ROAD,NALA",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55284157 11.25349417, 77.5503277 11.25282905)",,,,,,,,,,,,,,
T.NO-194,DA,S,26,195-194,284.3448610402516,3.11,302,,77.5503277,11.25282905,GOOD,GOOD,NO,11KV,"TAAR  ROAD, MUDROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5503277 11.25282905, 77.54819913 11.25226)",,,,,,,,,,,,,,
T.NO-193,DA,S,26,194-193,240.9336008115099,4.55,310,,77.54819913,11.25226,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54819913 11.25226, 77.54577713 11.25163019)",,,,,,,,,,,,,,
T.NO-192,DA,S,26,193-192,273.64210202379314,3.66,311,,77.54577713,11.25163019,GOOD,GOOD,NO,LT,"TAAR  ROAD, MUDROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54577713 11.25163019, 77.5433455 11.25094623)",,,,,,,,,,,,,,
T.NO-191,DB,T,30,192-191,276.24083695210595,15.4,312,"0°2'8.97""",77.5433455,11.25094623,GOOD,GOOD,NO,,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5433455 11.25094623, 77.54095057 11.25027097)",,,,,,,,,,,,,,
T.NO-190,DB,T,30,191-190,272.12129648375554,5.8,308,"1°29'32.09""",77.54095057,11.25027097,GOOD,GOOD,NO,230KV DC LOINE CROSSING BELOW OUR LINE,TAARROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54095057 11.25027097, 77.53851036 11.24965029)",,,,,,,,,,,,,,
T.NO-189,DA,S,26,190-189,275.3125496594734,3.15,310,,77.53851036,11.24965029,GOOD,GOOD,NO,"LT,11KV",,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53851036 11.24965029, 77.53620776 11.24906455)",,,,,,,,,,,,,,
T.NO-188,DA,S,26,189-188,259.7883754135277,4.55,313,,77.53620776,11.24906455,GOOD,GOOD,NO,2nos LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53620776 11.24906455, 77.53393255 11.24846953)",,,,,,,,,,,,,,
T.NO-187,DA,S,26,188-187,257.1536505671269,9.12,314,,77.53393255,11.24846953,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53393255 11.24846953, 77.53115315 11.24778842)",,,,,,,,,,,,,,
