Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,
Thingalur Gantry ,T,20,,,,,,11.314543,77.493927,GOOD,GOOD,,,,Inside 230 kv thingalur ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.493927 11.314543, 77.49438 11.31457)",,,,,,,,,,,,
1,T,28,Gntry to 1,49.56976022892535,0.9,293,"30°13'5"" RT",11.31457,77.49438,GOOD,GOOD,11 kv -LT Line crossing ,,Plain,Inside 110 kv  kv thingalur ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49438 11.31457, 77.496345 11.313592)",,,,,,,,,,,,
2,T,28,1 to 2,240.37908465421077,3.2,280,"90°15'21"" RT",11.313592,77.496345,GOOD,GOOD,,TAR ROAD ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.496345 11.313592, 77.495617 11.312183)",,,,,,,,,,,,
3,T,26,2 to 3,175.04391806014434,3.7,277,"20°4'22"" LT",11.312183,77.495617,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.495617 11.312183, 77.495372 11.310198)",,,,,,,,,,,,
4,T,24,3 to 4,221.31244451592207,4.4,284,"0°38'14"" LT",11.310198,77.495372,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.495372 11.310198, 77.495148 11.308198)",,,,,,,,,,,,
5,T,28,4 to 5 ,222.69675361161555,6.6,286,"47°17'5"" LT",11.308198,77.495148,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.495148 11.308198, 77.496645 11.306497)",,,,,,,,,,,,
6,T,26,5 to 6,249.35582921819932,5.7,286,"21°39'19"" RT",11.306497,77.496645,GOOD,GOOD,LT Line crossing ,SAND ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.496645 11.306497, 77.497412 11.304338)",,,,,,,,,,,,
7,T,28,6 to 7,253.2078985824433,5.2,284,"30°2'56"" RT",11.304338,77.497412,GOOD,GOOD,LT Line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.497412 11.304338, 77.497002 11.302202)",,,,,,,,,,,,
8,T,24,7 to 8,240.60526098055018,7.2,282,"11°37'33"" LT",11.302202,77.497002,GOOD,GOOD,,TAR ROAD ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.497002 11.302202, 77.497031 11.300378)",,,,,,,,,,,,
9,T,24,8 to 9,201.89493385502476,6.1,288,"9°28'21"" RT",11.300378,77.497031,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.497031 11.300378, 77.49674 11.298473)",,,,,,,,,,,,
10,T,24,9 to 10 ,213.21736644643065,5.7,296,"0°00'58"" LT",11.298473,77.49674,GOOD,GOOD,,,Plain,,,      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49674 11.298473, 77.496402 11.296256)",,,,,,,,,,,,
