S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT ANTHIYUR 230KV SS,T,GT,15,,,,233,,77.59994444444445,11.566888888888888,GOOD,,,,PLAIN,230KV ANTHIYUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59994444444445 11.566888888888888, 77.6 11.566694444444444)"
2,T.NO 85,T,DB,24,GT-85,22.80350850198276,2.84,232,"7°31'38""",77.6,11.566694444444444,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6 11.566694444444444, 77.60019444444444 11.566222222222223)"
3,T.NO 84,T,DD,28,85-84,54.230987451824994,2.38,238,"82°1'11""",77.60019444444444,11.566222222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60019444444444 11.566222222222223, 77.59980555555555 11.566)"
4,T.NO 83,T,DD,28,84-83,48.877397639399746,3.03,233,"141°17'54""",77.59980555555555,11.566,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59980555555555 11.566, 77.60247222222222 11.565611111111112)"
5,T.NO 82/80 LILO POONACHI ,T,DB,24,83-82,296.8450774393943,4.32,222,"0°46'0""",77.60247222222222,11.565611111111112,GOOD,GOOD,"LT1,",ROAD,PLAIN,POONACHI LILO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60247222222222 11.565611111111112, 77.60541666666666 11.565138888888889)"
6,T.NO 81,T,DB,24,82-81,323.72982562624657,16.42,228,"11°37'17""",77.60541666666666,11.565138888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60541666666666 11.565138888888889, 77.60802777777778 11.565194444444446)"
7,T.NO 80,S,DA,26,81-80,286.11186623417075,9.27,233,,77.60802777777778,11.565194444444446,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60802777777778 11.565194444444446, 77.61033333333333 11.565333333333333)"
8,T.NO 79,S,DA,26,80-79,251.6445906432324,17.48,232,,77.61033333333333,11.565333333333333,GOOD,GOOD,HT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61033333333333 11.565333333333333, 77.61277777777777 11.565444444444445)"
9,T.NO 78,T,DB,24,79-78,268.41944787961995,10.82,231,"0°22'42""",77.61277777777777,11.565444444444445,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61277777777777 11.565444444444445, 77.61533333333333 11.565583333333334)"
10,T.NO 77,T,DB,24,78-77,278.4600509947522,7.36,230,"0°21'30""",77.61533333333333,11.565583333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61533333333333 11.565583333333334, 77.61569444444444 11.565583333333334)"
11,T.NO 76 DP,T,DP,15,77-76,39.05124837953327,DP,233,,77.61569444444444,11.565583333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61569444444444 11.565583333333334, 77.61602777777777 11.565611111111112)"
12,T.NO 75 DP,T,DP,15,76-75,35.05709628591621,DP,233,,77.61602777777777,11.565611111111112,GOOD,GOOD,230KV,,PLAIN,MTPS - ANTHIYUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61602777777777 11.565611111111112, 77.61658333333332 11.56563888888889)"
13,T.NO 74,T,DB,24,75-74,63.198101237299845,9.24,235,"1°29'1""",77.61658333333332,11.56563888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61658333333332 11.56563888888889, 77.61941666666667 11.565750000000001)"
14,T.NO 73,S,DA,26,74-73,309.3638634359223,6.82,240,,77.61941666666667,11.565750000000001,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61941666666667 11.565750000000001, 77.62194444444444 11.565861111111111)"
15,T.NO 72,S,DA,26,73-72,276.4633791300396,8.62,237,,77.62194444444444,11.565861111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62194444444444 11.565861111111111, 77.62477777777777 11.565972222222223)"
16,T.NO 71,S,DA,26,72-71,307.2751210234893,10.42,232,,77.62477777777777,11.565972222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62477777777777 11.565972222222223, 77.62769444444444 11.56613888888889)"
