S. No ,Tower No, Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Lilo  257A (1),T,26,,,12.08,249,,11.42584,77.41634,GOOD,GOOD,LT/11KV,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41634 11.42584, 77.41613 11.42809)"
2,2,T,26,257A(1)-02,250.058017639569,6.05,242,"15⁰52'3"" RT",11.42809,77.41613,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41613 11.42809, 77.41669 11.43104)"
3,3,T,26,02-03,332.148375444164,5.39,236,"19⁰37'58"" LT",11.43104,77.41669,GOOD,GOOD,SS FENCING,SAND/CANEL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41669 11.43104, 77.4165 11.43222)"
4,4,T,26,03-04,132.226439325708,7.48,235,"19⁰42'22"" RT",11.43222,77.4165,GOOD,GOOD,SUBSTATION INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4165 11.43222, 77.41663 11.4329)"
5,5,T,28,04-05,76.5814659988721,2.72,235,"102⁰48'5"" RT",11.4329,77.41663,GOOD,NO,SUBSTATION INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41663 11.4329, 77.41684 11.43281)"
6,N.G.PALAYAM GANTRY,T,20,05-GANTRY,24.9968753548145,,236,,11.43281,77.41684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,=SUM(F8:F12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
