S. No ,Tower No, Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, 224(Lilo),T,26,,,1625(1000),264,,11.43842,77.31807,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31807 11.43842, 77.31799 11.43797)"
2,10,T,28,224-10,50.5575658172249,15.35,265,"38⁰11'55"" LT",11.43797,77.31799,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31799 11.43797, 77.31866 11.43674)"
3,9,S,26,10-09,154.520197958621,0.05,267,,11.43674,77.31866,GOOD,GOOD,LT,SAND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31866 11.43674, 77.31933 11.43544)"
4,8,T,26,09-08,161.385600096287,3.95,264,"16⁰25'00"" RT",11.43544,77.31933,GOOD,GOOD,11 KV/LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31933 11.43544, 77.31969 11.43353)"
5,7,S,26,08-07,214.985808647163,6.73,259,,11.43353,77.31969,GOOD,GOOD,,TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31969 11.43353, 77.32013 11.43144)"
6,6,S,26,07-06,236.217567044251,8.01,259,,11.43144,77.32013,GOOD,GOOD,11 KV/LT,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32013 11.43144, 77.32056 11.42929)"
7,5,S,26,06-05,242.508710503938,3.86,264,,11.42929,77.32056,GOOD,GOOD,11 KV/LT,SAND,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32056 11.42929, 77.32098 11.42708)"
8,4,T,28,05-04,248.822754770041,0.21,274,"33⁰53'17"" RT",11.42708,77.32098,GOOD,GOOD,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32098 11.42708, 77.3203 11.42552)"
9,3,T,24,04-03,187.916704664907,0.48,270,"12⁰54'56"" LT",11.42552,77.3203,GOOD,GOOD,,SAND , SMALL HILLS,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3203 11.42552, 77.31985 11.42309)"
10,2,S,26,03-02,273.357719164552,6.52,273,,11.42309,77.31985,GOOD,GOOD,LT,SAND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31985 11.42309, 77.31943 11.42087)"
11,1,T,24,02-01,249.910394168244,0.22,281,"7⁰37'58"" RT",11.42087,77.31943,GOOD,NO,SUB STATION FENCING ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31943 11.42087, 77.31937 11.42069)"
12,KARATTUPALAYAM GANTRY,T,20,01-GANTRY,20.9684182604801,,282,,11.42069,77.31937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SAPN LENGTH ,,,,,=SUM(F8:F18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
