S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV T.N PALAYAM SS,2W,T,GANTRY,15,,,,248,,77.37522222,11.51483333,GOOD,,,,PLAIN,110KV T.N PALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37522222222222 11.514833333333334, 77.37566666666666 11.514777777777777)"
2,T.NO 1,,T,DB,24,GT-1,49.36598019,3.2,247,"3°38'21""",77.37566667,11.51477778,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37566666666666 11.514777777777777, 77.37738888888889 11.514666666666667)"
3,T.NO 2,,S,DA,26,01-Feb,190.2130385,4.25,242,,77.37738889,11.51466667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37738888888889 11.514666666666667, 77.37941666666666 11.514527777777777)"
4,T.NO 3,,T,DD,28,02-Mar,221.5084648,6.05,240,"55°18'27""",77.37941667,11.51452778,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37941666666666 11.514527777777777, 77.38122222222222 11.51675)"
5,T.NO 4,,T,DB,24,03-Apr,314.8650505,6.57,241,"10°30'37""",77.38122222,11.51675,GOOD,GOOD,LT-3,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38122222222222 11.51675, 77.38266666666667 11.517972222222223)"
6,T.NO 5,,S,DA,26,04-May,206.9589331,5.07,241,,77.38266667,11.51797222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38266666666667 11.517972222222223, 77.384 11.519111111111112)"
7,T.NO 6,,T,DD,28,05-Jun,193.3313218,4.04,242,"36°21'47""",77.384,11.51911111,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.384 11.519111111111112, 77.38561111111112 11.519222222222224)"
8,T.NO 7,,S,DA,26,06-Jul,177.476759,3.39,239,,77.38561111,11.51922222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38561111111112 11.519222222222224, 77.38747222222223 11.519388888888889)"
9,T.NO 8,,S,DA,26,07-Aug,203.0886506,2.58,238,,77.38747222,11.51938889,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38747222222223 11.519388888888889, 77.38955555555556 11.519555555555556)"
10,T.NO 9,,T,DD,28,08-Sep,227.879354,3.86,241,"45°11'52""",77.38955556,11.51955556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38955555555556 11.519555555555556, 77.39127777777779 11.518111111111113)"
11,T.NO 10,,S,DA,26,09-Oct,247.751892,4.03,235,,77.39127778,11.51811111,GOOD,GOOD,HT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39127777777779 11.518111111111113, 77.39341666666667 11.516388888888889)"
12,T.NO 11,,S,DA,26,10-Nov,301.5725452,5.01,233,,77.39341667,11.51638889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39341666666667 11.516388888888889, 77.39505555555556 11.514916666666666)"
13,T.NO 12,,S,DA,26,11-Dec,243.6554945,4.44,227,,77.39505556,11.51491667,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39505555555556 11.514916666666666, 77.39636111111112 11.513805555555555)"
14,T.NO 13 ANTHIYUR LILO,3W,T,DD,28,Dec-13,185.1512895,5.17,226,"41°2'51""",77.39636111,11.51380556,GOOD,GOOD,,,PLAIN,ANTHIYUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39636111111112 11.513805555555555, 77.39916666666667 11.513833333333332)"
15,T.NO 14,,S,DA,26,13-14,308.0405817,5.84,224,,77.39916667,11.51383333,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39916666666667 11.513833333333332, 77.40247222222223 11.513861111111112)"
16,T.NO 15,,T,DD,28,14-15,361.0498581,4.19,230,"41°37'33""",77.40247222,11.51386111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40247222222223 11.513861111111112, 77.40411111111112 11.51238888888889)"
17,T.NO 16,,S,DA,26,15-16,240.0854015,3.23,227,,77.40411111,11.51238889,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40411111111112 11.51238888888889, 77.40591666666667 11.510833333333334)"
18,T.NO 17,,S,DA,26,16-17,263.0304165,2.18,219,,77.40591667,11.51083333,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40591666666667 11.510833333333334, 77.40819444444445 11.508944444444445)"
19,T.NO 18,,T,DC,26,17-18,323.8054972,3.36,215,"16°27'18""",77.40819444,11.50894444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40819444444445 11.508944444444445, 77.40911111111112 11.507472222222223)"
20,T.NO 19,,T,DB,24,18-19,191.6689855,5.93,218,"2°57'33""",77.40911111,11.50747222,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40911111111112 11.507472222222223, 77.41055555555556 11.505416666666667)"
21,T.NO 20,,S,DA,26,19-20,276.327704,3.2,213,,77.41055556,11.50541667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41055555555556 11.505416666666667, 77.41225 11.50313888888889)"
22,T.NO 21,,S,DA,26,20-21,311.8108401,4.1,210,,77.41225,11.50313889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41225 11.50313888888889, 77.41375000000001 11.500777777777778)"
23,T.NO 22,,S,DA,26,21-22,310.3949098,3.5,207,,77.41375,11.50077778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41375000000001 11.500777777777778, 77.41536111111111 11.498777777777777)"
24,T.NO 23 ,,T,DB,24,22-23,281.4391586,2.86,212,"12°7'39""",77.41536111,11.49877778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41536111111111 11.498777777777777, 77.4171388888889 11.497194444444444)"
25,T.NO 24,,T,DB,24,23-24,261.2680616,3.24,204,"10°25'55""",77.41713889,11.49719444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4171388888889 11.497194444444444, 77.41955555555556 11.495694444444444)"
26,T.NO 25,,S,DA,26,24-25,310.5945911,4.08,212,,77.41955556,11.49569444,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41955555555556 11.495694444444444, 77.42161111111112 11.494416666666666)"
27,T.NO 26,,S,DA,26,25-26,265.8495815,3.82,211,,77.42161111,11.49441667,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42161111111112 11.494416666666666, 77.42394444444444 11.492999999999999)"
28,T.NO 27,2W,S,DA,26,26-27,300.6409819,2,210,,77.42394444,11.493,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42394444444444 11.492999999999999, 77.42594444444445 11.491777777777777)"
29,T.NO 28,,S,DA,26,27-28,256.7430622,4.35,207,,77.42594444,11.49177778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42594444444445 11.491777777777777, 77.42825 11.49036111111111)"
30,T.NO 29,,S,DA,26,28-29,296.7052409,2.78,204,,77.42825,11.49036111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42825 11.49036111111111, 77.43061111111112 11.488916666666666)"
31,T.NO 30,,S,DA,26,29-30,301.4962686,3.52,208,,77.43061111,11.48891667,GOOD,GOOD,LT,STREAM,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43061111111112 11.488916666666666, 77.43266666666668 11.48761111111111)"
32,T.NO 31,,S,DA,26,30-31,268.8215021,2.35,212,,77.43266667,11.48761111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43266666666668 11.48761111111111, 77.43502777777778 11.486166666666666)"
33,T.NO 32,,S,DA,26,31-32,301.8377047,2.22,212,,77.43502778,11.48616667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43502777777778 11.486166666666666, 77.43733333333334 11.48475)"
34,T.NO 33,,S,DA,26,32-33,295.5283404,3.8,209,,77.43733333,11.48475,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43733333333334 11.48475, 77.43961111111112 11.483305555555555)"
35,T.NO 34,,S,DA,26,33-34,296.2785851,2.76,210,,77.43961111,11.48330556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43961111111112 11.483305555555555, 77.44194444444445 11.481861111111112)"
36,T.NO 35,,S,DA,26,34-35,302.5359483,4.15,217,,77.44194444,11.48186111,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44194444444445 11.481861111111112, 77.44422222222222 11.480416666666667)"
