S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV KUGALUR SS,T,GT,15,,,,221,,77.49852777777778,11.470555555555556,GOOD,,,,PLAIN,110KV KUGALUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49852777777778 11.470555555555556, 77.4978888888889 11.47075)"
2,T.NO 28,T,DD,28,GT - 28,71.84010022264724,5.35,220,"47°3'52""",77.4978888888889,11.47075,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4978888888889 11.47075, 77.49666666666667 11.470055555555556)"
3,T.NO 27,T,DD,28,28-27,153.83432646844463,3.42,219,"32°52'15""",77.49666666666667,11.470055555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49666666666667 11.470055555555556, 77.49466666666667 11.47011111111111)"
4,T.NO 26,S,DA,26,27-26,220.08180297334897,4.17,213,,77.49466666666667,11.47011111111111,GOOD,GOOD,230KV,,PLAIN,GOBI - ANTHIYUR (EARTH WIRE DIAMOND CROSSING),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49466666666667 11.47011111111111, 77.49213888888889 11.47025)"
5,T.NO 25,T,DC,26,26-25,274.2207140243056,8.6,213,"20°5'6""",77.49213888888889,11.47025,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49213888888889 11.47025, 77.49 11.47113888888889)"
6,T.NO 24,S,DA,26,25-24,256.08201811138554,5.84,215,,77.49,11.47113888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49 11.47113888888889, 77.48758333333333 11.472083333333334)"
7,T.NO 23,S,DA,26,24-23,281.15476165272395,5.83,219,,77.48758333333333,11.472083333333334,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48758333333333 11.472083333333334, 77.48508333333334 11.473138888888888)"
8,T.NO 22,T,DD,28,23-22,299,6.79,217,"73°7'42""",77.48508333333334,11.473138888888888,GOOD,GOOD,"LT,HT",MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48508333333334 11.473138888888888, 77.48430555555555 11.472194444444444)"
9,T.NO 21,T,DD,28,22-21,133.68619973654722,1.84,221,"49°59'30""",77.48430555555555,11.472194444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48430555555555 11.472194444444444, 77.48333333333333 11.472194444444444)"
10,T.NO 20,T,DB,24,21-20,106.01886624558857,4.85,221,"0°3'18""",77.48333333333333,11.472194444444444,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48333333333333 11.472194444444444, 77.48125 11.472166666666666)"
11,T.NO 19,S,DA,26,20-19,227.07928130941406,5.27,224,,77.48125,11.472166666666666,GOOD,GOOD,,CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48125 11.472166666666666, 77.48008333333334 11.472166666666666)"
12,T.NO 18,T,DD,28,19-18,126.00396819148197,2.54,227,"91°36'20""",77.48008333333334,11.472166666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48008333333334 11.472166666666666, 77.48011111111111 11.47325)"
13,T.NO 17,T,DD,28,18-17,122.00409829181969,6.78,225,"70°48'57""",77.48011111111111,11.47325,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48011111111111 11.47325, 77.47908333333334 11.473638888888889)"
14,T.NO 16,T,DB,24,17-16,118.92854997854805,6.45,228,"5°49'42""",77.47908333333334,11.473638888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47908333333334 11.473638888888889, 77.47694444444444 11.474666666666666)"
15,T.NO 15,T,DC,26,16-15,260.3247971285102,4.12,227,"29°40'47""",77.47694444444444,11.474666666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47694444444444 11.474666666666666, 77.47536111111111 11.476944444444445)"
16,T.NO 14,T,DC,26,15-14,304.591529757477,3.58,220,"25°1'59""",77.47536111111111,11.476944444444445,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47536111111111 11.476944444444445, 77.47333333333333 11.478111111111112)"
17,T.NO 13,T,DD,28,14-13,258.9903473104741,4.32,220,"30°29'6""",77.47333333333333,11.478111111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47333333333333 11.478111111111112, 77.47186111111111 11.47813888888889)"
18,T.NO 12,T,DD,28,13-12,161.00310556011024,3.24,212,"49°29'43""",77.47186111111111,11.47813888888889,GOOD,GOOD,LT ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47186111111111 11.47813888888889, 77.47069444444445 11.476805555555556)"
19,T.NO 11,T,DD,28,12-11,192.31484602078956,3.24,214,"74°57'57""",77.47069444444445,11.476805555555556,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47069444444445 11.476805555555556, 77.46777777777778 11.478194444444444)"
20,T.NO 10,T,DD,28,11-10,353.41194094144583,5.39,214,"44°26'17""",77.46777777777778,11.478194444444444,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46777777777778 11.478194444444444, 77.46497222222223 11.477194444444445)"
21,T.NO 9,S,DA,26,10-9,325.85272747055535,2,211,,77.46497222222223,11.477194444444445,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46497222222223 11.477194444444445, 77.46283333333334 11.476527777777777)"
22,T.NO 8,T,DB,24,9-8,245.3935614477283,4.82,214,"5°6'34""",77.46283333333334,11.476527777777777,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46283333333334 11.476527777777777, 77.461 11.4755)"
23,T.NO 7,S,DA,26,8-7,231.2055362658948,2.43,210,,77.461,11.4755,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.461 11.4755, 77.45886111111112 11.474777777777778)"
24,T.NO 6,S,DA,26,7-6,245.12241839538055,5.87,203,,77.45886111111112,11.474777777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45886111111112 11.474777777777778, 77.4558888888889 11.473472222222222)"
25,T.NO 5,T,DC,26,6-5,354.9661955736067,6.21,216,"21°54'56""",77.4558888888889,11.473472222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4558888888889 11.473472222222222, 77.45422222222223 11.473416666666667)"
26,T.NO 4,T,DC,26,5-4,182.17573932881405,5.36,215,"28°57'28""",77.45422222222223,11.473416666666667,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45422222222223 11.473416666666667, 77.45227777777778 11.47225)"
27,T.NO 3,S,DA,26,4-3,251.11352014576994,6.21,211,,77.45227777777778,11.47225,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45227777777778 11.47225, 77.45044444444444 11.471194444444444)"
28,T.NO 2,T,DC,26,3-2,229.6366695456107,4.13,220,"25°51'26""",77.45044444444444,11.471194444444444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45044444444444 11.471194444444444, 77.44988888888889 11.47113888888889)"
29,T.NO 40A/1 LILO KUGALUR ,T,DC,26,2-1,61.29437168288782,3.01,222,,77.44988888888889,11.47113888888889,GOOD,GOOD,,,PLAIN,KUGALUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
