S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV KETTICHIVIYUR SS,2W,T,GANTRY,15,,,,212,,77.42516667,11.34177778,GOOD,,,,PLAIN,110KV KETTICHIVIYUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42516666666667 11.341777777777779, 77.42500000000001 11.342194444444445)"
2,T.NO 47,,T,DD,28,GT-47,49.04079934,4.8,213,"47°5'6""",77.425,11.34219444,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42500000000001 11.342194444444445, 77.42636111111112 11.344777777777779)"
3,T.NO 46,,T,DC,26,47-46,323.7854228,1.16,206,"24°34'47""",77.42636111,11.34477778,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42636111111112 11.344777777777779, 77.42836111111112 11.346333333333334)"
4,T.NO 45,,S,DA,26,46-45,276.7399501,7.33,205,,77.42836111,11.34633333,GOOD,GOOD,LT-3,TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42836111111112 11.346333333333334, 77.43044444444445 11.347972222222223)"
5,T.NO 44,,S,DA,26,45-44,291.7327544,5.22,204,,77.43044444,11.34797222,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43044444444445 11.347972222222223, 77.4325 11.349555555555556)"
6,T.NO 43,,T,DB,24,44-43,283.9242857,2.77,204,"14°56'54""",77.4325,11.34955556,GOOD,GOOD,400KV ,,AGRI,MTPS - KARAMADAI -I&II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4325 11.349555555555556, 77.43441666666666 11.350305555555556)"
7,T.NO 42,,S,DA,26,43-42,226.3846285,4.12,203,,77.43441667,11.35030556,GOOD,GOOD,,TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43441666666666 11.350305555555556, 77.43613888888889 11.351055555555556)"
8,T.NO 41,,S,DA,26,42-41,204.5922775,3.05,202,,77.43613889,11.35105556,GOOD,GOOD,,TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43613888888889 11.351055555555556, 77.43802777777778 11.351888888888888)"
9,T.NO 40,,T,DC,26,41-40,224.1985727,4.36,201,"18°4'53""",77.43802778,11.35188889,GOOD,GOOD,,MUROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43802777777778 11.351888888888888, 77.44025 11.353805555555555)"
10,T.NO 39,,T,DD,28,40-39,324.3763247,4.86,201,"55°58'15""",77.44025,11.35380556,GOOD,GOOD,,TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44025 11.353805555555555, 77.43997222222222 11.355833333333333)"
11,T.NO 38,,S,DA,26,39-38,225.2842649,2.45,200,,77.43997222,11.35583333,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43997222222222 11.355833333333333, 77.43972222222223 11.357916666666666)"
12,T.NO 37,,S,DA,26,38-37,231.6980794,3.3,199,,77.43972222,11.35791667,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43972222222223 11.357916666666666, 77.43950000000001 11.359694444444443)"
13,T.NO 36,,T,DC,26,37-36,197.9898987,3.15,287,"23°50'26""",77.4395,11.35969444,GOOD,GOOD,,TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43950000000001 11.359694444444443, 77.44008333333333 11.361638888888889)"
14,T.NO 35,2W,T,DD,28,36-35,226.920691,1.7,291,"64°0'55""",77.44008333,11.36163889,GOOD,GOOD,,MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44008333333333 11.361638888888889, 77.4405 11.361722222222221)"
15,T.NO 34DP,,T,DP,15,35-34,46.69047012,DP,292,,77.4405,11.36172222,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4405 11.361722222222221, 77.44086111111112 11.362055555555555)"
16,T.NO 33DP,,T,DP,15,34-33,52.32590181,DP,292,,77.44086111,11.36205556,GOOD,MISSING,230KV,,AGRI,GOBI - ARASUR & GOBI - POLLACHI DC LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44086111111112 11.362055555555555, 77.44130555555556 11.362055555555555)"
17,T.NO 32,,T,DD,28,33-32,49,2.25,293,"73°59'15""",77.44130556,11.36205556,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44130555555556 11.362055555555555, 77.44194444444445 11.364194444444443)"
18,T.NO 31,,S,DA,26,32-31,249.0401574,4.44,287,,77.44194444,11.36419444,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44194444444445 11.364194444444443, 77.44269444444444 11.366722222222222)"
19,T.NO 30,,S,DA,26,31-30,291.8938163,5.99,281,,77.44269444,11.36672222,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44269444444444 11.366722222222222, 77.44338888888889 11.369027777777779)"
20,T.NO 29,,S,DA,26,30-29,265.520244,1.14,278,,77.44338889,11.36902778,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44338888888889 11.369027777777779, 77.44405555555556 11.371194444444445)"
21,T.NO 28,,T,DB,24,29-28,248.485412,5.08,279,"8°6'30""",77.44405556,11.37119444,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44405555555556 11.371194444444445, 77.4448888888889 11.373000000000001)"
22,T.NO 27,,T,DB,24,28-27,220.2294258,4.58,271,"6°59'45""",77.44488889,11.373,GOOD,GOOD,,TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4448888888889 11.373000000000001, 77.44641666666666 11.375472222222223)"
23,T.NO 26,,T,DB,24,27-26,321.2179945,5.35,276,"5°38'23""",77.44641667,11.37547222,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44641666666666 11.375472222222223, 77.44763888888889 11.377972222222223)"
24,T.NO 25,,S,DA,26,26-25,308.7069808,2.35,265,,77.44763889,11.37797222,GOOD,GOOD,,TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44763888888889 11.377972222222223, 77.44883333333334 11.380472222222222)"
25,T.NO 24,,S,DA,26,25-24,305.9885619,4.75,265,,77.44883333,11.38047222,GOOD,GOOD,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44883333333334 11.380472222222222, 77.45 11.382722222222222)"
26,T.NO 23,,T,DB,24,24-23,280.403281,2.84,266,"9°55'38""",77.45,11.38272222,GOOD,GOOD,"HT,LT-2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45 11.382722222222222, 77.45072222222223 11.385222222222222)"
27,T.NO 22,,S,DA,26,23-22,286.9738664,1.64,259,,77.45072222,11.38522222,GOOD,GOOD,"LT-3,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45072222222223 11.385222222222222, 77.45152777777778 11.387916666666666)"
28,T.NO 21,2W,T,DB,24,22-21,309.8854627,2.01,264,"8°9'1""",77.45152778,11.38791667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45152777777778 11.387916666666666, 77.45161111111112 11.38861111111111)"
29,T.NO 20 DP,,T,DP,15,21-20,40,DP,267,,77.45161111,11.38861111,GOOD,GOOD,LT,,PLAIN,,ADSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45161111111112 11.38861111111111, 77.45172222222223 11.388555555555556)"
30,T.NO 19 DP,,T,DP,15,20-19,45,DP,270,,77.45172222,11.38855556,GOOD,MISSING,230KV,,PLAIN,MTPS - GOBI ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45172222222223 11.388555555555556, 77.4515 11.389)"
31,T.NO 18,,T,DD,28,19-18,56,2.27,272,"68°48'58""",77.4515,11.389,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4515 11.389, 77.45319444444445 11.390583333333334)"
32,T.NO 17,,T,DD,28,18-17,254.6212874,2.65,272,"45°10'17""",77.45319444,11.39058333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45319444444445 11.390583333333334, 77.45322222222222 11.391055555555555)"
33,T.NO 16DP,,T,DP,15,17-16,54,DP,270,,77.45322222,11.39105556,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45322222222222 11.391055555555555, 77.45325 11.391555555555556)"
34,T.NO 15DP,,T,DP,15,16-15,54.03702434,DP,271,,77.45325,11.39155556,GOOD,MISSING,230KV,,PLAIN,GOBI - ARASUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45325 11.391555555555556, 77.45322222222222 11.391805555555555)"
35,T.NO 14,2W,T,DC,26,15-14,34,4.31,270,"18°19'36""",77.45322222,11.39180556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45322222222222 11.391805555555555, 77.45261111111111 11.393833333333333)"
36,T.NO 13,,S,DA,26,14-13,234.6827646,5.95,262,,77.45261111,11.39383333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45261111111111 11.393833333333333, 77.45197222222222 11.395694444444445)"
37,T.NO 12,,S,DA,26,13-Dec,216.6217902,7.34,254,,77.45197222,11.39569444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45197222222222 11.395694444444445, 77.45083333333334 11.398416666666666)"
38,T.NO 11,,T,DB,24,12-Nov,324.3269955,3.9,258,"3°3'15""",77.45083333,11.39841667,GOOD,GOOD,HT ,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45083333333334 11.398416666666666, 77.45025 11.399777777777777)"
39,T.NO 10,,T,DB,24,11-Oct,164.3958637,7.35,256,"4°10'42""",77.45025,11.39977778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45025 11.399777777777777, 77.44883333333334 11.402527777777777)"
40,T.NO 9,,T,DC,26,10-Sep,340.3718555,3.84,258,"29°7'4""",77.44883333,11.40252778,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44883333333334 11.402527777777777, 77.44891666666668 11.404055555555557)"
41,T.NO 8,,S,DA,26,09-Aug,171.2366783,4.75,249,,77.44891667,11.40405556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44891666666668 11.404055555555557, 77.44897222222222 11.405972222222223)"
42,T.NO 7,,T,DC,26,08-Jul,211.0094785,3.62,246,"27°49'35""",77.44897222,11.40597222,GOOD,GOOD,HT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44897222222222 11.405972222222223, 77.4505 11.408583333333334)"
43,T.NO 6,,S,DA,26,07-Jun,334.0314356,8.84,250,,77.4505,11.40858333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4505 11.408583333333334, 77.45186111111111 11.410944444444445)"
44,T.NO 5,,T,DB,24,06-May,300.0416638,4.73,250,"9°57'39""",77.45186111,11.41094444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45186111111111 11.410944444444445, 77.45313888888889 11.412444444444445)"
45,T.NO 4,,T,DB,24,05-Apr,218.8195604,3.83,248,"0°33'8""",77.45313889,11.41244444,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45313888888889 11.412444444444445, 77.45452777777778 11.414111111111112)"
46,T.NO 3,,T,DC,26,04-Mar,238.947693,3.65,253,"29°22'13""",77.45452778,11.41411111,GOOD,GOOD,"LT-2,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45452777777778 11.414111111111112, 77.45483333333334 11.415722222222223)"
47,T.NO 2,,T,DB,24,03-Feb,181.4965564,3.41,255,"1°13'29""",77.45483333,11.41572222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45483333333334 11.415722222222223, 77.45502777777779 11.416777777777778)"
48,T.NO 14/1 LILO KETTICHIVIYUR,,T,DC,26,2-14/1,118.0677771,5.36,256,,77.45502778,11.41677778,GOOD,GOOD,,,PLAIN,KETTICHIVIYUR LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
