Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
UNJANAI GANTRY,2W,T,20,,,,,220,,11.35511,77.95443,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95443 11.35511, 77.95428 11.35514)"
1,,SD,28,GANTRY-01,18,16.72092962,1.18,218,"74°17'48""(RT)",11.35514,77.95428,GOOD,GOOD,FENCING CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95428 11.35514, 77.95421 11.35607)"
2,,SD,28,01-Feb,111,103.2489726,0.61,219,"41°30'42""(RT)",11.35607,77.95421,GOOD,GOOD,LT-15,SS TAR ROAD CROSSING,TOWER INSIDE SUB STATION,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95421 11.35607, 77.95522 11.35738)"
3,,SD,28,02-Mar,186,182.2401764,0.59,218,"47°02'02""(LT)",11.35738,77.95522,GOOD,GOOD,"LT-3,33KV-1",TAR ROAD CROSSING(UNJANAI TO RASIPURAM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95522 11.35738, 77.95496 11.35887)"
4,,SD,28,03-Apr,168,167.3937864,2.63,219,"44°31'02""(RT)",11.35887,77.95496,GOOD,GOOD,,SMALL CANNAL CROSSING,LAKE  CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95496 11.35887, 77.95638 11.36089)"
5,,SA,26,04-May,274,272.1839227,3.54,217,,11.36089,77.95638,GOOD,GOOD,,,LAKE  CROSSING,TOWER  IN LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95638 11.36089, 77.95781 11.36299)"
6,,SB,24,05-Jun,286,280.114843,1.61,220,"15°03'43""(LT)",11.36299,77.95781,GOOD,GOOD,"22KV-2,LT-1",SAND ROAD CROSSING,,TOWER  IN LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95781 11.36299, 77.95874 11.36568)"
7,,SA,26,06-Jul,318,314.6790657,0.15,224,,11.36568,77.95874,GOOD,GOOD,LT-12,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95874 11.36568, 77.95951 11.36796)"
8,,SB,24,07-Aug,270,266.0796895,1.38,228,"11°45'55""(RT)",11.36796,77.95951,GOOD,GOOD,LT-2,SMALL ROCK CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95951 11.36796, 77.96089 11.3703)"
9,,SA,26,08-Sep,307,299.7480745,2.09,229,,11.3703,77.96089,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96089 11.3703, 77.96204 11.37228)"
10,,SA,26,09-Oct,25,252.6662118,0.4,233,,11.37228,77.96204,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96204 11.37228, 77.96285 11.37363)"
