S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,12/1 SOMAYANPALAYAM LILO,,T,MC,45,,,1,454,,76.92975,11.05597222,G00D,GOOD,,,PLAIN,SOMAYAMPALAYAM LILO.NEED 3 WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92975 11.055972222222223, 76.92816666666667 11.057611111111111)"
2,T.NO 2,,T,MD,45,12-01-2002,252.4618783,1,474,"39°5'33""",76.92816667,11.05761111,G00D,GOOD,LT,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92816666666667 11.057611111111111, 76.92566666666667 11.057916666666667)"
3,T.NO 3,,T,MD,45,02-Mar,273.8758843,1.5,464,"31°37'44""",76.92566667,11.05791667,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92566666666667 11.057916666666667, 76.92427777777779 11.059027777777779)"
4,T.NO 4,,T,DB,33,03-Apr,195.064092,1.8,463,"1°36'21""",76.92427778,11.05902778,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92427777777779 11.059027777777779, 76.92305555555556 11.059916666666668)"
5,T.NO 5,,T,DB,33,04-May,167.2004785,2,464,"7°11'5""",76.92305556,11.05991667,G00D,GOOD,"LT,HT","RIVER,TAAR ROAD",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92305555555556 11.059916666666668, 76.92161111111112 11.06075)"
6,T.NO 6,,T,DC,25,05-Jun,180.4716044,1.7,477,"16°9'20""",76.92161111,11.06075,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92161111111112 11.06075, 76.91969444444445 11.061194444444444)"
7,T.NO 7,,T,DB,33,06-Jul,215.8703314,1,472,"9°54'11""",76.91969444,11.06119444,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91969444444445 11.061194444444444, 76.91819444444445 11.061305555555556)"
8,T.NO 8,,T,DB,33,07-Aug,164.3045952,1,473,"11°21'12""",76.91819444,11.06130556,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91819444444445 11.061305555555556, 76.91655555555556 11.061083333333334)"
9,T.NO 9,,T,DD,37,08-Sep,182.7183625,2,471,"69°17'10""",76.91655556,11.06108333,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91655555555556 11.061083333333334, 76.91594444444445 11.062194444444446)"
10,T.NO 10,,T,DC,35,09-Oct,140.064271,1,467,"16°58'23""",76.91594444,11.06219444,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91594444444445 11.062194444444446, 76.91572222222223 11.063222222222223)"
