Tower No,Tower Type & Supspension/Tenion,Tower Type ,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
UNJANAI GANTRY,T,T,20,,,,,216,,11.35469,77.95461,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95461 11.35469, 77.95432 11.35471)"
1,DD,T,28,GANTRY-01,40,31.760259755392195,0.24,220,"03°37'50""(RT)",11.35471,77.95432,GOOD,GOOD,,,FENCING CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95432 11.35471, 77.95258 11.35494)"
2,DD,T,30,01-02,194,191.79556980581452,1.68,225,"18°07'53""(LT)",11.35494,77.95258,GOOD,GOOD,"CIRCUIT 1-ONE SIDE NALLUE SS LINE, CIRCUIT 2-OTHER SIDE ELANAGAR SS LINE, 22KV LINE",SH-94 HIGHWAY(NAMAKKAL TO TIRUCHENGODE),TOWER INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95258 11.35494, 77.95094 11.35464)"
3,DD,T,36,02-03,181,182.22482768751763,0.27,227,"32°51'07""(LT)",11.35464,77.95094,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95094 11.35464, 77.94933 11.35314)"
4,DD,T,28,03-04,249,241.90727982524766,1.49,228,"41°48'06""(LT)",11.35314,77.94933,GOOD,GOOD,"22KV-1, LT-1",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94933 11.35314, 77.949189 11.351498)"
5,DA,S,26,04-05,184,182.44541851372375,0.23,227,,11.351498,77.949189,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.949189 11.351498, 77.94897 11.34972)"
6 LILO,DD,T,28,05-06,201,198.29984165123125,0.41,223,"96°05'21""(LT)",11.34972,77.94897,GOOD,GOOD,"TOWER IS LILO POINT, CIRCUIT-1 NALLUR, CIRCUIT-2 ELANAGAR(UNJANAI TO NALLUR LILO POINT)",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94897 11.34972, 77.9494 11.34769)"
7,S,SA,26,06 LILO-07,,229.60869200884062,0.49,219,,11.34769,77.9494,GOOD,GOOD,"LT-3,22KV-1",TAR ROAD CROSSING(UNJANAI TO NALLUR LILO POINT) ,PLIAN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9494 11.34769, 77.94981 11.34554)"
8,S,SA,26,07-08,,242.21516725646399,2.45,221,,11.34554,77.94981,GOOD,GOOD,LT-1,,PLIAN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94981 11.34554, 77.95023 11.34344)"
9,T,SB,24,08-09,,236.98636412833253,2.76,222,"08°22'12""(RT)",11.34344,77.95023,GOOD,GOOD,,SAND ROAD CROSSING,PLIAN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95023 11.34344, 77.95037 11.34061)"
