Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Between Tower No.,Span Between Tower No.,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Latitude,Longitude,JB Location,Earthing Location,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,
37/1 lilo ,T,24,,,,,,5.7,298,11.251049,77.47245,Yes,,"11°43'14"" LT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47245 11.251049, 77.471275 11.250972)",,,,,,,,,,,,,,,,,
38,T,24,37/1 lilo  to 38,,"=A7&""-""&A8",128.6498745835284,,5.1,297,11.250972,77.471275,,,"5°9'32"" RT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.471275 11.250972, 77.469142 11.251022)",,,,,,,,,,,,,,,,,
39,T,26,38  to 39 ,,"=A8&""-""&A9",233.09308643678673,,5.7,300,11.251022,77.469142,,,"23°00'52"" LT",GOOD,GOOD,11 kv Line crossing ,Road crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.469142 11.251022, 77.466565 11.250012)",,,,,,,,,,,,,,,,,
40,T,26,39 to 40 ,,"=A9&""-""&A10",302.91199721300444,,5.5,301,11.250012,77.466565,,,"24°6'8"" RT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.466565 11.250012, 77.464242 11.25011)",,,,,,,,,,,,,,,,,
41,T,28,40 to 41,,"=A10&""-""&A11",254.0162214425149,,6.3,286,11.25011,77.464242,,,"39°31'40"" LT",GOOD,GOOD,LT Line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.464242 11.25011, 77.462017 11.24849597)",,,,,,,,,,,,,,,,,
42,T,24,41 to 42,,"=A11&""-""&A12",304.6934427530827,,5.9,299,11.24849597,77.462017,,,"7°23'00"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.462017 11.24849597, 77.460892 11.24736)",,,,,,,,,,,,,,,,,
43,T,26,42 to 43,,"=A12&""-""&A13",172.21404156833543,,11.8,282,11.24736,77.460892,,,"21°8'1"" RT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.460892 11.24736, 77.45879 11.246465)",,,,,,,,,,,,,,,,,
44,S,26,43 to 44,,"=A13&""-""&A14",250.09307814105853,,"6,1",303,11.246465,77.45879,,,,GOOD,GOOD,LT Line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45879 11.246465, 77.45738 11.245928)",,,,,,,,,,,,,,,,,
45,T,24,44 to 45 ,,"=A14&""-""&A15",165.1085497558835,,5.2,294,11.245928,77.45738,,,"2°15'36"" RT",GOOD,GOOD,,Road crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45738 11.245928, 77.455153 11.245178)",,,,,,,,,,,,,,,,,
46,S,26,45 to 46,,"=A15&""-""&A16",257.06778557355943,,5.1,300,11.245178,77.455153,,,,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.455153 11.245178, 77.452657 11.244398)",,,,,,,,,,,,,,,,,
47,T,24,46 to 47,,"=A16&""-""&A17",286.0244924374093,,4.2,300,11.244398,77.452657,,,"4°37'33"" RT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.452657 11.244398, 77.450845 11.243987)",,,,,,,,,,,,,,,,,
48,T,26,47 to 48,,"=A17&""-""&A18",203.11897902363862,,6.2,291,11.243987,77.450845,Yes,,"23°46'24"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.450845 11.243987, 77.449052 11.242667)",,,,,,,,,,,,,,,,,
49,S,26,48 to 49,,"=A18&""-""&A19",244.3598156450218,,5.3,292,11.242667,77.449052,,,,GOOD,GOOD,11 kv Line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.449052 11.242667, 77.447017 11.241122)",,,,,,,,,,,,,,,,,
50,T,26,49to 50,,"=A19&""-""&A20",280.4711938156263,,5.9,285,11.241122,77.447017,,,"29°8'17"" RT",GOOD,GOOD,,Road crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.447017 11.241122, 77.444008 11.240682)",,,,,,,,,,,,,,,,,
51,T,24,50 to 51,,"=A20&""-""&A21",332.3217419807469,,6.2,286,11.240682,77.444008,,,"10°44'55"" RT",GOOD,GOOD,11 kv Line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.444008 11.240682, 77.44176 11.240772)",,,,,,,,,,,,,,,,,
52,T,28,51 to 52 ,,"=A21&""-""&A22",245.7967274733745,,5.4,289,11.240772,77.44176,,,"31°24'17"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44176 11.240772, 77.439875 11.239737)",,,,,,,,,,,,,,,,,
53,S,26,52 to53 ,,"=A22&""-""&A23",235.64827258482254,,6.8,290,11.239737,77.439875,,,,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.439875 11.239737, 77.43834 11.238917)",,,,,,,,,,,,,,,,,
54,T,26,53 to 54 ,,"=A23&""-""&A24",190.679127519049,,5.7,290,11.238917,77.43834,,,"18°2'28"" LT",GOOD,GOOD,LT Line crossing ,Road crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43834 11.238917, 77.436307 11.236805)",,,,,,,,,,,,,,,,,
55,T,24,54 to 55 ,,"=A24&""-""&A25",322.4327598896032,,5.1,295,11.236805,77.436307,,,"11°13'14"" RT",GOOD,GOOD,,Road crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.436307 11.236805, 77.434119 11.235279)",,,,,,,,,,,,,,,,,
56,S,26,55 to 56 ,,"=A25&""-""&A26",292.6806919504053,,5.3,302,11.235279,77.434119,,,,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.434119 11.235279, 77.432202 11.233897)",,,,,,,,,,,,,,,,,
57,T,24,56 to 57 ,,"=A26&""-""&A27",259.33638504470787,,5.5,306,11.233897,77.432202,,,"8°6'52"" RT",GOOD,GOOD,11 kv Line crossing ,Road crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.432202 11.233897, 77.429905 11.23269)",,,,,,,,,,,,,,,,,
58,T,28,57 to 58 ,,"=A27&""-""&A28",284.28846281182143,,5.9,301,11.23269,77.429905,,,"30°25'34"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.429905 11.23269, 77.428548 11.230508)",,,,,,,,,,,,,,,,,
59,T,26,58 to 59 ,,"=A28&""-""&A29",283.3579691314077,,5.6,299,11.230508,77.428548,Yes,,"17°58'20"" LT",GOOD,GOOD,LT Line crossing ,Road crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.428548 11.230508, 77.427948 11.228055)",,,,,,,,,,,,,,,,,
60,T,28,59 to 60 ,,"=A29&""-""&A30",279.2718688786359,,6.5,291,11.228055,77.427948,,,"38°26'4"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.427948 11.228055, 77.428965 11.225888)",,,,,,,,,,,,,,,,,
61,T,24,60 to 61,,"=A30&""-""&A31",264.307908818176,,6.2,300,11.225888,77.428965,,,"8°31'58"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.428965 11.225888, 77.430052 11.22426)",,,,,,,,,,,,,,,,,
62,T,26,61 to 62 ,,"=A31&""-""&A32",215.78839224487754,,6.5,294,11.22426,77.430052,,,"15°46'10"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.430052 11.22426, 77.431968 11.222625)",,,,,,,,,,,,,,,,,
63,T,28,62 to 63,,"=A32&""-""&A33",276.6971206583333,,12.5,295,11.222625,77.431968,,,"41°50'1"" RT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.431968 11.222625, 77.432322 11.219907)",,,,,,,,,,,,,,,,,
64,T,28,63 to 64 ,,"=A33&""-""&A34",303.2737017550604,,11.3,296,11.219907,77.432322,,,"75°18'43"" RT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.432322 11.219907, 77.43012 11.219028)",,,,,,,,,,,,,,,,,
65,T,28,64 to 65 ,,"=A34&""-""&A35",259.50732821315563,,6.3,288,11.219028,77.43012,,,"36°55'36"" LT",GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43012 11.219028, 77.428595 11.216528)",,,,,,,,,,,,,,,,,
