Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
346/23 LILO,T,26,,,3.8,277,,11.23007,77.62386,GOOD,GOOD,,,"Plain ,Dry land ",Take off tower Erode  Ingur 110kv line existing OPGW is available ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62386 11.23007, 77.622386 11.22839)"
345,T,24,346 to 345,246.00546043780724,4.45,278,"5°40'17"" RT",11.22839,77.622386,GOOD,GOOD,,,plain ,110 kv line crossing under line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.622386 11.22839, 77.62046 11.22659)"
344,T,28,345 to 344,289.8001415552629,5.14,278,"33°21'59"" LT",11.22659,77.62046,GOOD,GOOD,110 KV line crossing ,Tar Road ,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62046 11.22659, 77.61998 11.22457)"
343,S,26,344 to 343 ,229.65172229807618,6.5,276,,11.22457,77.61998,GOOD,GOOD,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61998 11.22457, 77.61938 11.22212)"
342,S,26,343 to 342,278.9891524637956,7.8,275,,11.22212,77.61938,GOOD,GOOD,,,plain ,Soft rock ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61938 11.22212, 77.61882 11.21971)"
341,S,26,342 to 341,273.677376496631,5.8,276,,11.21971,77.61882,GOOD,GOOD,LT line crossing ,Sand Road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61882 11.21971, 77.618264 11.2175)"
340,S,26,341 to 340 ,252.04385762819695,5.3,280,,11.2175,77.618264,GOOD,GOOD,11 kv line crossing,Tar Road ,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.618264 11.2175, 77.61761 11.21473)"
339,S,26,340 to 339 ,314.8133145839966,4.2,280,,11.21473,77.61761,GOOD,GOOD,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61761 11.21473, 77.61707 11.21243)"
338,S,26,339 to 338 ,261.32227041242544,6.5,285,,11.21243,77.61707,GOOD,GOOD,11 kv line crossing,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61707 11.21243, 77.61649 11.21023)"
337,T,24,338 to 337 ,251.6174979330049,6.2,288,"1°54'51"" LT",11.21023,77.61649,GOOD,GOOD,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61649 11.21023, 77.6159 11.20764)"
