S.No,JOINT BOX,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,,,,,,,,,,,11.0090846,77.9681017,3450925662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9681017 11.0090846, 77.9672492 11.0099311)"
,,,,,,,,,,,11.0099311,77.9672492,3450925671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9672492 11.0099311, 77.9653357 11.0108459)"
,,,,,,,,,,,11.0108459,77.9653357,3450925674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9653357 11.0108459, 77.9633294 11.0118051)"
,,,,,,,,,,,11.0118051,77.9633294,3450925679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9633294 11.0118051, 77.9609613 11.0129235)"
,,,,,,,,,,,11.0129235,77.9609613,3450925686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9609613 11.0129235, 77.9587719 11.0139701)"
,,,,,,,,,,,11.0139701,77.9587719,3450927195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9587719 11.0139701, 77.9565997 11.014988)"
,,,,,,,,,,,11.014988,77.9565997,3450927203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9565997 11.014988, 77.9541763 11.0161333)"
,,,,,,,,,,,11.0161333,77.9541763,3450927210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9541763 11.0161333, 77.9521332 11.0171102)"
,,,,,,,,,,,11.0171102,77.9521332,3450927219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9521332 11.0171102, 77.9500291 11.018099)"
,,,,,,,,,,,11.018099,77.9500291,3450927225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9500291 11.018099, 77.9479108 11.0191176)"
,,,,,,,,,,,11.0191176,77.9479108,3450925242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9479108 11.0191176, 77.9457437 11.0201543)"
,,,,,,,,,,,11.0201543,77.9457437,3450925247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9457437 11.0201543, 77.9437586 11.0211099)"
,,,,,,,,,,,11.0211099,77.9437586,3450925257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9437586 11.0211099, 77.9415625 11.0221268)"
,,,,,,,,,,,11.0221268,77.9415625,3450925270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9415625 11.0221268, 77.9393423 11.0232107)"
,,,,,,,,,,,11.0232107,77.9393423,3450925281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9393423 11.0232107, 77.9371637 11.0242299)"
,,,,,,,,,,,11.0242299,77.9371637,3450927234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9371637 11.0242299, 77.9349183 11.0253013)"
,,,,,,,,,,,11.0253013,77.9349183,3450927244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9349183 11.0253013, 77.9325847 11.0264077)"
,,,,,,,,,,,11.0264077,77.9325847,3450927249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9325847 11.0264077, 77.930507 11.0273984)"
,,,,,,,,,,,11.0273984,77.930507,3450927256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.930507 11.0273984, 77.9283136 11.028453)"
,,,,,,,,,,,11.028453,77.9283136,3450927263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9283136 11.028453, 77.9259252 11.0297188)"
,,,,,,,,,,,11.0297188,77.9259252,3450927271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9259252 11.0297188, 77.9246436 11.0303906)"
,,,,,,,,,,,11.0303906,77.9246436,3450927275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9246436 11.0303906, 77.9222101 11.0316711)"
,,,,,,,,,,,11.0316711,77.9222101,3450927511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
