S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,,,,,,,,,,,77.8242604,11.14193063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8242604 11.141930630555555, 77.82549999999999 11.143027777777776)"
1,T.NO 1 MC,,T,MC,45,,,11.42,177,,77.8255,11.14302778,GOOD,,,,PLAIN,NADUPALAYAM LILO NEED 4WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82549999999999 11.143027777777776, 77.82597222222222 11.144944444444445)"
2,T.NO 2,,T,DB,24,01-Feb,218.0481598,6.45,182,"11°36'24""",77.82597222,11.14494444,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82597222222222 11.144944444444445, 77.82669444444444 11.146388888888888)"
3,T.NO 3,,T,DC,26,02-Mar,178.9413312,9.61,177,"20°23'22""",77.82669444,11.14638889,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82669444444444 11.146388888888888, 77.82822222222222 11.14786111111111)"
4,T.NO 4,,S ,DA,26,03-Apr,232.6478025,13.59,173,,77.82822222,11.14786111,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82822222222222 11.14786111111111, 77.82991666666666 11.149416666666665)"
5,T.NO 5,,S ,DA,26,04-May,253.2074249,11.53,171,,77.82991667,11.14941667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82991666666666 11.149416666666665, 77.83138888888888 11.150833333333333)"
6,T.NO 6,,T,DC,26,05-Jun,223.4502182,8.37,172,"28°29'35""",77.83138889,11.15083333,GOOD,GOOD,"LT-3,HT",RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83138888888888 11.150833333333333, 77.83383333333333 11.1515)"
7,T.NO 7,,S,DA,26,06-Jul,276.9205662,6.53,170,,77.83383333,11.1515,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83383333333333 11.1515, 77.83624999999999 11.152222222222223)"
8,T.NO 8,,S,DA,26,07-Aug,276.7399501,7.86,165,,77.83625,11.15222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83624999999999 11.152222222222223, 77.83858333333333 11.152888888888889)"
9,T.NO 9,,S,DA,26,08-Sep,265.126385,8.13,161,,77.83858333,11.15288889,GOOD,GOOD,LT-2,"TAARROAD,RIVER",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83858333333333 11.152888888888889, 77.84075 11.153555555555556)"
10,T.NO 10,,T,DC,26,09-Oct,248.5839898,9.39,159,"17°58'5""",77.84075,11.15355556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84075 11.153555555555556, 77.84330555555555 11.153500000000001)"
11,T.NO 11,,S,DA,26,10-Nov,281.0071173,9.83,165,,77.84330556,11.1535,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84330555555555 11.153500000000001, 77.84566666666666 11.153527777777779)"
12,T.NO 12,,S,DA,26,11-Dec,256.0312481,3.12,156,,77.84566667,11.15352778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84566666666666 11.153527777777779, 77.84852777777778 11.153444444444444)"
13,T.NO 13,,T,DB,24,Dec-13,314.0254767,11.39,158,"6°20'51""",77.84852778,11.15344444,GOOD,GOOD,"LT-2,HT-2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84852777777778 11.153444444444444, 77.85019444444444 11.153611111111111)"
14,T.NO 14,,T,DD,28,13-14,183.883115,15.69,170,"80°54'51""",77.85019444,11.15361111,GOOD,GOOD,HT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85019444444444 11.153611111111111, 77.85022222222221 11.15388888888889)"
15,GANTRY 110KV NADUPALAYAM SS,2W,T,GANTRY,15,14-GANTRY,33.06055051,,164,,77.85022222,11.15388889,GOOD,MISSING,,,PLAIN,110KV NADUPALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
