Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
2,T,26,1 to 2 ,88,88,16,16,212,"23°28'00"" RT",11.7980928,77.8066372,Good,Good,,River ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8066372 11.7980928, 77.806678 11.797843)"
3,T,28,2 to 3 ,339.50017444019954,339.50017444019954,18,18,209,"50°44'2"" LT",11.797843,77.806678,Good,Good,,Tar Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.806678 11.797843, 77.806301 11.796496)"
4,T,24,3 to 4 ,165,165,15,15,211,"7°9'5"" RT",11.796496,77.806301,Good,Good,Lt line ,Tar Road,Plain ,Residential Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.806301 11.796496, 77.805818 11.795351)"
4A,S,26,4 to 4A ,148,148,15,15,210,,11.795351,77.805818,Good,Good,,Tar Road,plain,Residential Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.805818 11.795351, 77.805158 11.793823)"
5,T,24,4A to 5,194,194,16,16,210,"0°4'00"" RT",11.793823,77.805158,Good,Good,,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.805158 11.793823, 77.804128 11.791446)"
6,T,24,5 to 6 ,302,302,14,14,207,"0°23'5"" LT",11.791446,77.804128,Good,Good,,Tar Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.804128 11.791446, 77.803095 11.789017)"
7,S,26,6 to 7 ,291.5501233844222,291.5501233844222,17,17,201,,11.789017,77.803095,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.803095 11.789017, 77.802072 11.78661)"
8,T,24,7 to 8 ,288.8824531858208,288.8824531858208,18,18,209,"6°26'17"" LT",11.78661,77.802072,Good,Good,,Tar Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.802072 11.78661, 77.801292 11.783979)"
9,S,26,8 to 9 ,303.4326422736754,303.4326422736754,18,18,210,,11.783979,77.801292,Good,Good,,Sand Road,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.801292 11.783979, 77.80041 11.780991)"
10,S,26,9 to 10 ,344.48821923340074,344.48821923340074,16,16,207,,11.780991,77.80041,Good,Good,,Sand Road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80041 11.780991, 77.799546 11.778085)"
