Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
32 LILO,,T,26,,,,,,200,,11.72695,77.778537,Good,Good,,,plain ,Tapping LMHEP1 & Mettur Dam Power House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.778537 11.72695, 77.778443 11.72599)"
33,,T,24,32 to 33,,106.7670139,,25,197,"3°16'56"" RT",11.72599,77.778443,Good,Good,,Tar Road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.778443 11.72599, 77.778173 11.72427)"
34,,S,26,33 to34 ,,192.6712665,,22,196,,11.72427,77.778173,Good,Good,,Sand Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.778173 11.72427, 77.777685 11.721463)"
35,,T,24,34 to 35 ,,315.2662706,,22,197,"0°26'23"" LT",11.721463,77.777685,Good,Good,,Sand Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.777685 11.721463, 77.777219 11.718653)"
36,,T,24,35 to 36 ,,315.1975344,,18,205,"0°28'5"" RT",11.718653,77.777219,Good,Good,,Tar Road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.777219 11.718653, 77.776788 11.716181)"
37,,S,26,36 to 37 ,,277.6637099,,16,205,,11.716181,77.776788,Good,Good,,Tar Road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.776788 11.716181, 77.776314 11.713159)"
38,,S,26,37 to 38 ,,338.512137,,14,211,,11.713159,77.776314,Good,Good,,Tar Road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.776314 11.713159, 77.77585 11.71044)"
39,,T,24,38 to39 ,,305.2234271,,18,202,"0°31'52"" LT",11.71044,77.77585,Good,Good,,River,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77585 11.71044, 77.775382 11.707533)"
40,,S,26,39 to 40 ,,325.8333096,,19,204,,11.707533,77.775382,Good,Good,,Road crossing ,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.775382 11.707533, 77.774905 11.704821)"
41,,T,24,40 to 41 ,,304.6981387,,16,193,"13°1'40"" RT",11.704821,77.774905,Good,Good,,Sand Road,plan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.774905 11.704821, 77.773912 11.702478)"
42,,S,26,41 to 42,,281.0885016,,15,193,,11.702478,77.773912,Good,Good,,Sand Road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.773912 11.702478, 77.772751 11.699786)"
43,,S,26,42 to 43 ,,323.8089831,,18,202,,11.699786,77.772751,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.772751 11.699786, 77.771688 11.697247)"
44,,S,26,43 to 44,,304.056069,,16,206,,11.697247,77.771688,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.771688 11.697247, 77.770608 11.694673)"
45,2W,T,24,44 to 45 ,,308.3453145,,13,191,"0°12'23"" LT",11.694673,77.770608,Good,Good,,Road crossing ,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.770608 11.694673, 77.76962 11.692294)"
46,,S,26,45 to 46 ,,284.5632548,,18,206,,11.692294,77.76962,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76962 11.692294, 77.768593 11.689873)"
47,,T,24,46 to 47 ,,290.4862709,,18,198,"0°1'52"" RT",11.689873,77.768593,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.768593 11.689873, 77.767649 11.687651)"
48,,S,26,47 to 48  ,,266.6687923,,19,199,,11.687651,77.767649,Good,Good,,Sand Road,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.767649 11.687651, 77.766404 11.68528)"
49,,S,26,48 to 49 ,,295.5372173,,17,199,,11.68528,77.766404,Good,Good,,,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.766404 11.68528, 77.765678 11.68412)"
50,,S,26,49 to 50 ,,150.8778024,,16,207,,11.68412,77.765678,Good,Good,,,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.765678 11.68412, 77.765028 11.682591)"
51,,S,26,50 to 51 ,,183.5174081,,15,196,,11.682591,77.765028,Good,Good,,Car Track,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.765028 11.682591, 77.763672 11.679979)"
52,,S,26,51 to 52,,324.8013239,,16,191,,11.679979,77.763672,Good,Good,,Tar Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.763672 11.679979, 77.762458 11.67763)"
53,,T,24,52 to 53 ,,291.8264048,,18,200,"0°9'23"" LT",11.67763,77.762458,Good,Good,,Sand Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.762458 11.67763, 77.761244 11.675265)"
54,,S,26,53 to 54 ,,293.4059245,,18,197,,11.675265,77.761244,Good,Good,,Tar Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.761244 11.675265, 77.760042 11.672894)"
55,,S,26,54 to 55 ,,293.4113408,,16,198,,11.672894,77.760042,Good,Good,,,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.760042 11.672894, 77.758638 11.670222)"
56,,S,26,55 to 56 ,,333.1047862,,15,200,,11.670222,77.758638,Good,Good,,Sand Road,Suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.758638 11.670222, 77.7573 11.6677)"
57,,S,26,56 to 57 ,,315.0508966,,17,198,,11.6677,77.7573,Good,Good,,Tar Road,Suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7573 11.6677, 77.756167 11.665468)"
58,2W,T,24,57 to 58 ,,276.2821948,,19,200,"0°12'32"" LT",11.665468,77.756167,Good,Good,,Tar Road,Suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.756167 11.665468, 77.754988 11.663124)"
59,,S,26,58 to 59 ,,289.6180344,,16,194,,11.663124,77.754988,Good,Good,,,Suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.754988 11.663124, 77.753588 11.660426)"
60,,S,26,59 to 60 ,,335.4650964,,13,201,,11.660426,77.753588,Good,Good,,Tar Road,Suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.753588 11.660426, 77.752187 11.65772)"
61,,T,24,60 to 61,,336.3036148,,17,192,"0°8'11"" LT",11.65772,77.752187,Good,Good,,Tar Road,Suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.752187 11.65772, 77.750855 11.655132)"
62,,S,26,61 to 62 ,,321.2474576,,16,193,,11.655132,77.750855,Good,Good,,,Suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.750855 11.655132, 77.7496 11.6526)"
63,,S,26,62 to 63 ,,311.9531791,,18,193,,11.6526,77.7496,Good,Good,230 kv line crossing ,Tar Road,Plain ,230KV MTPSI - Anthiyur (60-61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7496 11.6526, 77.748358 11.650289)"
64,,S,26,63 to 64 ,,289.5043517,,19,196,,11.650289,77.748358,Good,Good,230 kv line crossing ,,plain,230KV MTPSI - Ingur (510-511),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.748358 11.650289, 77.747061 11.64778)"
65,,T,24,64 to 65 ,,311.7217541,,17,200,"1°30'13"" LT",11.64778,77.747061,Good,Good,,Tar Road,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.747061 11.64778, 77.745057 11.643638)"
66 LILO ,3W,T,28,65 to 66 ,,507.9881881,,16,197,"76°29'37"" LT",11.643638,77.745057,Good,Good,,,suger cane,Tapping LMHEP-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.745057 11.643638, 77.745176 11.643543)"
1,,T,28,66 to 1,,16.70966462,,18,196,"50°23'52"" LT",11.643543,77.745176,Good,Good,,,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.745176 11.643543, 77.747537 11.644012)"
2,,S,26,1  to 2,,262.8135512,,18,193,,11.644012,77.747537,Good,Good,400 kv line crossing ,,suger cane,400KV MTPS II -Karamadai (55-56),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.747537 11.644012, 77.750352 11.644576)"
