Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
97 LILO,,T,26,,,,,16,193,,11.568453,77.714992,Good,Good,,,Agri farm,tapping to LMHEP-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.714992 11.568453, 77.714549 11.567234)"
98,,S,26,97 to 98,,158,,20,194,,11.567234,77.714549,Good,Good,,Tar Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.714549 11.567234, 77.713387 11.564137)"
11,,S,26,98 to 99,,365.5302604,,18,180,,11.564137,77.713387,Good,Good,,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.713387 11.564137, 77.712531 11.561819)"
#VALUE!,,S,26,99 to 100,,273.0712042,,22,182,,11.561819,77.712531,Good,Good,11kv line crossing ,Sand Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.712531 11.561819, 77.711468 11.558988)"
8,,S,26,100 to 101,,334.1656067,,24,186,,11.558988,77.711468,Good,Good,Lt line crossing ,Sand Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.711468 11.558988, 77.710538 11.556476)"
9,,S,26,101 to 102,,296.0136065,,21,189,,11.556476,77.710538,Good,Good,,Tar Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.710538 11.556476, 77.709592 11.553928)"
10,,S,26,102 to 103,,300.3560321,,28,189,,11.553928,77.709592,Good,Good,,Sand Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.709592 11.553928, 77.708575 11.551166)"
#VALUE!,,S,26,103 to 104,,325.2662112,,16,187,,11.551166,77.708575,Good,Good,,Sand Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.708575 11.551166, 77.707587 11.548544)"
7,,S,26,104 to 105,,309.6278862,,15,189,,11.548544,77.707587,Good,Good,,Sand Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.707587 11.548544, 77.706677 11.546158)"
8,,S,26,105 to 106,,282.1767401,,17,190,,11.546158,77.706677,Good,Good,,Sand Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.706677 11.546158, 77.705835 11.543539)"
9,2W,S,26,106 to 107,,304.1272793,,19,194,,11.543539,77.705835,Good,Good,,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.705835 11.543539, 77.705033 11.541048)"
#VALUE!,,S,26,107 to 108,,289.3015021,,15,184,,11.541048,77.705033,Good,Good,230 kv line crossing /lt 11k line crossing ,"Tar Road ,Canal",Sugar cane ,MTPS II- GOBI Thingalur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.705033 11.541048, 77.704103 11.538272)"
6,,S,26,108 to 109,,323.6201346,,20,192,,11.538272,77.704103,Good,Good,,,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.704103 11.538272, 77.703243 11.535627)"
7,,S,26,109 to 110,,307.4661982,,21,190,,11.535627,77.703243,Good,Good,,Sand Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.703243 11.535627, 77.702332 11.53284)"
8,,S,26,110 to 111,,324.134269,,18,189,,11.53284,77.702332,Good,Good,,Sand Road ,Sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.702332 11.53284, 77.701479 11.530261)"
