Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
Mettur Gantry ,2W,Gantry,20,,,,,,,,11.80125,77.803878,Good,Good,,,,In side the 110 kv Mettur Town SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.803878 11.80125, 77.804035 11.801145)"
1,,T,24,Gantry to 1,41,41,10,10,205,"101°12'36"" RT",11.801145,77.804035,Good,Good,,,Plain  ,In side the 110 kv Mettur Town SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.804035 11.801145, 77.803722 11.800838)"
2,,T,28,1 to 2,68,68,12,12,203,"62°40'26"" RT",11.800838,77.803722,Good,Good,,,Plain  ,In side the 110 kv Mettur Town SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.803722 11.800838, 77.802252 11.801303)"
3,,T,28,2 to 3,168.3858178,168.3858178,16,16,212,"35°50'12"" RT",11.801303,77.802252,Good,Good,,Tar road,Plain  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.802252 11.801303, 77.801273 11.802613)"
4,,T,24,3 to 4 ,180.0889442,180.0889442,16,16,214,"0°38'52"" RT",11.802613,77.801273,Good,Good,,Canal,Plain  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.801273 11.802613, 77.800425 11.803775)"
5,,T,24,4 to 5,158.4339624,158.4339624,18,18,210,"5°11'27"" RT",11.803775,77.800425,Good,Good,,,Plain  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.800425 11.803775, 77.799392 11.805501)"
6,,S,26,5 to 6,221.8158515,221.8158515,15,15,218,"22°28'49"" LT",11.805501,77.799392,Good,Good,,"canal, Tar Road ",Paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.799392 11.805501, 77.797895 11.806697)"
7,,T,26,6 to 7 ,207.1493297,207.1493297,14,14,233,"17°7'56"" LT",11.806697,77.797895,Good,Good,,,Paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.797895 11.806697, 77.796705 11.807073)"
8,,T,24,7 to 8 ,133.5858571,133.5858571,15,15,241,"13°23'55"" RT",11.807073,77.796705,Good,Good,,,Paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.796705 11.807073, 77.794495 11.808508)"
9,,T,24,8 to 9 ,294.8966308,294.8966308,16,16,238,"4°53'52"" RT",11.808508,77.794495,Good,Good,,Tar road,Paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.794495 11.808508, 77.792563 11.809968)"
10,,T,28,9 to 10 ,263.3910061,263.3910061,18,18,244,"32°56'7"" LT",11.809968,77.792563,Good,Good,,,Paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.792563 11.809968, 77.790975 11.810111)"
11,,T,24,10 to 11,173.9085496,173.9085496,18,18,250,"0°56'41"" RT",11.810111,77.790975,Good,Good,,,Sugar Cane ,water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.790975 11.810111, 77.78873 11.81035)"
