Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
2 LILO,3W,T,26,,,,3,190,"23⁰58'19"" RT",11.44671,77.711885,Good,Good,,Road crossing ,plain,Lilo to kumarapalayam SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.711885 11.44671, 77.713136 11.449129)"
3,,T,26,2lilo to 3 ,112.0187384,300.5988951,4.5,190,"16⁰26'43"" LT",11.449129,77.713136,Good,Good,,Road crossing ,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.713136 11.449129, 77.71368 11.452001)"
4,,S,26,3 to 4 ,338.4526908,323.4143861,3.2,191,,11.452001,77.71368,Good,Good,,Car Track,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71368 11.452001, 77.71436 11.45487)"
5,,T,28,4  to 5,290.4918492,326.1450954,4,193,"32⁰12'38"" RT",11.45487,77.71436,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71436 11.45487, 77.716227 11.456688)"
6,,S,26,5 to 6 ,303.5666732,286.455951,3.6,194,,11.456688,77.716227,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.716227 11.456688, 77.71785 11.45817)"
7,,S,26,6 to 7 ,272.3557432,241.4904213,3.4,199,,11.45817,77.71785,Good,Good,Lt Line crossing ,Road crossing ,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71785 11.45817, 77.71938 11.45963)"
8,,T,26,7 to 8,300.9555942,232.4399941,4.5,201,"29⁰2'15"" LT",11.45963,77.71938,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71938 11.45963, 77.72024 11.46242)"
9,,T,28,8 to 9,293.275796,322.797656,5,203,"42⁰43'9"" RT",11.46242,77.72024,Good,Good,Lt Line crossing ,Road crossing,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72024 11.46242, 77.72242 11.46368)"
10,,T,28,9 to 10 ,249.5835399,275.8847169,4,206,"48⁰3'49"" RT",11.46368,77.72242,Good,Good,,Road crossing,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72242 11.46368, 77.72439 11.46306)"
11,,S,26,10 to 11,299.1241421,225.7855075,4.5,204,,11.46306,77.72439,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72439 11.46306, 77.7266 11.46238)"
12,2W,T,24,11 to 12 ,278.9103552,252.775987,3,210,"12⁰42'51"" LT",11.46238,77.7266,Good,Good,LT -11 kv line crossing ,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7266 11.46238, 77.72836 11.46224)"
