S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY VEPPADAI 110KV S/S,,,GT,15,,,,189,,11.39880556,77.77586111,GOOD,,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77586111111111 11.398805555555555, 77.77575 11.399027777777777)"
2,T.NO-43,,T,DC,26,GT-43,29.15475947,0.2,188,"37°9'9"" ",11.39902778,77.77575,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77575 11.399027777777777, 77.77563888888889 11.398277777777777)"
3,T.NO-42,,T,DC,26,43-42,83.48652586,0.2,187,"49°18'10"" ",11.39827778,77.77563889,GOOD,GOOD,LT-1,TAR ROAD -2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77563888888889 11.398277777777777, 77.77372222222222 11.397)"
4,T.NO-41,,S,DA,26,42-41,252.4143419,0.5,185,,11.397,77.77372222,GOOD,GOOD,LT-1,TAR ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77372222222222 11.397, 77.7713611111111 11.395472222222221)"
5,T.NO-40,,S,DA,26,41-40,307.8587338,0.5,183,,11.39547222,77.77136111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7713611111111 11.395472222222221, 77.76894444444444 11.393916666666666)"
6,T.NO-39,,S,DA,26,40-39,315.0698335,0.3,181,,11.39391667,77.76894444,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76894444444444 11.393916666666666, 77.76622222222223 11.392166666666666)"
7,T.NO-38,,T,DD,28,39-38,356.9495763,0.3,180,,11.39216667,77.76622222,GOOD,GOOD,"110KV XING BELOW,LT-1 ",TAR ROAD -1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76622222222223 11.392166666666666, 77.76388888888889 11.390638888888889)"
8,T.NO-37,,S,DA,26,38-37,305.3686297,0.2,181,,11.39063889,77.76388889,GOOD,GOOD,,TAR ROAD -2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76388888888889 11.390638888888889, 77.76158333333333 11.389111111111111)"
9,T.NO-36,,S,DA,26,37-36,303.1517772,0.4,179,,11.38911111,77.76158333,GOOD,GOOD,LT-1,TAR ROAD -1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76158333333333 11.389111111111111, 77.75991666666667 11.388055555555555)"
10,T.NO-35,,S,DA,26,36-35,216.3330765,0.4,178,,11.38805556,77.75991667,GOOD,GOOD,,TAR ROAD -1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75991666666667 11.388055555555555, 77.75822222222222 11.386944444444444)"
11,T.NO-34,2W,T,DC,26,35-34,221.882852,0.5,186,"16°19'35"" ",11.38694444,77.75822222,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75822222222222 11.386944444444444, 77.75558333333333 11.386138888888889)"
12,T.NO-33,,S,DA,26,34-33,300.1283059,0.5,175,,11.38613889,77.75558333,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75558333333333 11.386138888888889, 77.75316666666667 11.385388888888889)"
13,T.NO-32,,S,DA,26,33-32,278.298401,,174,,11.38538889,77.75316667,GOOD,GOOD,"LT-1,22KV-1","TAR ROAD -1,CC-1",PLAIN,INSIDE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75316666666667 11.385388888888889, 77.7505 11.384611111111111)"
14,T.NO-31,,S,DA,26,32-31,303.9424288,0.2,173,,11.38461111,77.7505,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7505 11.384611111111111, 77.7478611111111 11.383805555555556)"
15,T.NO-30,,S,DA,26,31-30,300.4330208,0.3,171,,11.38380556,77.74786111,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7478611111111 11.383805555555556, 77.74505555555555 11.382944444444444)"
16,T.NO-29,,S,DA,26,30-29,322.2623155,0.3,172,,11.38294444,77.74505556,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74505555555555 11.382944444444444, 77.74211111111111 11.382027777777779)"
17,T.NO-28,,T,DC,26,29-28,338.0724774,,169,,11.38202778,77.74211111,GOOD,GOOD,"LT-1,22KV-1",TAR ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74211111111111 11.382027777777779, 77.73952777777778 11.38125)"
18,T.NO-27,,S,DA,26,28-27,294.7575275,0.5,167,,11.38125,77.73952778,GOOD,GOOD,22KV-1,"TAR ROAD -1,MUD ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73952777777778 11.38125, 77.73683333333334 11.380444444444445)"
19,T.NO-26,,S,DA,26,27-26,307.1042168,0.3,166,,11.38044444,77.73683333,GOOD,GOOD,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73683333333334 11.380444444444445, 77.73419444444444 11.37963888888889)"
20,T.NO-25,,S,DA,26,26-25,302.3375597,0.2,165,,11.37963889,77.73419444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73419444444444 11.37963888888889, 77.73175 11.37888888888889)"
21,T.NO-24,,S,DA,26,25-24,279.2507833,0.3,166,,11.37888889,77.73175,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73175 11.37888888888889, 77.72919444444445 11.378111111111112)"
22,T.NO-23,,T,DC,26,24-23,291.2541845,0.2,165,,11.37811111,77.72919444,GOOD,GOOD,LT-1,TAR ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72919444444445 11.378111111111112, 77.72741666666667 11.377555555555556)"
23,T.NO-22/1 LILO,,T,DD,28,23-22/1,204.9243763,0.4,164,"90°56'55"" ",11.37755556,77.72741667,GOOD,GOOD,,,PLAIN,NO OPGW DONE FROM T.NO-1 to GANTRY BKB-I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72741666666667 11.377555555555556, 77.72691666666667 11.379055555555556)"
24,T.NO-2,,T,DD,28,22-01-2002,173.2974322,0.3,166,"31°0'5"" ",11.37905556,77.72691667,GOOD,GOOD,LT-1,TAR ROAD -1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72691666666667 11.379055555555556, 77.72511111111112 11.380555555555556)"
25,T.NO-3,,S,DC,26,02-Mar,259.023165,0.3,167,,11.38055556,77.72511111,GOOD,GOOD,22KV-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72511111111112 11.380555555555556, 77.72347222222223 11.381944444444445)"
26,T.NO-4,,S,DC,26,03-Apr,235.7159307,0.2,165,,11.38194444,77.72347222,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72347222222223 11.381944444444445, 77.72172222222223 11.383444444444445)"
27,T.NO-5,,T,DD,28,04-May,253.2686321,0.1,168,"44°54'14"" ",11.38344444,77.72172222,GOOD,GOOD,,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72172222222223 11.383444444444445, 77.72011111111111 11.383333333333333)"
