Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,
Sankagiri Gantry,T,20,,,,,,,,11.445003,77.827185,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.827185 11.445003, 77.827698 11.444776)",,,,,,,,,,,,,,
1,T,26,Gantry to 1,61,61.40038511389274,,5.6,240,"20⁰36'37"" RT",11.444776,77.827698,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.827698 11.444776, 77.829379 11.443131)",,,,,,,,,,,,,,
2,T,26,1 to 2 ,173,258.5791461136026,,5.6,242,"20⁰19'8"" RT",11.443131,77.829379,Good,Good,33 kv line crossing ,Road Crossing,Plain land ,Residentilal area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.829379 11.443131, 77.83008 11.441642)",,,,,,,,,,,,,,
3,S,24,2 to 3,263,181.74776004750458,,5.3,240,,11.441642,77.83008,Good,Good,,Car Track,Plain land ,Residentilal area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83008 11.441642, 77.831437 11.43958)",,,,,,,,,,,,,,
4,T,26,3 to 4 ,271,272.15765394628505,,5.6,250,"16⁰5'40"" RT",11.43958,77.831437,Good,Good,,,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.831437 11.43958, 77.832035 11.437638)",,,,,,,,,,,,,,
5,T,24,4 to 5 ,226,224.68813624443388,,6.1,252,"0⁰34'37"" RT",11.437638,77.832035,Good,Good,11kv line crossing ,,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.832035 11.437638, 77.832723 11.43532)",,,,,,,,,,,,,,
6,T,24,5 to 6 ,268,267.3865787589602,,5.3,240,"4⁰47'20"" LT",11.43532,77.832723,Good,Good,2-LT line crossing ,,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.832723 11.43532, 77.83331 11.43382)",,,,,,,,,,,,,,
7,T,24,6 to 7,243,178.00124351420124,,4.6,238,"4⁰9'24"" LT",11.43382,77.83331,Good,Good,,Car Track,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83331 11.43382, 77.83433 11.431688)",,,,,,,,,,,,,,
8,T,28,7 to 8 ,220,260.9889621419386,,7.8,239,56⁰5'54 LT,11.431688,77.83433,Good,Good,,,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83433 11.431688, 77.836666 11.431338)",,,,,,,,,,,,,,
9,S,24,8 to 9,265,258.04286214584556,,5.8,243,,11.431338,77.836666,Good,Good,,,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.836666 11.431338, 77.839077 11.431057)",,,,,,,,,,,,,,
10,S,24,9 t o10 ,258,265.14014189522555,,5.8,246,,11.431057,77.839077,Good,Good,,Car Track,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.839077 11.431057, 77.841502 11.430713)",,,,,,,,,,,,,,
11,T,26,10 to 11,263,267.5627368808798,,5.8,264,"23⁰5'31"" RT",11.430713,77.841502,Good,Good,LT Line crossing ,,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.841502 11.430713, 77.843563 11.429478)",,,,,,,,,,,,,,
12,S,24,11 to 12 ,262,263.3565278182298,,8.7,250,,11.429478,77.843563,Good,Good,LT Line crossing ,Road crossing ,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.843563 11.429478, 77.84579 11.428172)",,,,,,,,,,,,,,
13,T,28,12 to 13,285,282.9461180313897,,5.6,251,"53⁰52'53"" RT",11.428172,77.84579,Good,Good,,Car Track,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84579 11.428172, 77.846063 11.425317)",,,,,,,,,,,,,,
14,T,28,13 to 14 ,320,317.4678034291894,,5.8,244,"40⁰48'41"" LT",11.425317,77.846063,Good,Good,,,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.846063 11.425317, 77.84686 11.424563)",,,,,,,,,,,,,,
15,S,24,14 to 15,125,120.59960872393167,,6,244,,11.424563,77.84686,Good,Good,11 kv /road ,Railway line crossing ,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84686 11.424563, 77.849041 11.422593)",,,,,,,,,,,,,,
16,T,24,15 to 16,321,322.9582832968112,,5.8,242,"6⁰26'35"" RT",11.422593,77.849041,Good,Good,,Road crossing ,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.849041 11.422593, 77.850332 11.421132)",,,,,,,,,,,,,,
17,S,24,16 to 17,216,214.57106221425744,,9.8,242,,11.421132,77.850332,Good,Good,33 kv line crossing ,,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.850332 11.421132, 77.851573 11.419734)",,,,,,,,,,,,,,
18,T,26,17 to 18,209,205.7265778434576,,5.8,242,"19⁰11'35"" LT",11.419734,77.851573,Good,Good,,,Plain land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.851573 11.419734, 77.85453 11.418077)",,,,,,,,,,,,,,
19,T,24,18 to 19,372,371.4178284976682,,4.5,234,"0⁰7'42"" LT",11.418077,77.85453,Good,Good,,Road crossing ,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85453 11.418077, 77.857323 11.41652)",,,,,,,,,,,,,,
20,S,24,19 to 20 ,353,350.3787121827962,,4.3,236,,11.41652,77.857323,Good,Good,400 kv Line crossing ,Car Track,Plain Agri land ,tower No 66 to 67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.857323 11.41652, 77.85966 11.41523)",,,,,,,,,,,,,,
21,T,28,20 to 21 ,293,292.4814665383634,,3.5,249,"30⁰1'44"" RT",11.41523,77.85966,Good,Good,110 kv  Line crossing ,,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85966 11.41523, 77.860917 11.413145)",,,,,,,,,,,,,,
22,S,24,21 to 22 ,267,268.566782117,,3.5,246,,11.413145,77.860917,Good,Good,,Road crossing,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.860917 11.413145, 77.862042 11.411207)",,,,,,,,,,,,,,
23,S,24,22 to 23 ,244,247.24419659140634,,5.6,245,,11.411207,77.862042,Good,Good,,,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.862042 11.411207, 77.863075 11.409477)",,,,,,,,,,,,,,
24,T,24,23 to 24 ,222,222.28559736519603,,4.5,243,"14⁰56'50"" LT",11.409477,77.863075,Good,Good,,Road crossing,Plain Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.863075 11.409477, 77.865335 11.407282)",,,,,,,,,,,,,,
