Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
DEVIYAKURICHI GANTRY,T,20,,,,,196,,11.5831,78.72273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72273 11.5831, 78.72331 11.58295)"
223,T,28,GANTRY - 223,66,65.42264921901301,4.15,182,"72⁰42'9"" RT",11.58295,78.72331,GOOD,GOOD,TOWER INSIDE THE SUB STATION,"RAILWAY CROSSING, SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72331 11.58295, 78.72338 11.58143)"
222,T,24,223-222,169,168.37524200924113,5.13,183,"12⁰18'36"" RT",11.58143,78.72338,GOOD,GOOD,33KV LINE CROSSING,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72338 11.58143, 78.72296 11.57901)"
221,S,26,222-221,274,271.687721738372,3.38,181,,11.57901,78.72296,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72296 11.57901, 78.72242 11.57613)"
220,T,24,221-220,324,324.09894792509834,4.29,182,"5⁰10'10"" RT",11.57613,78.72242,GOOD,GOOD,LT LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72242 11.57613, 78.72171 11.57363)"
219,S,26,220-219,289,287.28981378693476,6.57,186,,11.57363,78.72171,GOOD,GOOD,,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72171 11.57363, 78.72099 11.57114)"
218,S,26,219-218,288,286.5218913595617,6.83,187,,11.57114,78.72099,GOOD,GOOD,,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72099 11.57114, 78.72031 11.56869)"
217,S,26,218-217,282,281.0845879666587,7.16,186,,11.56869,78.72031,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72031 11.56869, 78.71955 11.56614)"
216,T,26,217-216,295,294.11387309075786,5.78,186,"25⁰6'6"" RT",11.56614,78.71955,GOOD,GOOD,,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71955 11.56614, 78.71929 11.56585)"
DP 215,T,28,216-215,44,42.8331257262384,,186,"43⁰19'18"" LT",11.56585,78.71929,NO,NO,,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71929 11.56585, 78.719299 11.565574)"
