S.NO,Tower No,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO,,T,T,26,,,,2.37,292,,11.63027,78.45346,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45346 11.63027, 78.45355 11.63104)"
2,1,,D,T,24,LILO-1,89,85.78801222,2.57,292,"0⁰42'16"" LT",11.63104,78.45355,GOOD,GOOD,"LT LINE-2,22KV LINE-1",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45355 11.63104, 78.45377 11.63315)"
3,2,,A,S,26,1--2,237,234.7666464,0.96,289,,11.63315,78.45377,GOOD,GOOD,LT LINE-1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45377 11.63315, 78.45396 11.63522)"
4,3,,A,S,26,02-Mar,233,230.0450074,2.75,289,,11.63522,78.45396,GOOD,GOOD,,CAR TRACK,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45396 11.63522, 78.45417 11.63775)"
5,4,,B,T,24,03-Apr,284,280.9579862,2.06,292,"7⁰31'41"" LT",11.63775,78.45417,GOOD,GOOD,,ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45417 11.63775, 78.45402 11.64072)"
6,5,,C,T,24,04-May,333,329.1288606,3.49,298,"14⁰16'20"" RT",11.64072,78.45402,GOOD,GOOD,LTLINE 1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45402 11.64072, 78.4546 11.64355)"
7,6,,A,S,26,05-Jun,321,319.5547392,1.24,302,,11.64355,78.4546,GOOD,GOOD,LTLINE 1,CAR TRACK,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4546 11.64355, 78.45502 11.64579)"
8,7,,A,S,26,06-Jul,255,252.1239213,0.93,301,,11.64579,78.45502,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45502 11.64579, 78.45557 11.64835)"
9,8,,D,T,24,07-Aug,294,289.6269062,0.68,300,"13⁰52'8"" RT",11.64835,78.45557,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45557 11.64835, 78.45666 11.65057)"
10,9,,C,T,26,08-Sep,275,272.9761979,0.57,298,"21⁰21'31"" LT",11.65057,78.45666,GOOD,GOOD,LTLINE 1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45666 11.65057, 78.45679 11.65221)"
