Tower No,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY R.S PURAM 110KV SS,,GANTRY,20,,,,437,,76.94936111111112,11.004805555555556,GOOD,MISSING,,,,N0 EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94936111111112 11.004805555555556, 76.94922222222223 11.004777777777777)"
T.NO 13,T,DD,28,GT-13,16.492422502470642,1.85,435,"47°31'15""",76.94922222222223,11.004777777777777,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94922222222223 11.004777777777777, 76.94772222222223 11.004527777777778)"
T.NO 14,T,DB,24,13-14,166.37307474468338,4.15,438,"4°20'51""",76.94772222222223,11.004527777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94772222222223 11.004527777777778, 76.94636111111112 11.003666666666666)"
T.NO 15,T,DC,26,14-15,175.57049866079439,IN LAKE,436,"23°27'30""",76.94636111111112,11.003666666666666,GOOD,GOOD,"LT,3nos HT",TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94636111111112 11.003666666666666, 76.94344444444445 11.00461111111111)"
T.NO 16,T,DD,34,15-16,335.2610922848042,IN LAKE,435,"50°30'4""",76.94344444444445,11.00461111111111,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94344444444445 11.00461111111111, 76.94080555555556 11.004833333333334)"
T.NO 17,T,DB,30,16-17,289.9137802864845,IN LAKE,437,"12°48'13""",76.94080555555556,11.004833333333334,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94080555555556 11.004833333333334, 76.93825000000001 11.004583333333333)"
T.NO 18,T,MB,45,17-18,281.3965173913849,1,434,"10°15'39""",76.93825000000001,11.004583333333333,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93825000000001 11.004583333333333, 76.93788888888889 11.002222222222223)"
T.NO 19,T,DD,28,18-19,265.452443951831,1.04,436,"76°35'36""",76.93788888888889,11.002222222222223,GOOD,GOOD,2nos 11kv,LAKE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93788888888889 11.002222222222223, 76.93758333333334 10.999916666666666)"
T.NO 20,S ,DA,26,19-20,257.25668115716644,4.63,433,,76.93758333333334,10.999916666666666,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93758333333334 10.999916666666666, 76.93725 10.998)"
T.NO 21,T,DB,24,20-21,215.8564337702261,3.47,430,"0°29'11""",76.93725,10.998,GOOD,GOOD,"2nos LT,2nos 11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93725 10.998, 76.93697222222222 10.996083333333333)"
