Tower No,Tower Type,Tower Type (S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
14LILO,SB,T,26,,,2.96,256.431335,,11.67235026937574,77.98955229926504,GOOD,GOOD,LT.1,ROAD,PLAIN,K.R.Thoppur to Thumbipady line Tapping to Tharamangalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98955229926504 11.67235026937574, 77.98911429995476 11.6727892692777)"
15 DB(1),DB,T,24,14-15DB 1,=SQRT((J8-J7)^2+(K8-K7)^2),16.78,258.347748,"10d29'29""LT",11.6727892692777,77.98911429995476,GOOD,GOOD,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98911429995476 11.6727892692777, 77.98891430027223 11.673082269211633)"
15 DB(2),DB,T,24,15 DB1-15 DB2,=SQRT((J9-J8)^2+(K9-K8)^2),16.67,259.509735," 25d21'0""RT",11.673082269211633,77.98891430027223,GOOD,GOOD,230KV,,PLAIN,230KV MTPS1 TO SALEM(97-98),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98891430027223 11.673082269211633, 77.98863230071258 11.673244269177275)"
16,SB,T,24,15 DB 2-16,=SQRT((J10-J9)^2+(K10-K9)^2),2.54,259.400574, 8d34'46RT,11.673244269177275,77.98863230071258,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98863230071258 11.673244269177275, 77.98636830423227 11.674152268993733)"
=A10+1,SC,T,26,16-17,=SQRT((J11-J10)^2+(K11-K10)^2),0.9,263.173401,"15d55'24""LT",11.674152268993733,77.98636830423227,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98636830423227 11.674152268993733, 77.98395030800702 11.67601926858464)"
=A11+1,SC,T,26,17-18,=SQRT((J12-J11)^2+(K12-K11)^2),2.80.,258.093719,"28d43'48""RT",11.67601926858464,77.98395030800702,GOOD,GOOD,HT.1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98395030800702 11.67601926858464, 77.98164131156304 11.676393268529084)"
=A12+1,SA,S,26,18-19,=SQRT((J13-J12)^2+(K13-K12)^2),4.05,262.94278,,11.676393268529084,77.98164131156304,GOOD,GOOD,"LT.1,HT.1,",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98164131156304 11.676393268529084, 77.97961231468076 11.676726268479209)"
=A13+1,SC,T,26,19-20,=SQRT((J14-J13)^2+(K14-K13)^2),3.60.,263.429138,"18d40'43""LT",11.676726268479209,77.97961231468076,GOOD,GOOD,LT.2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97961231468076 11.676726268479209, 77.97747231798282 11.677841268243943)"
=A14+1,SA,S,26,20-21,=SQRT((J15-J14)^2+(K15-K14)^2),2.20.,259.821411,,11.677841268243943,77.97747231798282,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97747231798282 11.677841268243943, 77.97528532134996 11.678997268000213)"
=A15+1,SA,S,26,21-22,=SQRT((J16-J15)^2+(K16-K15)^2),4.15,252.539276,,11.678997268000213,77.97528532134996,GOOD,GOOD,LT.1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97528532134996 11.678997268000213, 77.9731143246843 11.680134267760593)"
=A16+1,SA,S,26,22-23,=SQRT((J17-J16)^2+(K17-K16)^2),1.52,252.432678,,11.680134267760593,77.9731143246843,GOOD,GOOD,LT.1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9731143246843 11.680134267760593, 77.97150732714752 11.680983267580983)"
=A17+1,SA,S,26,23-24,=SQRT((J18-J17)^2+(K18-K17)^2),7.82,246.296509,,11.680983267580983,77.97150732714752,GOOD,GOOD,,BYE PASS ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97150732714752 11.680983267580983, 77.97090632806744 11.68129126751642)"
24 A,SA,S,26,24-24A,=SQRT((J19-J18)^2+(K19-K18)^2),2.50.,245.634674,,11.68129126751642,77.97090632806744,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97090632806744 11.68129126751642, 77.96904833090758 11.68224826731487)"
25,SA,S,26,24A-25,=SQRT((J20-J19)^2+(K20-K19)^2),6.50.,246.457489,,11.68224826731487,77.96904833090758,GOOD,GOOD,HT.1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96904833090758 11.68224826731487, 77.96694433411766 11.683362267079456)"
=A20+1,SA,S,26,25-26,=SQRT((J21-J20)^2+(K21-K20)^2),8,250.677521,,11.683362267079456,77.96694433411766,GOOD,GOOD,"LT.1,HT.1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96694433411766 11.683362267079456, 77.96496533713098 11.684433266851801)"
=A21+1,SA,S,26,26-27,=SQRT((J22-J21)^2+(K22-K21)^2),11.70.,260.029236,,11.684433266851801,77.96496533713098,GOOD,GOOD,LT.1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96496533713098 11.684433266851801, 77.96261334070176 11.685629266600632)"
=A22+1,SA,S,26,27-28,=SQRT((J23-J22)^2+(K23-K22)^2),4.25,260.316467,,11.685629266600632,77.96261334070176,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96261334070176 11.685629266600632, 77.96020134435494 11.686883266335334)"
=A23+1,SC,T,26,28-29,=SQRT((J24-J23)^2+(K24-K23)^2),1.95,269.321533," 18d58'2""LT",11.686883266335334,77.96020134435494,GOOD,GOOD,"LT.3,HT.1",CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96020134435494 11.686883266335334, 77.95837234714513 11.688826265898472)"
=A24+1,SA,S,26,29-30,=SQRT((J25-J24)^2+(K25-K24)^2),0.75,267.510712,,11.688826265898472,77.95837234714513,GOOD,GOOD,"LT.1,HT.1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95837234714513 11.688826265898472, 77.95661934981365 11.690671265483576)"
=A25+1,SA,S,26,30-31,=SQRT((J26-J25)^2+(K26-K25)^2),0.85,261.384338,,11.690671265483576,77.95661934981365,GOOD,GOOD,LT.2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95661934981365 11.690671265483576, 77.95479635258275 11.692574265056106)"
=A26+1,SB,T,24,31-32,=SQRT((J27-J26)^2+(K27-K26)^2),0.75,266.978638,"14d59'59""LT",11.692574265056106,77.95479635258275,GOOD,GOOD,LT.3 ,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95479635258275 11.692574265056106, 77.95367335430949 11.694644264579052)"
=A27+1,SA,S,26,32-33,=SQRT((J28-J27)^2+(K28-K27)^2),1.65,271.428162,,11.694644264579052,77.95367335430949,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95367335430949 11.694644264579052, 77.95296760733679 11.694959413337791)"
34/1 LILO,SD,T,28,33-34/1,=SQRT((J29-J28)^2+(K29-K28)^2),1.85,273,,11.694959413337791,77.95296760733679,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95296760733679 11.694959413337791, 77.95344367928804 11.695776462618479)"
2,SD,T,28,34/1-2,=SQRT((J30-J29)^2+(K30-K29)^2),2.25,268," 36d1'46""RT",11.695776462618479,77.95344367928804,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95344367928804 11.695776462618479, 77.95522110707013 11.696589122646659)"
3,SA,S,26,2-3,=SQRT((J31-J30)^2+(K31-K30)^2),9.75,267,,11.696589122646659,77.95522110707013,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95522110707013 11.696589122646659, 77.9571268360964 11.69740044484969)"
4,SC,T,26,3-4,=SQRT((J32-J31)^2+(K32-K31)^2),1.15,273,"21d15'38""RT",11.69740044484969,77.9571268360964,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9571268360964 11.69740044484969, 77.95821061625524 11.69848218172489)"
5,SC,T,26,4-5,=SQRT((J33-J32)^2+(K33-K32)^2),0.55,276," 17d1'7"" LT",11.69848218172489,77.95821061625524,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95821061625524 11.69848218172489, 77.95893073288549 11.699838642592514)"
6,SD,T,28,5-6,=SQRT((J34-J33)^2+(K34-K33)^2),16.85,275," 38d43'12""RT",11.699838642592514,77.95893073288549,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95893073288549 11.699838642592514, 77.96089185891879 11.70068548921476)"
7,SB,T,24,6-7,=SQRT((J35-J34)^2+(K35-K34)^2),1.05,278,"3d48'42""RT",11.70068548921476,77.96089185891879,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96089185891879 11.70068548921476, 77.96143464180548 11.700878590621175)"
8,SB,T,24,7-8,=SQRT((J36-J35)^2+(K36-K35)^2),0.17,274,"10d41'22""RT",11.700878590621175,77.96143464180548,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96143464180548 11.700878590621175, 77.96172740463946 11.700830401192116)"
Tharamangalam gantry,GANTRY,T,20,8-Gantry,=SQRT((J37-J36)^2+(K37-K36)^2),,275,,11.700830401192116,77.96172740463946,,,LT-1,,,110Kv Tharamangalam SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,=SUM(F8:F37),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
