Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
39(LILO POINT),SD,28,,,,0.32,247,,11.35519,78.23508,GOOD,GOOD,,,, CIRCUIT1 GOING TO KNP 110KV SS AND  CIRCUIT 2 GOING TO NAMAGIRIPETTAI 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23508 11.35519, 78.23562 11.35593)"
40(DP-1),SD,28,39-40,,100.94386429429328,,254,"37°25'06""(LT)",11.35593,78.23562,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23562 11.35593, 78.23561 11.35627)"
41(DP-2),SD,28,40-41,,37.6530713990549,,254,"36°43'28""(LT)",11.35627,78.23561,GOOD,GOOD,110KV LINE CROSSING(KN.PATTY TO RASIPURAM SS)5M CLEARENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23561 11.35627, 78.23504 11.35698)"
42,SD,28,41-42,,100.26925806630663,0.24,258,"49°38'30""(RT)",11.35698,78.23504,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23504 11.35698, 78.23528 11.35817)"
43,SD,28,42-43,,134.31365722484136,0.44,262,"45°22'15""(RT)",11.35817,78.23528,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23528 11.35817, 78.23748 11.3596)"
44,SA,26,43-44,,287.76332094920275,0.97,263,,11.3596,78.23748,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,SMALL ROCK AREA,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23748 11.3596, 78.23988 11.36111)"
45,SB,24,44-45,,310.91155210932476,0.58,258,"12°13'45""(RT)",11.36111,78.23988,GOOD,GOOD,,SAND ROAD CROSSING,ROCK AREA,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23988 11.36111, 78.24136 11.36165)"
46,SD,28,45-46,,172.3596912898758,1.14,259,"58°32'38""(LT)",11.36165,78.24136,GOOD,GOOD,,,ROCK AREA,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24136 11.36165, 78.24184 11.36405)"
47,SC,26,46-47,,270.7975074856052,2.61,251,"20°39'15""(LT)",11.36405,78.24184,GOOD,GOOD,"LT-2, WIRE CABLE-1",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24184 11.36405, 78.24143 11.36647)"
48,SB,24,47-48,,271.6049084380978,1.18,246,"05°31'59""(LT)",11.36647,78.24143,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24143 11.36647, 78.24075 11.36897)"
