SL NO ,Tower No,JOINT BOX,Tower Type,Tower Type (S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,43 lilo,,T,T,26,,,356(1000-2),294,,11.67766,78.07668,GOOD,GOOD,,,AGRI LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07668 11.67766, 78.07652 11.67804)"
2,1,,DC,T,26,43-01,45.55062581,1.07,295,"26⁰42'18"" LT",11.67804,78.07652,GOOD,GOOD,LT LINE -5,,AGRI LAND ,WIRE CABLE -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07652 11.67804, 78.07559 11.67883)"
3,2,,DB,T,24,01-Feb,133.9747508,1.53,297,"0⁰53'0"" RT",11.67883,78.07559,GOOD,GOOD,,SAND ROAD,AGRI LAND ,WIRE CABLE -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07559 11.67883, 78.07365 11.68053)"
4,3,,DB,T,24,02-Mar,283.2691256,1.48,300,"14⁰19'44"" RT",11.68053,78.07365,GOOD,GOOD,LT LINE -2,,AGRI LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07365 11.68053, 78.07254 11.68215)"
5,4,,DA,S,26,03-Apr,216.4276354,2.46,297,,11.68215,78.07254,GOOD,GOOD,LT LINE -3,,"AGRI LAND , HOUSE HOLD AREA ",WIRE CABLE -3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07254 11.68215, 78.07146 11.68366)"
6,5,,DD,T,28,04-May,204.5437573,1.97,302,"31⁰29'46"" RT",11.68366,78.07146,GOOD,GOOD,LT LINE -1 ,TAR ROAD,AGRI LAND,WIRE CABLE -1 FANCING-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07146 11.68366, 78.07126 11.68672)"
7,6,,DA,S,26,05-Jun,339.4905749,3.59,298,,11.68672,78.07126,GOOD,GOOD,,SAND ROAD,AGRI LAND,WIRE CABLE -1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07126 11.68672, 78.071016 11.689479)"
8,7,,DB,T,24,06-Jul,306.6213967,6.18,296,"3⁰33'7"" LT",11.689479,78.071016,GOOD,GOOD,230KV LINE -1 (New Line Crossing),,,WIRE CABLE -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.071016 11.689479, 78.07062 11.69208)"
9,8,,DD,T,28,07-Aug,291.1943012,1.14,299,"48⁰49'18"" RT",11.69208,78.07062,GOOD,GOOD,LT LINE -3,TAR ROAD,AGRI LAND,WIRE CABLE -1 FANCING-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07062 11.69208, 78.07228 11.69401)"
10,9,,DA,S,26,08-Sep,280.1243243,0.96,303,,11.69401,78.07228,GOOD,GOOD,LT LINE -1 ,,,WIRE CABLE-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07228 11.69401, 78.07379 11.6958)"
11,10,,DD,T,28,09-Oct,257.7276298,1.67,307,"48⁰5'29"" RT",11.6958,78.07379,GOOD,GOOD,22KV LINE-1,SAND ROAD-2,AGRI LAND,FANCING-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07379 11.6958, 78.07647 11.6959)"
12,11,,DC,T,26,10-Nov,292.6425036,5.25,308,"18⁰56'4"" LT",11.6959,78.07647,GOOD,GOOD,LT LINE-1 (Canol Crossing),,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07647 11.6959, 78.07881 11.69679)"
13 TAP,12,,DB,T,24,11-Dec,273.6858134,7.23,306,"0⁰33'12"" LT",11.69679,78.07881,GOOD,GOOD,LT LINE -1 ,TAR ROAD-2,"AGRI LAND , HOUSE HOLD AREA ",WIRE CABLE-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07881 11.69679, 78.08111 11.69769)"
