Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
PUDANSANTHAI GANTRY,GANTRY,T,20,,,,,231,,11.318465463830123,78.17661978184667,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17661978184667 11.318465463830123, 78.17670980203496 11.318619895187044)"
1,DD,T,28,GANTRY-01,,19.72308292331602,7.53,231,"67°07'45""(RT)",11.318619895187044,78.17670980203496,GOOD,GOOD,,TAR ROAD CROSSING,TOWER INSIDE THE LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17670980203496 11.318619895187044, 78.17684726857398 11.318603141047946)"
2,DD,T,28,01-02,,15.132745950421556,8.17,231,"86°34'12""(RT)",11.318603141047946,78.17684726857398,GOOD,GOOD,,,TOWER INSIDE THE SUB STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17684726857398 11.318603141047946, 78.17672822689491 11.316741079186245)"
3,DD,T,28,02-03,,206.54539452623968,5.76,230,"48°17'32""(LT)",11.316741079186245,78.17672822689491,GOOD,GOOD,,TAR ROAD CROSSING,TOWER INSIDE THE SUB STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17672822689491 11.316741079186245, 78.17852152787154 11.314951475296091)"
4,DB,T,24,03-04,,278.6323742855449,4.06,229,"10°19'05""(RT)",11.314951475296091,78.17852152787154,GOOD,GOOD,LT-2,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17852152787154 11.314951475296091, 78.17989564982896 11.312968151262995)"
5,DD,T,28,04-05,,265.9793225045887,3.06,230,"58°24'36""(LT)",11.312968151262995,78.17989564982896,GOOD,GOOD,"230KV LINE CROSSING(PUDANSANTHAI TO VALAPADI), LT LINE CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17989564982896 11.312968151262995, 78.18107587702924 11.313024572995243)"
6,DD,T,28,05-06,,129.0968628588627,4.07,231,"55°56'45""(RT)",11.313024572995243,78.18107587702924,GOOD,GOOD,33KV-1,"TAR ROAD CROSSING, SAND ROAD CROSSING RAILWAY CROSSING(NAMAKKAL TO RASIPURAM)",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18107587702924 11.313024572995243, 78.18276353955414 11.310800308694102)"
7,DC,T,26,06-07,,307.6166445431716,2.09,228,"20°39'37""(RT)",11.310800308694102,78.18276353955414,GOOD,GOOD,"33KV-2, LT-2",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18276353955414 11.310800308694102, 78.18354941653071 11.308124794063755)"
8,DA,S,26,07-08,,308.37963616296065,3.97,225,,11.308124794063755,78.18354941653071,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18354941653071 11.308124794063755, 78.18437267654873 11.305368326265171)"
9,DA,S,26,08-09,,318.1273329973393,2.09,222,,11.305368326265171,78.18437267654873,GOOD,GOOD,"33KV-1, LT-3",TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18437267654873 11.305368326265171, 78.18513043844331 11.302755768138521)"
10,DD,T,28,09-10,,300.83217912982644,3.09,217,"33°04'30""(LT)",11.302755768138521,78.18513043844331,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18513043844331 11.302755768138521, 78.18689340269277 11.301245836084444)"
11,DA,S,26,10-11,,255.03333115496883,2.67,214,,11.301245836084444,78.18689340269277,GOOD,GOOD,LT LINE-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18689340269277 11.301245836084444, 78.1885738919501 11.299744139578532)"
12,DA,S,26,11-12,,247.68528418135784,1.03,214,,11.299744139578532,78.1885738919501,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1885738919501 11.299744139578532, 78.19035556502133 11.298189187263642)"
13,DA,S,26,12-13,,259.8557292037257,13.2,217,,11.298189187263642,78.19035556502133,GOOD,GOOD,LT-3,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19035556502133 11.298189187263642, 78.19185121953865 11.296866384409068)"
14,DD,T,28,13-14,,219.42652528807906,5.06,217,"30°01'04""(RT)",11.296866384409068,78.19185121953865,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19185121953865 11.296866384409068, 78.19262445615011 11.29453397788227)"
15,DA,S,26,14-15,,271.67075661542964,4.93,217,,11.29453397788227,78.19262445615011,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19262445615011 11.29453397788227, 78.19337893299671 11.292246557172026)"
16,DA,S,26,15-16,,266.3005820496831,6.09,216,,11.292246557172026,78.19337893299671,GOOD,GOOD,,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19337893299671 11.292246557172026, 78.19391657803673 11.290607508066337)"
17,DC,T,26,16-17,,190.71706793048176,6.09,214,"27°51'57""(LT)",11.290607508066337,78.19391657803673,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19391657803673 11.290607508066337, 78.19600617440217 11.293147713586022)"
18,DC,T,26,17-18,,316.7869946825469,4.93,211,"25°51'29""(RT)",11.293147713586022,78.19600617440217,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19600617440217 11.293147713586022, 78.19670039039264 11.286695137742944)"
