Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
 VALAYAPATTI GANTRY,,,,20,,,,,147,,11.13476,78.22325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22325 11.13476, 78.22328 11.13483)"
1(26),,T,SB,24,GANTRY-01,,8.414249825,0.93,149,"12°35'37""(RT)",11.13483,78.22328,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22328 11.13483, 78.22456 11.1366)"
2(25),,T,SB,24,01-Feb,,240.769122,0.9,146,"14°36'45""(LT)",11.1366,78.22456,GOOD,GOOD,"TOWER INSIDE THE SUS STATION, 33KV LINE CROSSING(5), LT LINE CROSSING(1), TAR ROAD CROSSING(1), SAND ROAD CROSSING",TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22456 11.1366, 78.22552 11.13908)"
3(24),,T,SB,24,02-Mar,,293.9040098,1.73,146,"03°38'23""(RT)",11.13908,78.22552,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22552 11.13908, 78.22639 11.14096)"
4(23),,S,SA,26,03-Apr,,228.8121873,2.63,149,,11.14096,78.22639,GOOD,GOOD,LT LINE CROSSING,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22639 11.14096, 78.22749 11.14325)"
5(22),,T,SC,26,04-May,,280.5702736,1.43,151,"18°16'56""(LT)",11.14325,78.22749,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22749 11.14325, 78.22779 11.14563)"
6(21),,S,SA,26,05-Jun,,265.4921834,2.7,150,,11.14563,78.22779,GOOD,GOOD,400KV D/C LINE CROSSING,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22779 11.14563, 78.228079 11.147895)"
7(20),,S,SA,26,06-Jul,,252.7112086,0.97,147,,11.147895,78.228079,GOOD,GOOD,"LT LINE CROSSING,33KV LINE CROSSING",,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.228079 11.147895, 78.22839 11.15029)"
8(19),,S,SA,26,07-Aug,,267.2901528,1.07,146,,11.15029,78.22839,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22839 11.15029, 78.22871 11.15261)"
9(18),,S,SA,26,08-Sep,,259.1883252,1.73,148,,11.15261,78.22871,GOOD,GOOD,,"SAND ROAD CROSSING, TAR ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22871 11.15261, 78.22897 11.15492)"
10(17),,S,SA,26,09-Oct,,257.2846349,0.93,149,,11.15492,78.22897,GOOD,GOOD,,,CANNAL CROSSING,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22897 11.15492, 78.22933 11.1574)"
