Tower No,Circuit,Tower Type & Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length as per Tower Shedule (Mtrs),Span Length  (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Latitude,Longitude,,,,,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
3(1)TAPPING POINT,DC,T,28,,,,,,169,11.16031,78.30605,3W,,,,"84°14'26""   RT",,,,,,TAPPING TO VALAYAPATTY SS,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30605 11.16031, 78.30724 11.15999)"
4(63),SC,S,26,03-04,,134,134.80540644959896,1.07,173,11.15999,78.30724,,,,,,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30724 11.15999, 78.30994 11.1593)"
5(64),SC,S,26,04-05,,305,304.83683998335835,1.76,173,11.1593,78.30994,,,,,,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,VOICE OF GOD POLYTECHNIC COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30994 11.1593, 78.31248 11.15872)"
6(65),SC,S,26,05-06,,285,284.9520237982616,0.97,175,11.15872,78.31248,,,,,,GOOD,GOOD,33KV LINE CROSSING,,,VOICE OF GOD POLYTECHNIC COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31248 11.15872, 78.31526 11.15803)"
7(66),SC,S,26,06-07,,313,313.30968363352855,2.63,175,11.15803,78.31526,,,,,,GOOD,GOOD,LT LINE CROSSING(2),TAR ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31526 11.15803, 78.318138 11.157369)"
8(67),SC,S,26,07-08,,324,320.7605861494306,2.91,179,11.157369,78.318138,,,,,,GOOD,GOOD,,SAND ROAD CROSSING,,"FARMER LAND,MANGO GARDEN",,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.318138 11.157369, 78.32085 11.15665)"
9(68),SC,T,24,08-09,,305,309.07003238592637,1.76,179,11.15665,78.32085,3W,,,,"12°8'17""   LT",GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32085 11.15665, 78.32348 11.15659)"
10(69),SC,S,26,09-10,,286,287.53937306443555,5.01,178,11.15659,78.32348,,,,,,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32348 11.15659, 78.326188 11.156521)"
11(70),SC,S,26,10-11,,280,286.54235224416334,1.53,176,11.156521,78.326188,,,,,,GOOD,GOOD,"33KV,LT LINE CROSSING",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.326188 11.156521, 78.32899 11.15646)"
12(71),SC,S,26,11-12,,322,315.910864481934,7.01,173,11.15646,78.32899,,,,,,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32899 11.15646, 78.33167 11.15639)"
13(72),SC,S,26,12-13,,292,293.02849715038843,6.85,176,11.15639,78.33167,,,,,,GOOD,GOOD,"400KV LINE CROSSING(D/C)[NYV-PGR], LT LINE CROSSING",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33167 11.15639, 78.33437 11.15634)"
14(73),SC,S,26,13-14,,295,295.16338281726604,2.73,178,11.15634,78.33437,,,,,,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33437 11.15634, 78.33707 11.15624)"
15(74),SC,S,26,14-15,,293,295.3184463517495,0.76,179,11.15624,78.33707,,,,,,GOOD,GOOD,33KV LINE CROSSING,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33707 11.15624, 78.339712 11.156211)"
16(75),SC,S,26,15-16,,293,287.493477901248,3.96,178,11.156211,78.339712,,,,,,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.339712 11.156211, 78.34238 11.15615)"
17(76),SC,T,24,16-17,,286,292.9761018701482,5.04,176,11.15615,78.34238,3W,,,,"3°27'44""    RT",GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34238 11.15615, 78.34531 11.15592)"
18(77),SC,S,26,17-18,,320,321.2585463954555,3.73,174,11.15592,78.34531,,,,,,GOOD,GOOD,,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34531 11.15592, 78.34801 11.15578)"
19(78),SC,S,26,18-19,,295,295.51542014399746,1.01,173,11.15578,78.34801,,,,,,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34801 11.15578, 78.35076 11.15558)"
20(79),SC,S,26,19-20,,302,301.38746653758005,1.67,176,11.15558,78.35076,,,,,,GOOD,GOOD,"33KV, LT LINE CROSSING",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35076 11.15558, 78.353681 11.15547)"
21(80),SC,S,26,20-21,,322,311.048565276597,1.93,182,11.15547,78.353681,,,,,,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.353681 11.15547, 78.35665 11.15519)"
22(81),SC,S,26,21-22,,321,334.17150242922446,5.81,184,11.15519,78.35665,,,,,,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35665 11.15519, 78.35951 11.15501)"
23(82),SC,S,26,22-23,,313,313.2290659113347,1.07,183,11.15501,78.35951,,,,,,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35951 11.15501, 78.36228 11.15481)"
24(83),SC,S,26,23-24,,303,303.5656600003485,2.73,180,11.15481,78.36228,,,,,,GOOD,GOOD,"33KV,LT LINE CROSSING",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36228 11.15481, 78.36538 11.15461)"
25(84),SC,S,26,24-25,,338,339.54784636344476,0.73,178,11.15461,78.36538,,,,,,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,CANNAL CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36538 11.15461, 78.36801 11.15445)"
26(85),SC,S,26,25-26,,288,287.99969611166944,2.32,179,11.15445,78.36801,,,,,,GOOD,GOOD,LT LINE CROSSING(3),TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36801 11.15445, 78.37074 11.15425)"
27(86),SC,T,24,26-27,,299,299.20411827448504,3.97,178,11.15425,78.37074,,,,,"3°7'22""    RT",GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37074 11.15425, 78.37356 11.15389)"
28(87),SC,S,26,27-28,,309,310.7855236045605,2.06,176,11.15389,78.37356,,,,,,GOOD,GOOD,"33, LT LINE CROSSING",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37356 11.15389, 78.37632 11.15354)"
29(88),SC,S,26,28-29,,304,304.13966678148284,8.06,172,11.15354,78.37632,,,,,,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37632 11.15354, 78.37911 11.1532)"
30(89),SC,S,26,29-30,,306,307.25434995044856,12.61,176,11.1532,78.37911,,,,,,GOOD,GOOD,400KV D/C LINE CROSSING(PGR-KVP),,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37911 11.1532, 78.38171 11.15288)"
31(90),SC,S,26,30-31,,287,286.3729086182325,1.79,176,11.15288,78.38171,,,,,,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38171 11.15288, 78.38454 11.15253)"
32(91),SC,S,26,31-32,,310,311.72881655378563,1.72,172,11.15253,78.38454,,,,,,GOOD,GOOD,,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38454 11.15253, 78.38749 11.15216)"
33(92),SC,S,26,32-33,,324,325.01812375108227,1.21,170,11.15216,78.38749,,,,,,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38749 11.15216, 78.39033 11.15182)"
34(93),SC,S,26,33-34,,311,312.6775656069116,1.63,170,11.15182,78.39033,,,,,,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39033 11.15182, 78.39321 11.15148)"
35(94),SC,S,26,34-35,,317,317.01778520399535,0.93,168,11.15148,78.39321,,,,,,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39321 11.15148, 78.395947 11.151118)"
36(95),SC,S,26,35-36,,313,297.0026599649472,0.99,171,11.151118,78.395947,,,,,,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.395947 11.151118, 78.39887 11.15073)"
37(96),SC,S,26,36-37,,309,327.18548031426934,2.06,170,11.15073,78.39887,,,,,,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39887 11.15073, 78.40157 11.15041)"
38(97),SC,T,26,37-38,,297,297.21978110277337,7.14,169,11.15041,78.40157,3W,,,,"23°54'28""    RT",GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,=SUM(G6:G41),=SUM(H6:H41),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
