Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
HOSUR GANTRY,T,,,,,,,861,,12.72814,77.8129,Good,Good,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8129 12.72814, 77.81251 12.7284)"
1,KC/T,20,GANTRY - 1,40,51.23669506340293,=E8-F8,8.79,865,"12°09'49""(LT)",12.7284,77.81251,Good,Good,HT WIRE CABLE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81251 12.7284, 77.81095 12.72904)"
2,PA 1.5/5,23,1-2,180,184.28872465377526,=E9-F9,10.22,887,,12.72904,77.81095,Good,Good,"33KV-1,LT-4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81095 12.72904, 77.80906 12.72979)"
3,PB 1.5/T,23,2-3,220,218.31217944144205,=E10-F10,12.71,897,"07°21'16""(RT)",12.72979,77.80906,Good,Good,11KV-3,HOSUR TO OUTER RING ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80906 12.72979, 77.80698 12.73098)"
4,PA 1.5/S,23,3-4,265,272.6530108602807,=E11-F11,14.67,890,,12.73098,77.80698,Good,Good,"LT-5,WIRE CABLE 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80698 12.73098, 77.80451 12.73238)"
5,PA 1.5/S,23,4-5,310,301.8381731319086,=E12-F12,2.65,875,,12.73238,77.80451,Good,Good,"33KV-2,11KV-2,LT-1(WIRE CABLE)",HOSUR TO OUTER RING ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80451 12.73238, 77.8022 12.73368)"
6,PA 1.5/S,23,5-6,290,289.38104214744027,=E13-F13,3.5,863,,12.73368,77.8022,Good,Good,"LT-2,11KV-2",DRAIN CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8022 12.73368, 77.80001 12.73485)"
7,KCR/T  (LILO POINT),25,6-7,210,270.97358383902406,=E14-F14,1.54,871,"37°25'25""(RT)",12.73485,77.80001,Good,Good,LT-1,SAND ROAD,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80001 12.73485, 77.79927 12.73648)"
8,PB 1.5/T,23,7-8,180,197.56756225925398,=E15-F15,1.78,875,"52°14'56""(RT)",12.73648,77.79927,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79927 12.73648, 77.79962 12.73712)"
DP1,T,,8-DP1,80,80.41919758306945,=E16-F16,4,875,,12.73712,77.79962,Good,Good,220KV CROSS SHOOLAGIRI TO ARANTALL BRIDGE TOWER(T.NO 377 TO 378),HOSUR TO OUTER RING ROAD BANGALORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79962 12.73712, 77.79977 12.7374)"
DP2,T,,DP1-DP2,45,35.02403394548409,=E17-F17,0.83,877,,12.7374,77.79977,Good,Good,LT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79977 12.7374, 77.80014 12.73811)"
9,PB/T,21,DP2-9,90,88.29264454599439,=E18-F18,2.83,879,"28°44'46""(LT)",12.73811,77.80014,Good,Good,"11KV-1,LT-4",SAND ROAD,ROSE GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80014 12.73811, 77.80006 12.74083)"
10,PA/S,21,9-10,315,301.2583089474557,=E19-F19,0.96,884,,12.74083,77.80006,Good,Good,"11KV-1,LT-2",SAND ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80006 12.74083, 77.79999 12.74372)"
11,PA/S,21,10-11,325,320.60539194513007,=E20-F20,1.08,882,,12.74372,77.79999,Good,Good,"11KV-4,LT-5(WIRE CABLE)",TAR ROAD,"12,RAJAJI NAGAR,8th CROSS STREET,APPARTMENT ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79999 12.74372, 77.79991 12.74661)"
12,PA/S,21,11-12,335,319.5097547294097,=E21-F21,3.28,880,,12.74661,77.79991,Good,Good,LT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79991 12.74661, 77.79982 12.7491)"
13,PC/T,23,12-13,280,275.8429424453875,=E22-F22,4.39,894,"27°43'51""(LT)",12.7491,77.79982,Good,Good,"11KV-4,LT-7 WIRE CABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79982 12.7491, 77.79855 12.75128)"
14,PA/S,21,13-14,295,278.0241413042431,=E23-F23,6.28,855,,12.75128,77.79855,Good,Good,"11KV-3,LT-1(WIRE CABLE)",,"APPARTMENT AREA,ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79855 12.75128, 77.79713 12.75378)"
15,PC/T,23,14-15,325,316.88780675995747,=E24-F24,2.73,883,"47°15'34""(RT)",12.75378,77.79713,Good,Good,LT-1,CEMENT ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79713 12.75378, 77.79778 12.75573)"
16,PA/S,21,15-16,325,227.14745016796576,=E25-F25,0.78,889,,12.75573,77.79778,Good,Good,"11KV-1,LT-1",HOSUR TO BANGALORE RING ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79778 12.75573, 77.79842 12.7577)"
17,PB/T,21,16-17,230,226.2822367634139,=E26-F26,1.05,883,"35°40'38""(RT)",12.7577,77.79842,Good,Good,11KV-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79842 12.7577, 77.79966 12.75871)"
18,KC/T,20,17-18,180,181.10803668699236,=E27-F27,11.9,887,"78°26'05""(RT)",12.75871,77.79966,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79966 12.75871, 77.79982 12.75852)"
ZUZUVADI GANTRY,T,,18-ZUZUVADI GANTRY,,32.66757799221328,=E28-F28,,888,,12.75852,77.79982,Good,No Earth Wire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,=SUM(F7:F28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
