Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
HOSUR GANTRY,2W,GANTRY  ,20,,,,,899,,12.72724,77.81277,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81277 12.72724, 77.81315 12.72711)"
1,,KC(0)DC-T,24,GANTRY - 1,45,43.713,5.67,898,"104°48'36""(RT)",12.72711,77.81315,GOOD,GOOD,220 KV LINE CROSSING ( LINE NEMA : HOSUR TO METTUR  TOWER NO SP3 - SP4 ),,PLAIN,TOWER NO 01 TO GANTRY NO EARTH WIRE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81315 12.72711, 77.8128 12.72653)"
2,,KC(0)+3M/T,27,01-Feb,70,77.4,4.27,900,"12°42'32""(LT)",12.72653,77.8128,GOOD,GOOD,"11 KV( 1 ),LT ( 1) CROSSING","ELECTRICAL TRAIN RALIWAY CROSSING ( CHENNAI TO BENGALURU ), THAR ROOD CROSSING ( HOSUR TO OUTER RING ROAD )",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8128 12.72653, 77.81251 12.72562)"
3,,KC(0)+3M/T,27,01-Mar,70,105.571,4.27,900,"59°57'54""(lT)",12.72562,77.81251,GOOD,GOOD,"12 KV( 1 ),LT ( 1) CROSSING","ELECTRICAL TRAIN RALIWAY CROSSING ( CHENNAI TO BENGALURU ), THAR ROOD CROSSING ( HOSUR TO OUTER RING ROAD )",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81251 12.72562, 77.8131 12.72499)"
4,,KC(0)E+3M,27,03-Apr,90,94.742,4.35,898,"20°34'52""(LT)",12.72499,77.8131,GOOD,GOOD,LT(1) 11KV(1),CROSSING,PLAIN,TOWER COCATED AT INSIDE THESEED FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8131 12.72499, 77.81467 12.72421)"
5,,KCR+6M,30,04-May,215,191.099,3.79,893,"48°06'56""(RT)",12.72421,77.81467,GOOD,GOOD,,,PLAIN,SUMAL FOREST AREA WATER POOL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81467 12.72421, 77.81524 12.72213)"
6,,HCR+3M/T,27,05-Jun,215,238.4681829,4.85,891,"00°00'00""",12.72213,77.81524,GOOD,GOOD,,CEMENT ROAD CROSSING,PLAIN,11kv line crossing (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81524 12.72213, 77.81564 12.72055)"
7,,HCR+6M/T,30,06-Jul,190,180.3536945,5.02,910,"48°27'48""(RT)",12.72055,77.81564,GOOD,GOOD,LT LINE CROSSING(2),,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81564 12.72055, 77.81406 12.71862)"
8,,HCR+6M/T,30,07-Aug,190,266.4384543,3.06,910,"00°00'00""",12.71862,77.81406,GOOD,GOOD,LT LINE CROSSING(2),HOSURE HOLD AREA,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81406 12.71862, 77.81291 12.71669)"
9,,HCR+6M/T,30,08-Sep,240,253.7897511,5.74,907,"00°00'00""",12.71669,77.81291,GOOD,GOOD,,HOSURE HOLD AREA,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81291 12.71669, 77.81156 12.71469)"
10,,HCR/T,24,09-Oct,280,265.6272456,6.09,903,"00°00'00""",12.71469,77.81156,GOOD,GOOD,,,INTERIOR PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81156 12.71469, 77.81022 12.71285)"
11,,HCR(S),26,10-Nov,260,250.4551345,3.63,903,"00°00'00""",12.71285,77.81022,GOOD,GOOD,,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81022 12.71285, 77.80892 12.71111)"
12,,GCR/T,24,11-Dec,240,238.8126881,5.33,904,"09°11'21""(RT)",12.71111,77.80892,GOOD,GOOD,,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80892 12.71111, 77.80725 12.70951)"
13,,GCR/S,26,Dec-13,255,259.9826409,6.79,896,"00°00'00""",12.70951,77.80725,GOOD,GOOD,,,PLAIN,TOWER LOCATED AT INSIDE FENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80725 12.70951, 77.80546 12.70787)"
14,,GCR+3M/S,29,13-14,272,259.7802792,4.97,892,"00°00'00""",12.70787,77.80546,GOOD,GOOD,11KV LINE  CROSSING,,ROAD CROSSING (HOSRE TO TVS ROAD),TOWER LOCATION AT SMALL JUNGLE PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80546 12.70787, 77.80373 12.70635)"
15,,GCR/S,26,14-15,248,252.2674701,4.97,893,"00°00'00""",12.70635,77.80373,GOOD,GOOD,11KV LINE  CROSSING,,PLAIN,TOWER LOCATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80373 12.70635, 77.80195 12.70468)"
16,,GCR/S,26,15-16,265,267.611246,4.76,894,"00°00'00""",12.70468,77.80195,GOOD,GOOD,ECQUALYPTCES FORM CROSSING,,PLAIN,TOWER LOCATION AT INSIDE THE BANANA FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80195 12.70468, 77.80018 12.70304)"
17,2W,GCR/T,24,16-17,260,264.6073438,4.59,897,"06°48'38""(RT)",12.70304,77.80018,GOOD,GOOD,LT LINE CROSSING(1),SAND ROAD CROSSING (1),PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80018 12.70304, 77.79807 12.7015)"
18,,HCR+3M/T,27,17-18,305,285.8817343,3.39,899,"00°00'00""",12.7015,77.79807,GOOD,GOOD,,,PLAIN,TOWER LOCATION AT LAKE WATER AT LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79807 12.7015, 77.79611 12.70001)"
19,,KCR /T         ,24,18-19,250,269.7582448,5.27,902,"59°22'26""(RT)",12.70001,77.79611,GOOD,GOOD,,,PLAIN,TOWER LOCATED AT INSIDE FENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79611 12.70001, 77.79337 12.70114)"
20,,HCR+3M/T,27,19-20,310,325.1927154,2.17,910,"00°00'00""",12.70114,77.79337,GOOD,GOOD,,,INSIDE THE FARM FENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79337 12.70114, 77.79067 12.70219)"
21,,KCR/T,24,20-21,320,315.6552019,2.93,917,"33°39'40""(LT)",12.70219,77.79067,GOOD,GOOD,,,INSIDE THE FARM FENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79067 12.70219, 77.78938 12.70192)"
22,,KCR/T,24,21-22,150,143.1517551,2.43,917,"43°45'02""(LT)",12.70192,77.78938,GOOD,GOOD,,,INSIDE THE FARM FENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78938 12.70192, 77.78824 12.70027)"
23,,GRC/S,26,22-23,220,220.8530165,1.36,910,"00°00'00""",12.70027,77.78824,GOOD,GOOD,,,PLAIN,TOWER LOCATED AT GOVT CATTLE FARM FANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78824 12.70027, 77.78706 12.69857)"
24,,GRC/S,26,23-24,225,227.4286031,1.64,906,"00°00'00""",12.69857,77.78706,GOOD,GOOD,11KV LINE  CROSSING(1),,PLAIN,TOWER LOCATED AT GOVT CATTLE FARM FANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78706 12.69857, 77.78592 12.69683)"
25,,HCR/T,24,24-25,230,231.8747895,3.24,910,"13°22'58""(RT)",12.69683,77.78592,GOOD,GOOD,,,PLAIN,TOWER LOCATED AT GOVT CATTLE FARM FANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78592 12.69683, 77.78392 12.69506)"
26,,GRC+3M/S,29,25-26,295,289.3279178,2.79,920,"00°00'00""",12.69506,77.78392,GOOD,GOOD,,,PLAIN,TOWER LOCATED AT GOVT CATTLE FARM FANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78392 12.69506, 77.78193 12.69326)"
27,,GCR/S,26,26-27,310,293.9458272,5.05,926,"00°00'00""",12.69326,77.78193,GOOD,GOOD,,,PLAIN,TOWER LOCATED AT GOVT CATTLE FARM FANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78193 12.69326, 77.78001 12.69156)"
28,2W,KCR/T,24,27-28,270,281.0250127,3.28,928,"30°46'03""(LT)",12.69156,77.78001,GOOD,GOOD,,,PLAIN,TOWER LOCATED AT GOVT CATTLE FARM FANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78001 12.69156, 77.7795 12.68994)"
29,,GCR/S,26,28-29,185,187.9632092,2.84,929,"02°56'20""(LT)",12.68994,77.7795,GOOD,GOOD,,,PLAIN,TOWER LOCATED AT GOVT CATTLE FARM FANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7795 12.68994, 77.77908 12.68832)"
30,,KC R/T,24,29-30,180,185.0400089,7.12,927,"35°35'54""(RT)",12.68832,77.77908,GOOD,GOOD,,THAR ROAD CROSSING ,PLAIN,TOWER LOCATED AT GOVT CATTLE FARM FANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77908 12.68832, 77.77712 12.68671)"
31,,GCR/S,26,30-31,275,280.8748507,3.74,928,"00°00'00""",12.68671,77.77712,GOOD,GOOD,LT LINE CROSSING,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77712 12.68671, 77.77513 12.68509)"
32,,GCR/S,26,31-32,265,277.899836,5.49,927,"00°00'00""",12.68509,77.77513,GOOD,GOOD,LT LINE CROSSING,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77513 12.68509, 77.77334 12.68359)"
33,,GCR/S,26,32-33,255,255.966765,5.63,925,"02°39'39""(RT)",12.68359,77.77334,GOOD,GOOD,"11KV LINE CROSSING(1), LT LINE CROSSING (2), WIRE CABLE CROSSING(1)",,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77334 12.68359, 77.7715 12.68219)"
34,,GCR/S,26,33-34,250,252.9452987,4.74,925,"03°02'18""(LT)",12.68219,77.7715,GOOD,GOOD,LT LINE CROSSING(1)  SUN FLOWER GARLAMD CROSSING(1),,PLAIN,SMALL CANAL NEEREL TO TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7715 12.68219, 77.76997 12.68089)"
35,,KCR/T,24,34-35,245,218.7817147,5.83,930,"24°25'47""(RT)",12.68089,77.76997,GOOD,GOOD,"LT LINE CROSSING(1) , TELEPHONE CABRE CROSSING(1),  ROAD CROSSING (HOSUR TO THALLI)",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76997 12.68089, 77.76891 12.68059)"
36,,KCR/T,24,35-36,120,120.7868943,4.85,927,"10°58'52""(LT)",12.68059,77.76891,GOOD,GOOD,"SMALL THAR ROAD CROSSING, 33KV LINE CROSSING, ECQUPTUR FARMCROSSING, LT LINE CROSSING (1)",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76891 12.68059, 77.76726 12.67975)"
37,,HCR+3M,27,36-37,180,201.9791202,3.93,927,"12°14'14""(LT)",12.67975,77.76726,GOOD,GOOD,"LT LINE CROSSING(2), SMALL CANNEL CROSSING",,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76726 12.67975, 77.76527 12.67813)"
38,,HCR/T,24,37-38,250,281.0887322,4.19,924,"00°00'00""",12.67813,77.76527,GOOD,GOOD,ECQUPTUR FARM CROSSING,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76527 12.67813, 77.76362 12.67669)"
39,,HCR/T,24,38-39,255,240.1113926,3.93,923,"00°00'00""",12.67669,77.76362,GOOD,GOOD,LT LINE CROSSING(1),,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76362 12.67669, 77.76191 12.67505)"
40,,KCR/T,24,39-40,120,260.7168632,3.84,924,"10°31'45""(LT)",12.67505,77.76191,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76191 12.67505, 77.76196 12.67485)"
KEMPATTI GANTRY,2W,KCR,20,40 TO GANTRY,,23.76249226,,925,"00°00'00""",12.67485,77.76196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
