Tower No,Tower Type & Supspension/Tenion,,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Latitude,Longitude,,,,,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY (UDANAPALLI 230KV),T,T,20,,,,,,698,12.60923,77.92609,2W,,,,,Good,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92609 12.60923, 77.92567 12.60916)"
18,KC(0) T,DD,36,GANTRY-18,120,38.98109661002681,-83,0.12,782,12.60916,77.92567,,,,,"90°00'00""(RT)",Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92567 12.60916, 77.92575 12.60936)"
17,KC(0) T,DB,32,18-17,240,23.791809657333395,-218,0.39,783,12.60936,77.92575,,,,,"09°03'42""(RT)",Good,Good,,,,TOWER NEXT TO SUB-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92575 12.60936, 77.92596 12.60971)"
16,PA(T),DD,36,17-16,240,44.980538970470256,-195,0.52,781,12.60971,77.92596,,,,,"84°11'04""(RT)",Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92596 12.60971, 77.92689 12.60929)"
15,PB+3M (T),DC+3,37,16-15,210,111.31150394212811,-127,0.91,777,12.60929,77.92689,,,,,"25°33'31""(RT)",Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92689 12.60929, 77.92805 12.60792)"
14,PA(T),DB,32,15-14,210,197.2857363745522,-11,1.69,770,12.60792,77.92805,,,,,"00°00'00""",Good,Good,"11KV-2,33KV-1,22KV-1",,,"SUB-STATION TO UDANAPALLI,RIVER CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92805 12.60792, 77.92934 12.60638)"
13,PB(T),DB,32,14-13,240,220.80087294948294,-16,2.19,765,12.60638,77.92934,,,,,"05°42'24""(RT)",Good,Good,"22KV-1,LT-1","SMALL CANAL CROSSING,PIT AREA",,"HILLS AREA,AGRICULTURE LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92934 12.60638, 77.93053 12.60463)"
12,PC(T),DB,32,13-12,40,233.00327111817313,195,2.21,770,12.60463,77.93053,,,,,"08°01'31""(RT)",Good,Good,SMALL CANAL CROSSING,,,TOWER IN HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93053 12.60463, 77.93179 12.60206)"
11,DP(S),DA,34,12-11,40,315.8265883691528,278,2.83,767,12.60206,77.93179,,,,,"00°00'00""",Good,Good,LT-2,SAND ROAD CROSSING-2,,"SMALL CANAL CROSSING,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93179 12.60206, 77.93292 12.59972)"
10,DP(T),DC,34,11-10,30,286.75442363871093,260,1.76,760,12.59972,77.93292,,,,,"16°07'49""(RT)",Good,Good,"11KV-1,LT-1",WIRE CABLE-1,,TOWER IN PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93292 12.59972, 77.93321 12.59797)"
9,PC(S),DA,34,10-9,150,196.3130941948134,49,1.99,766,12.59797,77.93321,,,,,"00°00'00""",Good,Good,,HILLS AREA,HILLS AREA SMALL,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93321 12.59797, 77.93346 12.59668)"
8,PB(T),DB,32,9-8,280,145.39578379965283,-133,3.01,768,12.59668,77.93346,,,,,"00°00'00""",Good,Good,,SAND ROAD CROSSING,"SMALL CANAL CROSSING,SMALL HILL AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93346 12.59668, 77.93385 12.59475)"
