S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 36/1 UKKADAM LILO,,T,,,,,4.74,419,,76.94241667,10.97041667,GOOD,GOOD,,,,UKKADAM LILO.NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94241666666667 10.970416666666667, 76.94277777777778 10.970361111111112)"
2,T.NO 2,,T,DC,26,36/1-2,41.43669871,3.12,418,"19°17'52""",76.94277778,10.97036111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94277777777778 10.970361111111112, 76.94458333333334 10.970694444444444)"
3,T.NO 3,,T,DB,24,02-Mar,199.6496932,4.82,418,"3°56'14""",76.94458333,10.97069444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94458333333334 10.970694444444444, 76.94672222222222 10.970916666666668)"
4,T.NO 4,,T,DD,28,03-Apr,236.7826007,6.12,418,"37°42'21""",76.94672222,10.97091667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94672222222222 10.970916666666668, 76.94775 10.971916666666667)"
5,T.NO 5,,T,DD,28,04-May,156.2721984,1.54,417,"63°7'1""",76.94775,10.97191667,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94775 10.971916666666667, 76.94705555555556 10.974083333333333)"
6,T.NO 6,,T,DC,26,05-Jun,251.0975906,4.12,422,"17°29'14""",76.94705556,10.97408333,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94705555555556 10.974083333333333, 76.94619444444444 10.975305555555556)"
7,T.NO 7,,S ,DA,26,06-Jul,165.3239245,4.18,420,,76.94619444,10.97530556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94619444444444 10.975305555555556, 76.94525 10.976638888888889)"
8,T.NO 8,,T,DD,37,07-Aug,180.4217282,4.63,418,"40°51'44""",76.94525,10.97663889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94525 10.976638888888889, 76.94541666666667 10.978222222222222)"
9,T.NO 9,,T,DD,37,08-Sep,176.8191166,6.08,417,"49°49'10""",76.94541667,10.97822222,GOOD,GOOD,,RIVER,CULTI VACTION LAND,NOYYAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94541666666667 10.978222222222222, 76.94627777777778 10.978805555555555)"
10,T.NO 10,2W,T,DB,24,09-Oct,114.2847321,1.25,419,"13°40'8""",76.94627778,10.97880556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94627777777778 10.978805555555555, 76.94808333333334 10.980833333333333)"
11,T.NO 11,,S,DA,32,10-Nov,298.3035367,IN LAKE,418,,76.94808333,10.98083333,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94808333333334 10.980833333333333, 76.94969444444445 10.982583333333334)"
12,T.NO 12,,T,DB,30,11-Dec,261.2680616,2.12,419,"0°6'29""",76.94969444,10.98258333,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94969444444445 10.982583333333334, 76.95155555555556 10.984583333333333)"
13,T.NO 13,,T,DC,32,Dec-13,301.7051541,3.12,422,"27°2'3""",76.95155556,10.98458333,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95155555555556 10.984583333333333, 76.95408333333333 10.985555555555555)"
14,T.NO 14,,T,DB,30,13-14,296.0152023,IN LAKE,421,"6°14'34""",76.95408333,10.98555556,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95408333333333 10.985555555555555, 76.9565 10.986749999999999)"
15,T.NO 15,,T,DC,32,14-15,295.1948509,IN LAKE,423,"17°21'43""",76.9565,10.98675,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9565 10.986749999999999, 76.95886111111112 10.987166666666665)"
16,T.NO 16,,T,DB,30,15-16,263.0532266,IN LAKE,420,"10°26'54""",76.95886111,10.98716667,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95886111111112 10.987166666666665, 76.96044444444445 10.98772222222222)"
17,T.NO 17,,T,DC,26,16-17,182.5842271,IN LAKE,422,"16°19'18""",76.96044444,10.98772222,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96044444444445 10.98772222222222, 76.96141666666666 10.987805555555555)"
