S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY (KAMANTHOTTI),T,20,,,,,735,,12.69212,77.9546,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9546 12.69212, 77.95412 12.69207)"
2,1,DB,24,GANTRY - 1,,52.474564466758274,0.46,795,"14°46'17""(LT)",12.69207,77.95412,GOOD,GOOD,,,"TOWER INSIDDE SUB-STATION , HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95412 12.69207, 77.95329 12.69176)"
3,2,DB,24,1-2,,96.53905448567703,1.97,797,"05°02'07""(LT)",12.69176,77.95329,GOOD,GOOD,11KV-2,TAR ROAD CROSSING,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95329 12.69176, 77.95121 12.69077)"
4,3,DC,26,2-3,,251.28995438438315,0.96,782,"30°23'11""(LT)",12.69077,77.95121,GOOD,GOOD,WIRE CABLE CROSSING-2,"TOWER IN PIT, SAND ROAD CROSSING, CANAL CROSSING",SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95121 12.69077, 77.94974 12.68861)"
5,4,DB,24,3-4,,287.6420974186149,2.59,774,"10°53'36""(LT)",12.68861,77.94974,GOOD,GOOD,,,FARMER LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94974 12.68861, 77.94892 12.6867)"
6,5,DC,26,4-5,,229.50354276684698,2.01,770,"18°36'34""(RT)",12.6867,77.94892,GOOD,GOOD,,PIT CROSSING,FARMER LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94892 12.6867, 77.9473 12.6849)"
7,6,DC,26,5-6,,265.9676765693168,1.59,766,"27°33'32""(LT)",12.6849,77.9473,GOOD,GOOD,,,FARMER LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9473 12.6849, 77.94672 12.6826)"
8,7,DC,26,6-7,,262.3548182853326,3.16,761,"21°08'26""(LT)",12.6826,77.94672,GOOD,GOOD,"33KV-1,11KV-2,LT-1",LAKE CROSSING IN WATER,NH-44 TAR ROAD CROSSING(SALEM TO HOSUR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94672 12.6826, 77.94706 12.67997)"
9,8,DC,26,7-8,,293.5401796971207,0.58,759,"22°57'09""(RT)",12.67997,77.94706,GOOD,GOOD,LT-1,,FARMER LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94706 12.67997, 77.94661 12.6784)"
10,9,DB,24,8-9,,180.58927678920094,2.51,755,,12.6784,77.94661,GOOD,GOOD,,,FARMER LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94661 12.6784, 77.94635 12.67724)"
11,10,DB,24,9-10,,131.51315565661676,0.34,755,,12.67724,77.94635,GOOD,GOOD,230KV HOSUR TO SOOLAGIRI  LINE T.NO-317 TO T.NO.316,"TOWER INSIDE LAKE, LAKE CROSSING WATER,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94635 12.67724, 77.94602 12.6757)"
12,"11(TAPPING POINT,LILO POINT)",DD+3,29,10-11,215,174.2479464943768,0.27,754,"72°10'08""(LT)",12.6757,77.94602,GOOD,GOOD,,"ONE SIDE CIRCUIT-1 GOING KAMANTHOTI, CIRCUIT-2 GOING KURUBARAPALLI INCOMING FOR HOSUR -KARIMANGALAM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94602 12.6757, 77.94718 12.67505)"
13,12,DA,26,11-12,280,145.20426726736648,0.65,760,,12.67505,77.94718,GOOD,GOOD,,"SMALL HILLS, FARMER LAND CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94718 12.67505, 77.94949 12.67389)"
14,13,DB,24,12-13,280,282.078521124622,1.16,753,,12.67389,77.94949,GOOD,GOOD,,"PIT CROSSING, HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94949 12.67389, 77.95167 12.67279)"
15,14,DB,24,13-14,245,266.4721912461531,0.61,770,"09°00'15""(LT)",12.67279,77.95167,GOOD,GOOD,,"TOWER IN HILLS AREA,CANAL CROSSING, SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95167 12.67279, 77.95387 12.67208)"
16,15,DA,26,14-15,270,251.7722901461285,0.21,767,,12.67208,77.95387,GOOD,GOOD,11KV-1,"FARMER LAND CROSSING,LINE GOING DOWN AREA, SMALL HILLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95387 12.67208, 77.9562 12.67132)"
17,16,DB+3,27,15-16,275,266.9304513311481,2.27,754,,12.67132,77.9562,GOOD,GOOD,"11KV-1, WIRE CABLE-2",TAR ROAD CROSSING,FARMER LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9562 12.67132, 77.95874 12.67048)"
18,17,DA+3,29,16-17,245,291.3939933904997,2.96,751,,12.67048,77.95874,GOOD,GOOD,,"APPARTMENT AREA, SMALL HILLS, SAND ROAD CROSSING",FARMER LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95874 12.67048, 77.96076 12.66985)"
19,18,DA+3,29,17-18,255,230.43004502111526,3.08,759,,12.66985,77.96076,GOOD,GOOD,,"TOWER INSIDE THE COMPOUND WALL, HILLS AREA",FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96076 12.66985, 77.96313 12.66908)"
20,19,DA+3,29,18-19,290,271.4105242777831,1.91,765,,12.66908,77.96313,GOOD,GOOD,,"CANAL CROSSING, SAND ROAD CROSSING,TOWER IN SMALL HILLS",FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96313 12.66908, 77.96546 12.66838)"
21,20,DB+3,27,19-20,300,264.91603962880424,14.69,760,,12.66838,77.96546,GOOD,GOOD,11KV LINE,"SAND ROAD CROSSING, CANAL CROSSING",FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96546 12.66838, 77.96818 12.6675)"
22,21,DA+3,29,20-21,290,311.3663281320177,2.69,766,,12.6675,77.96818,GOOD,GOOD,,HILLS AREA,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96818 12.6675, 77.9706 12.66674)"
23,22,DA,26,21-22,325,276.24148731412396,4.61,750,,12.66674,77.9706,GOOD,GOOD,"LT-1,11KV LINE CROSSING","HILLS AREA,APPARTMENT AREA,TAR ROAD CROSSING,TOWER IN SMALL HILLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9706 12.66674, 77.97343 12.66583)"
24,23,DA+3,29,22-23,315,323.7685944649988,7.27,742,,12.66583,77.97343,GOOD,GOOD,"11KV-1,LT-1","SMALL HILLS,FARMER LAND CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97343 12.66583, 77.97627 12.66494)"
25,24,DB,24,23-24,240,324.1236980924729,1.9,744,"12°22'02""(LT)",12.66494,77.97627,GOOD,GOOD,"LT-1, WIRE CABLE -3","TAR ROAD CROSSING, CANAL CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97627 12.66494, 77.97747 12.66483)"
26,25,DB,24,24-25,,131.03797214371366,2.12,739,,12.66483,77.97747,GOOD,GOOD,"LT-1, EARTH WIRE CLEARENCE 5M,110KV LINE MULTI CIRCUIT TOWER CROSSING, GO AHEAD 110KV LINE,KAMANDODI TO KURUBARAPALLI LINE GOING UNDER CLEARENCE -5M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97747 12.66483, 77.97852 12.66473)"
27,26,DA+3,29,25-26,240,114.69772449324086,2.69,738,,12.66473,77.97852,GOOD,GOOD,,SAND ROAD CROSSING,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97852 12.66473, 77.98056 12.66459)"
28,27,DB+3,27,26-27,230,222.34192671788452,2.61,740,"13°58'46""(RT)",12.66459,77.98056,GOOD,GOOD,,"TOWER NO 211 TO 210, NO EARTH WIRE GO AHEAD,400KV LINE CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98056 12.66459, 77.9826 12.66394)"
29,28,DA+3,29,27-28,300,233.18662838010758,1.98,736,,12.66394,77.9826,GOOD,GOOD,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9826 12.66394, 77.9853 12.66313)"
30,29,DB,24,28-29,280,306.9576675466123,1.34,738,,12.66313,77.9853,GOOD,GOOD,"400KV LINE CROSSING,110KV LINE CROSSING -4M,110KV CIRCUIT+400KV CIRCUIT DISTANCE -4M","TOWER IN HILLS,SAND ROAD CROSSING,HILLS AREA",FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9853 12.66313, 77.98772 12.6624)"
31,30,DA,26,29-30,180,275.2561285405083,0.89,729,,12.6624,77.98772,GOOD,GOOD,220KV LINE CROSSING HEIGHT DISTANCE-6M,,FARMER LAND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98772 12.6624, 77.9893 12.66192)"
32,31 LILO POINT,DB,24,30-31 LILO,181,179.82391576379132,7.57,724,,12.66192,77.9893,GOOD,GOOD,,"CIRCUIT -1 GOING IN SHOOLAGIRI, CIRCUIT -2 GOING IN GURUBARAPALLI FROM HOSUR TO KARIMANGALAM LINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9893 12.66192, 77.99017 12.66166)"
33,32,DA,26,31-32,,114.50757984020198,3.09,721,,12.66166,77.99017,GOOD,GOOD,LT-1,SAND ROAD CROSSING,FARMER LAND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99017 12.66166, 77.99272 12.66089)"
34,33,DB,24,32-33,,274.44912061077275,1.45,718,"14°13'51""(LT)",12.66089,77.99272,GOOD,GOOD,11KV LINE CROSSING,,FARMER LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99272 12.66089, 77.99519 12.66076)"
