S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY SINGARAPETTAI 110KV S/S,2W,GT,,15,,,,335,,12.24975,78.61080556,GOOD,,,TAR ROAD -1,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61080555555554 12.249749999999999, 78.61 12.25)"
2,T.NO-99,,T,DC,26,GT-99,89.49301649,0.5,337,"46°9'3"" ",12.25,78.61,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61 12.25, 78.60772222222222 12.248777777777777)"
3,T.NO-98,,T,DC,26,99-98,284.0598528,0.5,338,"5°34'29"" ",12.24877778,78.60772222,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD -1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60772222222222 12.248777777777777, 78.60555555555555 12.24786111111111)"
4,T.NO-97,,S,DA,26,98-97,255.1568145,3.5,339,,12.24786111,78.60555556,GOOD,GOOD,,,,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60555555555555 12.24786111111111, 78.60283333333332 12.246638888888889)"
5,T.NO-96,,T,DC,26,97-96,324.9184513,2.7,341,"6°38'37"" ",12.24663889,78.60283333,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60283333333332 12.246638888888889, 78.60072222222222 12.24536111111111)"
6,T.NO-95,,S,DA,26,96-95,271.8253116,3,343,,12.24536111,78.60072222,GOOD,GOOD,11KV-1,TAR ROAD -1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60072222222222 12.24536111111111, 78.5985 12.244027777777777)"
7,T.NO-94,,T,DC,26,95-94,282.973497,2.6,340,"5°3'20"" ",12.24402778,78.5985,GOOD,GOOD,"11KV-1,110KV-1 XING BELOW",TAR ROAD -1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5985 12.244027777777777, 78.59691666666666 12.24325)"
8,T.NO-93,,T,DC,26,93-92,193.2149063,2.7,337,"2°59'41"" ",12.24325,78.59691667,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59691666666666 12.24325, 78.59474999999999 12.242055555555554)"
9,T.NO-92,,T,DC,26,92-91,268.0783468,1.2,335,"6°30'54"" ",12.24205556,78.59475,GOOD,GOOD,220KV-1 XING ABOVE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59474999999999 12.242055555555554, 78.59336111111111 12.241472222222221)"
10,T.NO-91,,T,DC,26,91-90,166.3881005,2.3,333,"5°41'27"" ",12.24147222,78.59336111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59336111111111 12.241472222222221, 78.59108333333333 12.240277777777777)"
