Tower No,,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY O.K.M 230KV SS,,2W,GANTRY,GANTRY,20,,,,378,,77.00263889,10.89213889,GOOD,MISSING,,,PLAIN,230KV O.K.MANDAPAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0026388888889 10.892138888888889, 77.00266666666667 10.892638888888888)"
T.NO 2,,,T,DD,28,GT-2,54.00925847,8.39,387,"74°11'44""",77.00266667,10.89263889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00266666666667 10.892638888888888, 77.00369444444445 10.892888888888889)"
T.NO 3A,,3W,T-MC,MB,45,2-3A,117.8812962,9.2,374,"0°28'22""",77.00369444,10.89288889,GOOD,GOOD,,,PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00369444444445 10.892888888888889, 77.00486111111111 10.893194444444443)"
T.NO 3B,,,T-MC,MD,45,3A-3B,129.5414991,7.62,370,"86°12'54""",77.00486111,10.89319444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00486111111111 10.893194444444443, 77.00597222222223 10.889916666666666)"
T.NO 3C,,3W,T-MC,MB,45,3B-3C,383.9192623,5.5,372,"7°41'29""",77.00597222,10.88991667,GOOD,MISSING,,TAARROAD,PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00597222222223 10.889916666666666, 77.00641666666667 10.887638888888889)"
T.NO 4,,2W,T,DD,28,3C-4,254.9509757,4.98,362,"31°16'14""",77.00641667,10.88763889,GOOD,GOOD,"LT,11KV,230KV",TAARROAD,PLAIN,O.K.M - ANAIKADAVU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00641666666667 10.887638888888889, 77.00672222222222 10.887305555555555)"
T.NO 5,,,S ,DA,26,04-May,50.24937811,5.38,362,,77.00672222,10.88730556,GOOD,GOOD,11KV,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00672222222222 10.887305555555555, 77.00791666666667 10.885777777777777)"
T.NO 6,,,S,DA,26,05-Jun,214.4411341,4.35,366,,77.00791667,10.88577778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00791666666667 10.885777777777777, 77.00902777777777 10.88438888888889)"
T.NO 7,,,S,DA,26,06-Jul,197.0913494,3.92,368,,77.00902778,10.88438889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00902777777777 10.88438888888889, 77.0105 10.882555555555555)"
T.NO 8,,,T,DB,24,07-Aug,255.9726548,3.23,370,"4°15'21""",77.0105,10.88255556,GOOD,GOOD,"LT,11KV",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0105 10.882555555555555, 77.01208333333334 10.88025)"
T.NO 9,,,S,DA,26,08-Sep,309.0177988,6.81,370,,77.01208333,10.88025,GOOD,GOOD,LT ,TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01208333333334 10.88025, 77.01369444444444 10.877916666666668)"
