S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY KRISHNAGIRI 110KV S/S,GT,GT,15,,,,491,,12.522333333333334,78.20413888888889,GOOD,,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20413888888889 12.522333333333334, 78.20380555555556 12.522083333333335)"
2,T.NO-98,T,DD,28,GT-98,47.2016948848238,1.71,492,"83°25'24"" ",12.522083333333335,78.20380555555556,GOOD,GOOD,11KV-2,TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20380555555556 12.522083333333335, 78.20222222222222 12.524722222222223)"
3,T.NO-99,T,DC,26,98-99,339.979411141322,4.09,495,,12.524722222222223,78.20222222222222,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20222222222222 12.524722222222223, 78.20061111111112 12.527333333333335)"
4,T.NO-100,T,DC,26,99-100,337.523332526805,3,496,"6°56'10"" ",12.527333333333335,78.20061111111112,GOOD,GOOD,11KV-1,,PLAIN,INSIDE COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20061111111112 12.527333333333335, 78.19908333333333 12.529277777777779)"
5,T.NO-101,S,DA,26,100-101,271.810595819957,4.5,500,,12.529277777777779,78.19908333333333,GOOD,GOOD,,,PLAIN,INSIDE COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19908333333333 12.529277777777779, 78.19733333333333 12.531444444444446)"
6,T.NO-102,S,DA,26,101-102,306.014705528999,15.1,504,,12.531444444444446,78.19733333333333,GOOD,GOOD,"LT-1,11KV-2",TAR ROAD-1,PLAIN,INSIDE COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19733333333333 12.531444444444446, 78.19558333333333 12.533666666666667)"
7,T.NO-103,S,DA,26,102-103,310.407796293843,5.5,505,,12.533666666666667,78.19558333333333,GOOD,GOOD,,,PLAIN,INSIDE SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19558333333333 12.533666666666667, 78.19402777777778 12.53561111111111)"
8,T.NO-104,T,DC,26,103-104,274.007299172851,6.1,507,,12.53561111111111,78.19402777777778,GOOD,GOOD,LT-1,"TAR ROAD-1,MUD ROAD-1",PLAIN,INSIDE SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19402777777778 12.53561111111111, 78.19252777777778 12.537527777777777)"
9,T.NO-105,S,DA,26,104-105,268.402682549933,4.9,508,,12.537527777777777,78.19252777777778,GOOD,GOOD,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19252777777778 12.537527777777777, 78.19111111111111 12.539277777777778)"
10,T.NO-106,S,DA,26,105-106,248.646335183127,15,506,,12.539277777777778,78.19111111111111,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19111111111111 12.539277777777778, 78.18933333333334 12.541527777777778)"
11,T.NO-107,S,DA,26,106-107,316.204048044929,2.3,508,,12.541527777777778,78.18933333333334,GOOD,GOOD,LT-2,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18933333333334 12.541527777777778, 78.18780555555556 12.543472222222222)"
12,T.NO-108,S,DA,26,107-108,272.001838229083,5.12,506,,12.543472222222222,78.18780555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18780555555556 12.543472222222222, 78.18619444444445 12.5455)"
13,T.NO-109,T,DC,26,108-109,284.007042166211,4.73,505,"25°45'52"" ",12.5455,78.18619444444445,GOOD,GOOD,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18619444444445 12.5455, 78.18383333333334 12.546805555555556)"
14,T.NO-110,S,DA,26,109-110,294.336542073865,15.4,501,,12.546805555555556,78.18383333333334,GOOD,GOOD,LT-1,TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18383333333334 12.546805555555556, 78.18158333333334 12.548111111111112)"
15,T.NO-111,S,DA,26,110-111,282.630500831032,4.07,499,,12.548111111111112,78.18158333333334,GOOD,GOOD,LT-1,"TAR ROAD-1,MUD ROAD-1",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18158333333334 12.548111111111112, 78.17916666666667 12.5495)"
16,T.NO-112,S,DA,26,111-112,305.954244945221,4.9,498,,12.5495,78.17916666666667,GOOD,GOOD,LT-1,MUD ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17916666666667 12.5495, 78.17655555555557 12.550944444444445)"
17,T.NO-113,T,DC,26,112-113,324.853813276064,3.2,499,"1°0'55"" ",12.550944444444445,78.17655555555557,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17655555555557 12.550944444444445, 78.17425 12.552305555555556)"
18,T.NO-114,S,DA,26,113-114,292.063349292581,3.1,502,,12.552305555555556,78.17425,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17425 12.552305555555556, 78.17200000000001 12.553583333333334)"
19,T.NO-115,S,DA,26,114-115,284.859614547236,2.7,505,,12.553583333333334,78.17200000000001,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17200000000001 12.553583333333334, 78.16975000000001 12.55488888888889)"
20,T.NO-116,S,DA,26,115-116,283.832697200305,2.9,507,,12.55488888888889,78.16975000000001,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16975000000001 12.55488888888889, 78.16780555555556 12.555972222222223)"
21,T.NO-117,T,DC,26,116-117,241.646435934818,15.1,509,"10°45'15"" ",12.555972222222223,78.16780555555556,GOOD,GOOD,"LT-1,11KV-1",TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16780555555556 12.555972222222223, 78.16555555555556 12.55788888888889)"
