S. No ,Tower No,JOINT BOX,Tower Type,Tower Type ,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO 01,,KCR KT-01 (LILO POINT),DD,28,,210,,1.93,462,,12.40675,78.30669,GOOD,GOOD,,,,Lilo tower Panneswaram to Bargur line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30669 12.40675, 78.30849 12.40674)"
2,2,,KCR+ 2,DD+2,30,LILIO 01-2,270,195.8583482,1.5,461,"63°25'05""(LT)",12.40674,78.30849,GOOD,GOOD,,,,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30849 12.40674, 78.3096 12.40889)"
3,3,,GCR,DA,26,02-Mar,270,266.8929639,2.06,461,,12.40889,78.3096,GOOD,GOOD,,,,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3096 12.40889, 78.31083 12.41123)"
4,4,,GCR+6M,DA+6,32,03-Apr,220,291.5645111,1.46,462,,12.41123,78.31083,GOOD,GOOD,,,,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31083 12.41123, 78.31165 12.41286)"
5,5,,KCR+3M,DC+3,29,04-May,290,201.2916605,2.54,466,"34°24'34""(RT)",12.41286,78.31165,GOOD,GOOD,,,SMALL HILLS CROSSING,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31165 12.41286, 78.3139 12.4141)"
6,6,,GCR+3M,DA+3,29,05-Jun,290,280.6682562,3.05,463,,12.4141,78.3139,GOOD,GOOD,,,SMALL HILLS,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3139 12.4141, 78.31619 12.41536)"
7,7,,HCR+6M,DB+6,30,06-Jul,280,285.5457548,1.45,457,,12.41536,78.31619,GOOD,GOOD,LT LINE CROSSING-2,,SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31619 12.41536, 78.3184 12.41656)"
8,8,,KCR,DC,26,07-Aug,230,274.7090129,0.4,458,"32°21'45""(LT)",12.41656,78.3184,GOOD,GOOD,11KV LINE-1,,"TAR ROAD CROSSING,CANAL CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3184 12.41656, 78.31937 12.4183)"
9,9,,HCR+3M,DB+3,27,08-Sep,260,219.6329253,1.05,461,"15°09'07""(LT)",12.4183,78.31937,GOOD,GOOD,"11KV LINE-1,LT LINE CROSSING",ROAD CROSSING,,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31937 12.4183, 78.31992 12.42054)"
10,10,,HCR+3M,DB+3,27,09-Oct,270,255.0813258,0.79,464,"04°59'49""(RT)",12.42054,78.31992,GOOD,GOOD,,,,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31992 12.42054, 78.3206 12.42253)"
