Tower No,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 1 KARUPPUR LILO ,T,DC,26,,,2.45,281,,78.0171111111111,11.68236111111111,GOOD,GOOD,,,PLAIN,KARUPPUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0171111111111 11.68236111111111, 78.01766666666667 11.681888888888889)"
T.NO 112,T,SB,24,1-112,78.87331614684399,4.38,282,"14°42'49""",78.01766666666667,11.681888888888889,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01766666666667 11.681888888888889, 78.01936111111111 11.679638888888888)"
T.NO 113,T,SD,28,112-113,310.85044635644323,6.15,271,"35°10'30""",78.01936111111111,11.679638888888888,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01936111111111 11.679638888888888, 78.01866666666666 11.677638888888888)"
T.NO 114,T,SD,28,113-114,235.30405861353094,3.95,270,"34°15'50""",78.01866666666666,11.677638888888888,GOOD,GOOD,HT,MUDROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01866666666666 11.677638888888888, 78.01780555555555 11.675194444444443)"
T.NO 115,T,SD,28,114-115,285.9545418418809,5.18,266,"35°26'17""",78.01780555555555,11.675194444444443,GOOD,GOOD,,TAARROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01780555555555 11.675194444444443, 78.01791666666666 11.672805555555556)"
T.NO 116,T,SD,28,115-116,265.1527861441399,6.03,263,"40°26'40""",78.01791666666666,11.672805555555556,GOOD,GOOD,3NOS LT ,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01791666666666 11.672805555555556, 78.01938888888888 11.671249999999999)"
T.NO 117,T,SB,24,116-117,232.8797973204202,4.72,265,"8°56'34""",78.01938888888888,11.671249999999999,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01938888888888 11.671249999999999, 78.02005555555556 11.670277777777777)"
T.NO 118,T,SC,26,117-118,130.6330739131557,8.02,265,"27°30'24""",78.02005555555556,11.670277777777777,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02005555555556 11.670277777777777, 78.02022222222222 11.668722222222222)"
T.NO 119,T,SD,28,118-119,173.93389548906217,3.58,262,"54°6'51""",78.02022222222222,11.668722222222222,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02022222222222 11.668722222222222, 78.02108333333334 11.668249999999999)"
T.NO 120,T,SD,28,119-120,106.17438485811914,3.95,263,"60°10'43""",78.02108333333334,11.668249999999999,GOOD,GOOD,,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02108333333334 11.668249999999999, 78.02244444444445 11.669055555555556)"
T.NO 121,T,SB,24,120-121,174.77127910500627,4.85,261,"0°25'30""",78.02244444444445,11.669055555555556,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02244444444445 11.669055555555556, 78.02447222222222 11.670277777777777)"
T.NO 122,T,SC,26,121-122,256.90854403853524,5.69,263,"24°57'14""",78.02447222222222,11.670277777777777,GOOD,GOOD,LT,"MUDROAD,CEMENT ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02447222222222 11.670277777777777, 78.02697222222223 11.670527777777778)"
T.NO 123,S,SA,26,122-123,274.23530042647684,3.95,265,,78.02697222222223,11.670527777777778,GOOD,GOOD,2NOS LT,MUDROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02697222222223 11.670527777777778, 78.02952777777777 11.670805555555555)"
T.NO 124,S,SA,26,123-124,282.49247777595775,4.28,266,,78.02952777777777,11.670805555555555,GOOD,GOOD,"LT,110 KV CROSSING BELOW OUR LINE",,"CULTIVACTION LAND,CANAL",110KV KR THOPPUR TO SALEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02952777777777 11.670805555555555, 78.03194444444445 11.671055555555554)"
T.NO 125,S,SA,26,124-125,265.08866441249427,5.91,264,,78.03194444444445,11.671055555555554,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03194444444445 11.671055555555554, 78.03447222222222 11.671333333333333)"
T.NO 126,S,SA,26,125-126,276.4217791708895,6.45,269,,78.03447222222222,11.671333333333333,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03447222222222 11.671333333333333, 78.03702777777778 11.67161111111111)"
T.NO 127,S,SA,26,126-127,281.4977797425763,5.7,271,,78.03702777777778,11.67161111111111,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03702777777778 11.67161111111111, 78.03966666666666 11.671916666666666)"
T.NO 128,T,SC,26,127-128,290.55292116927683,4.15,276,"23°20'6""",78.03966666666666,11.671916666666666,GOOD,GOOD,LT,TAARROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03966666666666 11.671916666666666, 78.042 11.671222222222221)"
T.NO 129,S,SA,26,128-129,265.34694269955327,7.05,279,,78.042,11.671222222222221,GOOD,GOOD,"LT,HT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.042 11.671222222222221, 78.04433333333333 11.670499999999999)"
T.NO 130,S,SA,26,129-130,266.9082239272518,3.85,282,,78.04433333333333,11.670499999999999,GOOD,GOOD,2NOS LT,TAARROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04433333333333 11.670499999999999, 78.04658333333333 11.669833333333333)"
T.NO 131,T,SD,28,130-131,256.81510858981795,6.18,286,"58°3'20""",78.04658333333333,11.669833333333333,GOOD,GOOD,3NOS LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04658333333333 11.669833333333333, 78.04719444444444 11.667638888888888)"
T.NO 132,T,SB,24,131-132,250.78476827750126,5.26,270,"2°9'35""",78.04719444444444,11.667638888888888,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04719444444444 11.667638888888888, 78.04783333333333 11.665583333333334)"
T.NO 133,S,SA,26,132-133,239.1693960355296,6.98,272,,78.04783333333333,11.665583333333334,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04783333333333 11.665583333333334, 78.04858333333333 11.663055555555555)"
T.NO 134,S,SA,26,133-134,290.93126335957777,6.28,274,,78.04858333333333,11.663055555555555,GOOD,GOOD,,,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04858333333333 11.663055555555555, 78.04927777777777 11.660944444444445)"
T.NO 135,T,SB,24,134-135,245.78242410717655,3.62,276,"7°46'35""",78.04927777777777,11.660944444444445,GOOD,GOOD,HT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04927777777777 11.660944444444445, 78.05022222222222 11.658944444444446)"
T.NO 136,T,SB,24,135-136,243.48305895893455,4.8,278,"5°2'32""",78.05022222222222,11.658944444444446,GOOD,GOOD,,RAILWAY CROSS,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05022222222222 11.658944444444446, 78.05105555555555 11.657444444444446)"
T.NO 137,S,SA,26,136-137,190.66462702871763,5.1,282,,78.05105555555555,11.657444444444446,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05105555555555 11.657444444444446, 78.05191666666667 11.656)"
T.NO 138,T,SD,28,137-138,185.43192821086663,7.25,284,"47°12'5""",78.05191666666667,11.656,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05191666666667 11.656, 78.05497222222222 11.655333333333333)"
T.NO 139,S,SA,26,138-139,342.24260401066374,6.12,283,,78.05497222222222,11.655333333333333,GOOD,GOOD,3NOS LT,CEMENT ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05497222222222 11.655333333333333, 78.05755555555555 11.65475)"
T.NO 140,S,SA,26,139-140,286.93204770467867,4.19,287,,78.05755555555555,11.65475,GOOD,GOOD,"LT,HT",TAARROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05755555555555 11.65475, 78.06025 11.65413888888889)"
T.NO 141,S,SA,26,140-141,301.24574685794323,5.28,290,,78.06025,11.65413888888889,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06025 11.65413888888889, 78.06291666666667 11.653527777777779)"
T.NO 142,S,SA,26,141-142,301.7167545894659,7.35,296,,78.06291666666667,11.653527777777779,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06291666666667 11.653527777777779, 78.06591666666667 11.652833333333334)"
T.NO 143,S,SA,26,142-143,333.73043013785843,3.85,299,,78.06591666666667,11.652833333333334,GOOD,GOOD,2NOS LT,TAARROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06591666666667 11.652833333333334, 78.0685 11.65225)"
T.NO 144,S,SA,26,143-144,290.5942188000305,5.72,305,,78.0685,11.65225,GOOD,GOOD,,MUDROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0685 11.65225, 78.07044444444445 11.651805555555557)"
T.NO 145,S,SA,26,144-145,216.10414156142403,4.9,303,,78.07044444444445,11.651805555555557,GOOD,GOOD,2NOS LT,2NOS ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07044444444445 11.651805555555557, 78.07322222222221 11.651194444444444)"
T.NO 146,S,SA,26,145-146,312.64196775225173,3.67,299,,78.07322222222221,11.651194444444444,GOOD,GOOD,"LT,HT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07322222222221 11.651194444444444, 78.07563888888889 11.650638888888889)"
T.NO 147,S,SA,26,146-147,270.44038160008574,5.95,302,,78.07563888888889,11.650638888888889,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07563888888889 11.650638888888889, 78.07869444444444 11.649944444444444)"
T.NO 148,S,SA,26,147-148,342.4748165924029,6.28,292,,78.07869444444444,11.649944444444444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07869444444444 11.649944444444444, 78.08102777777778 11.649416666666665)"
T.NO 149,T,SC,26,148-149,260.0173071162764,5.18,295,"25°23'42""",78.08102777777778,11.649416666666665,GOOD,GOOD,LT,TAARROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08102777777778 11.649416666666665, 78.08255555555556 11.648222222222222)"
T.NO 150,S,SA,26,149-150,214.46211786700232,4.09,295,,78.08255555555556,11.648222222222222,GOOD,GOOD,LT,TAARROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08255555555556 11.648222222222222, 78.08455555555555 11.646694444444444)"
T.NO 151,S,SA,26,150-151,277.0649743291274,8.12,291,,78.08455555555555,11.646694444444444,GOOD,GOOD,"3NOS LT,HT",CEMENT ROAD,HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08455555555555 11.646694444444444, 78.08675 11.645)"
T.NO 152,S,SA,26,151-152,302.97854709533476,6.89,293,,78.08675,11.645,GOOD,GOOD,HT,TAARROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08675 11.645, 78.08877777777778 11.643416666666667)"
T.NO 153,S,SA,26,152-153,283.7692724732542,5.43,290,,78.08877777777778,11.643416666666667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08877777777778 11.643416666666667, 78.09083333333332 11.641777777777778)"
T.NO 154,T,SD,28,153-154,286.4349838968697,4.7,296,"41°59'33""",78.09083333333332,11.641777777777778,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09083333333332 11.641777777777778, 78.09347222222222 11.641972222222222)"
T.NO 155,S,SA,26,154-155,288.44410203711914,4.58,294,,78.09347222222222,11.641972222222222,GOOD,GOOD,2NOS LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09347222222222 11.641972222222222, 78.09630555555555 11.642166666666666)"
T.NO 156,S,SA,26,155-156,310.64449134018133,7.15,286,,78.09630555555555,11.642166666666666,GOOD,GOOD,LT,TAARROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09630555555555 11.642166666666666, 78.09977777777777 11.642333333333333)"
T.NO 157,S,SA,26,156-157,378.2591704109763,6.85,305,,78.09977777777777,11.642333333333333,GOOD,GOOD,LT,MUDROAD,HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09977777777777 11.642333333333333, 78.10119444444445 11.642444444444443)"
T.NO 158,T,SB,24,157-158,154.39235732380018,8.65,307,"14°32'36""",78.10119444444445,11.642444444444443,GOOD,GOOD,,,HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10119444444445 11.642444444444443, 78.10419444444445 11.641888888888888)"
T.NO 159,S,SA,26,158-159,334.5743564590687,5.77,287,,78.10419444444445,11.641888888888888,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10419444444445 11.641888888888888, 78.10697222222221 11.641333333333332)"
T.NO 160,S,SA,26,159-160,309.6853241598639,6.28,280,,78.10697222222221,11.641333333333332,GOOD,GOOD,"3NOS LT,HT",TAARROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10697222222221 11.641333333333332, 78.10988888888889 11.640777777777778)"
T.NO 161,S,SA,26,160-161,322.21886971436044,4.9,278,,78.10988888888889,11.640777777777778,GOOD,GOOD,"3NOS LT,2NOS HT",2NOS MUDROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10988888888889 11.640777777777778, 78.11247222222222 11.640305555555555)"
T.NO 162,T,SB,24,161-162,287.50652166516153,3.98,276,"3°1'35""",78.11247222222222,11.640305555555555,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11247222222222 11.640305555555555, 78.11272222222222 11.640277777777778)"
T.NO 163,T,DB,24,162-163,27.294688127912362,1.75,275,"11°46'22""",78.11272222222222,11.640277777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11272222222222 11.640277777777778, 78.11369444444443 11.639944444444444)"
T.NO 164,T,DB,24,163-164,112.94689017409908,2.05,275,"7°32'50""",78.11369444444443,11.639944444444444,GOOD,GOOD,,2NOS RAILWAY CROSSING,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11369444444443 11.639944444444444, 78.11413888888889 11.639833333333334)"
T.NO 165,T,SB,24,164-165,50.21951811795888,5.75,273,"5°3'20""",78.11413888888889,11.639833333333334,GOOD,GOOD,,MUDROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11413888888889 11.639833333333334, 78.11675 11.639027777777777)"
T.NO 166,T,DB,24,165-166,299.1755337590292,4.65,268,"10°13'23""",78.11675,11.639027777777777,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11675 11.639027777777777, 78.11888888888888 11.637944444444443)"
T.NO 167,T,DD,28,166-167,262.58903252040056,2.15,270,"30°11'0""",78.11888888888888,11.637944444444443,GOOD,GOOD,,RAILWAY CROSSING,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11888888888888 11.637944444444443, 78.12052777777777 11.638027777777777)"
T.NO 168,T,SC,26,167-168,178.13758727455584,3.15,270,"20°53'38""",78.12052777777777,11.638027777777777,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12052777777777 11.638027777777777, 78.12280555555554 11.637305555555555)"
