S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,GPS Co-ordinate's,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-22/1 LILO BKB I,3W,T,DD,28,,0,0.5,163,"4°33'21""",11.3776,77.7274,"11°22'39.2"" N","77°43'38.7"" E",GOOD,GOOD,,,CULTIVATION,NEED FOR THREE WAY JUNCTION WAS PROPOSED IN LINE VEEPADAI TO BKB-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7274 11.3776, 77.7269 11.3774)"
2,T.NO-21,,T,DC,26,22/1 LILO BKB I - 21,60.63827174,0.9,162,"29°49'59""",11.3774,77.7269,"11°22'38.8"" N","77°43'36.7"" E",GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7269 11.3774, 77.7251 11.3758)"
3,T.NO-20,,T,DD,30,21-20,267.4210164,1.2,156,,11.3758,77.7251,"11°22'32.9"" N","77°43'30.2"" E",GOOD,GOOD,,RIVER-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7251 11.3758, 77.7215 11.3725)"
4,T.NO-19,,T,DD,28,20-19,536.0783525,2,164,,11.3725,77.7215,"11°22'20.9"" N","77°43'17.4"" E",GOOD,GOOD,,,PLAIN,"JOINT BOX AVAILABLE,INSIDE GOVERNMENT AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7215 11.3725, 77.7191 11.3703)"
5,T.NO-18,,S,DA,26,19-18,360.0736036,2.12,168,,11.3703,77.7191,"11°22'12.9"" N","77°43'08.7"" E",GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7191 11.3703, 77.7168 11.3681)"
6,T.NO-17,,S,DA,26,18-17,343.0058309,3.05,168,,11.3681,77.7168,"11°22'05.3"" N","77°43'00.5"" E",GOOD,GOOD,,CANEL-2,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7168 11.3681, 77.7146 11.3661)"
7,T.NO-16,,S,DA,26,17-16,332.5327052,3.02,170,,11.3661,77.7146,"11°21'58.0"" N","77°42'52.4"" E",GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7146 11.3661, 77.7124 11.3641)"
8,T.NO-15,,T,DD,28,16-15,319.7248817,4.02,172,"18°12'24""",11.3641,77.7124,"11°21'50.9"" N","77°42'44.7"" E",GOOD,GOOD,"LT-1,11KV-1","CANAL-2,TAR-1(SH)",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7124 11.3641, 77.7111 11.3618)"
9,T.NO-14,,S,DA,26,15-14,293.061427,3.5,168,,11.3618,77.7111,"11°21'42.5"" N","77°42'40.0"" E",GOOD,GOOD,"LT-1,11KV-1",,PLAIN,INSIDE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7111 11.3618, 77.7098 11.3594)"
10,T.NO-13,,S,DA,26,14-13,305.9493422,9.24,165,,11.3594,77.7098,"11°21'33.8"" N","77°42'35.2"" E",GOOD,GOOD,"LT-5,11KV-2",TAR-4,PLAIN,INSIDE CITY AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7098 11.3594, 77.7086 11.3572)"
