S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,GPS Co-ordinate's,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-1 LILO THANEERPANDAL,3W,T,DD,26,,,5.1,284,,11.1889,77.627,"11°11'20.2"" N","77°37'37.2"" E",GOOD,,,,PLAIN,Already Three Way Junction Box is Proposed in the Line (THENEERPANDAL 110KV to INGUR 110KV ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.627 11.1889, 77.6266 11.1879)"
2,T.NO-335,,S,DA,26,1 LILIO- 335,123.9677377,7.94,280,,11.1879,77.6266,"11°11'16.3"" N","77°37'35.9"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6266 11.1879, 77.6259 11.1857)"
3,T.NO-334,,S,DA,26,335-334,249.19069,8.85,281,,11.1857,77.6259,"11°11'08.7"" N","77°37'33.2"" E",GOOD,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6259 11.1857, 77.625 11.1833)"
4,T.NO-333,,T,DC,26,334-333,280.8131051,7.81,280,"24°22'55"" ",11.1833,77.625,"11°11'00.1"" N","77°37'30.2"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.625 11.1833, 77.6253 11.181)"
5,T.NO-332,,S,DA,26,333-332,262.2918222,8.76,282,,11.181,77.6253,"11°10'51.6"" N","77°37'31.0"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6253 11.181, 77.6255 11.1783)"
6,T.NO-331,,S,DA,26,332-331,300.4030626,9.1,270,,11.1783,77.6255,"11°10'41.8"" N","77°37'31.8"" E",GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6255 11.1783, 77.6257 11.1757)"
7,T.NO-330,,T,DC,26,331-330,291.6864755,8.7,268,"19°14'16"" ",11.1757,77.6257,"11°10'32.4"" N","77°37'32.4"" E",GOOD,GOOD,"11KV-1,LT-2","TAR-2,POND-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6257 11.1757, 77.6249 11.1732)"
8,T.NO-329,,S,DA,26,330-329,282.6888749,7.39,269,,11.1732,77.6249,"11°10'23.5"" N","77°37'29.8"" E",GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6249 11.1732, 77.6242 11.1707)"
9,T.NO-328,,S,DA,26,329-328,292.5149569,9.64,270,,11.1707,77.6242,"11°10'14.4"" N","77°37'27.3"" E",GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6242 11.1707, 77.6236 11.1683)"
10,T.NO-327,,T,DC,26,328-327,268.8215021,5.1,267,"39°24'27"" ",11.1683,77.6236,"11°10'05.9"" N","77°37'24.8"" E",GOOD,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6236 11.1683, 77.6245 11.1662)"
