Tower No,JOINT BOX,Tower Type,Tower Type (T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY O.K.M 230KV SS,2W,T,GANTRY,20,,,,377,,77.001,10.89191667,GOOD,MISSING,,,PLAIN,230KV O.K.MANDAPAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.001 10.891916666666667, 77.00102777777778 10.892222222222221)"
T.NO 1,,T,DC,26,GANTRY-1,33.24154028,7.36,380,"24°35'35""",77.00102778,10.89222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00102777777778 10.892222222222221, 77.00119444444445 10.8925)"
T.NO 2,,T-MC,MD,45,01-Feb,36.35931793,8.12,375,"43°3'22""",77.00119444,10.8925,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00119444444445 10.8925, 77.00216666666667 10.89275)"
T.NO 3,,T-MC,MB,45,02-Mar,108.9311709,7.96,373,"8°41'26""",77.00216667,10.89275,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00216666666667 10.89275, 77.00372222222222 10.892916666666666)"
T.NO 4 (3A),,T-MC,MB,45,03-Apr,170.1793172,6.78,372,"8°18'7""",77.00372222,10.89291667,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00372222222222 10.892916666666666, 77.00480555555555 10.893194444444443)"
T.NO 5 (3B),,T-MC,MD,45,04-May,123.227432,6.12,365,"85°17'50""",77.00480556,10.89319444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00480555555555 10.893194444444443, 77.00597222222223 10.889916666666666)"
T.NO 6 (3C),,T-MC,MC,45,05-Jun,384.6348918,1.8,367,"23°43'55""",77.00597222,10.88991667,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00597222222223 10.889916666666666, 77.00797222222222 10.887805555555556)"
T.NO 7,,T-MC,MB,45,06-Jul,321.1385994,3.64,357,"6°12'0""",77.00797222,10.88780556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00797222222222 10.887805555555556, 77.00827777777778 10.887555555555554)"
T.NO 7A,,T,DP,15,7-7A,43.27817002,,357,,77.00827778,10.88755556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00827777777778 10.887555555555554, 77.00855555555556 10.887166666666666)"
T.NO 7B,,T,DP,15,7A-7B,51.03920062,,353,,77.00855556,10.88716667,GOOD,GOOD,230KV,,PLAIN,OKM-ANAIKADAVU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00855555555556 10.887166666666666, 77.00875 10.886861111111111)"
T.NO 8,2W,T,DB,24,7B-8,40.49691346,5.85,355,"2°50'29""",77.00875,10.88686111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00875 10.886861111111111, 77.01008333333333 10.884972222222222)"
T.NO 9,,S ,DA,26,08-Sep,255.0490149,6.35,359,,77.01008333,10.88497222,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01008333333333 10.884972222222222, 77.01133333333334 10.883277777777778)"
T.NO 10,,S,DA,26,09-Oct,232.0344802,4.54,366,,77.01133333,10.88327778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01133333333334 10.883277777777778, 77.01266666666666 10.881444444444444)"
T.NO 11,,S,DA,26,10-Nov,250.4156545,5.45,372,,77.01266667,10.88144444,GOOD,GOOD,"LT,11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01266666666666 10.881444444444444, 77.01386111111111 10.879805555555556)"
T.NO 12,,S,DA,26,11-Dec,222.6229997,6.35,369,,77.01386111,10.87980556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01386111111111 10.879805555555556, 77.01505555555555 10.87813888888889)"
T.NO 13,,S,DA,26,Dec-13,226.2255512,3.16,371,,77.01505556,10.87813889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01505555555555 10.87813888888889, 77.01613888888889 10.876555555555557)"
T.NO 14,,S,DA,26,13-14,211.896201,4.83,369,,77.01613889,10.87655556,GOOD,GOOD,LT ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01613888888889 10.876555555555557, 77.01736111111111 10.874972222222222)"
T.NO 15,,S,DA,26,14-15,220.8438362,3.65,370,,77.01736111,10.87497222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01736111111111 10.874972222222222, 77.01847222222221 10.873333333333333)"
T.NO 16,,S,DA,26,15-16,216.6217902,4.69,379,,77.01847222,10.87333333,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01847222222221 10.873333333333333, 77.01969444444444 10.871638888888889)"
