S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 40 PANAPATTY LILO,,T,DC,26,,,6.23,355,,77.04836111,10.83177778,GOOD,GOOD,,,PLAIN,PANAPATTY LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0483611111111 10.831777777777777, 77.04841666666667 10.831944444444444)"
2,T.NO DP1,,T,DP,15,40-DP1,17.08800749,,354,,77.04841667,10.83194444,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04841666666667 10.831944444444444, 77.04866666666666 10.831833333333334)"
3,T.NO 1,,T,DD,15,DP1-1,30.08321791,6.5,356,"36°0'11""",77.04866667,10.83183333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04866666666666 10.831833333333334, 77.05127777777777 10.832472222222222)"
4,T.NO 2,,T,DD,28,01-Feb,294.4503354,5.63,347,"79°44'2""",77.05127778,10.83247222,GOOD,GOOD,"LT,11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05127777777777 10.832472222222222, 77.05122222222222 10.833194444444445)"
5,T.NO 3,,T,DD,28,02-Mar,80.22468448,5.95,342,"57°6'16""",77.05122222,10.83319444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05122222222222 10.833194444444445, 77.05202777777778 10.833805555555557)"
6,T.NO 4,,T,DB,24,03-Apr,109.2016483,6.35,342,"2°32'23""",77.05202778,10.83380556,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05202777777778 10.833805555555557, 77.05366666666666 10.834888888888889)"
7,T.NO 5,,S ,DA,26,04-May,216.3631207,6.93,338,,77.05366667,10.83488889,GOOD,GOOD,LT ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05366666666666 10.834888888888889, 77.05472222222222 10.835611111111112)"
8,T.NO 6,,T,DC,26,05-Jun,140.9113196,7.45,346,"25°46'40""",77.05472222,10.83561111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05472222222222 10.835611111111112, 77.05613888888888 10.838027777777778)"
9,T.NO 7,,S,DA,26,06-Jul,309.4672842,5.12,343,,77.05613889,10.83802778,GOOD,GOOD,,"MUDROAD,CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05613888888888 10.838027777777778, 77.05738888888888 10.840194444444444)"
10,T.NO 8,,T,DD,28,07-Aug,274.8745168,4.63,349,"34°30'21""",77.05738889,10.84019444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05738888888888 10.840194444444444, 77.05908333333333 10.841027777777779)"
