Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY-OKM 230KV SS,2W,,,20,,,,373,,77.00183333,10.89183333,GOOD,MISSING,,,,O.K MANDAPAM 230KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00183333333334 10.891833333333333, 77.0015 10.892305555555556)"
T.NO 1,,T,DD,28,GANTRY-1,63.82005954,7.93,374,"110°19'56""",77.0015,10.89230556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0015 10.892305555555556, 77.0026388888889 10.89261111111111)"
T.NO 2,,T,DD,28,01-Feb,130.5067048,8.12,377,"151°24'11""",77.00263889,10.89261111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0026388888889 10.89261111111111, 77.00219444444444 10.892722222222222)"
T.NO 3,,T,DD,28,02-Mar,51.41984053,8.24,379,"152°28'5""",77.00219444,10.89272222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00219444444444 10.892722222222222, 77.00366666666666 10.893083333333333)"
T.NO 4,,T,DB,24,03-Apr,164.924225,7.46,376,"2°4'38""",77.00366667,10.89308333,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00366666666666 10.893083333333333, 77.00488888888889 10.893416666666667)"
T.NO 5,,T,DC,26,04-May,140.5204611,6.12,371,"22°32'47""",77.00488889,10.89341667,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00488888888889 10.893416666666667, 77.00566666666667 10.894027777777778)"
T.NO 6,,T,DD,28,05-Jun,108.853112,6.21,369,"55°24'10""",77.00566667,10.89402778,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00566666666667 10.894027777777778, 77.00558333333333 10.895388888888888)"
T.NO 7,,S,DA,26,06-Jul,152.4729484,5.92,370,,77.00558333,10.89538889,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00558333333333 10.895388888888888, 77.00547222222222 10.897194444444445)"
T.NO 8,,T,DD,28,07-Aug,200.4220547,5.21,372,"51°25'26""",77.00547222,10.89719444,GOOD,GOOD,2nos HT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00547222222222 10.897194444444445, 77.00733333333334 10.898888888888889)"
T.NO 9,,T,DC,26,08-Sep,274.5906044,6.82,375,"23°5'3""",77.00733333,10.89888889,GOOD,GOOD,LT,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00733333333334 10.898888888888889, 77.009 10.899444444444445)"
