Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 19/1 PODANUR LILO,,T,,,,,7.17,398,,77.01775,10.91427778,GOOD,GOOD,,,CULTI VACTION LAND,NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01774999999999 10.914277777777778, 77.01605555555555 10.916722222222221)"
T.NO 2,,T,DD,28,19-01-2002,325.6516544,6.42,399,"48°56'24""",77.01605556,10.91672222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01605555555555 10.916722222222221, 77.01641666666667 10.918)"
T.NO 3,,T,DC,26,02-Mar,145.523194,6.13,399,"24°2'35""",77.01641667,10.918,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01641666666667 10.918, 77.01608333333333 10.919944444444443)"
T.NO 4,,T,DB,24,03-Apr,219.14607,3.96,402,"3°36'16""",77.01608333,10.91994444,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01608333333333 10.919944444444443, 77.01575 10.921305555555556)"
T.NO 5,,T,DB,24,04-May,156.2049935,4.68,403,"6°55'20""",77.01575,10.92130556,GOOD,GOOD,LT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01575 10.921305555555556, 77.01547222222223 10.924055555555555)"
T.NO 6,,T,DC,26,05-Jun,304.9016235,7.12,412,"23°22'2""",77.01547222,10.92405556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01547222222223 10.924055555555555, 77.01416666666667 10.926333333333332)"
T.NO 7,,T,DB,24,06-Jul,288.0086804,6.21,418,"11°8'30""",77.01416667,10.92633333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01416666666667 10.926333333333332, 77.01363888888889 10.927944444444444)"
T.NO 8,,T,DD,28,07-Aug,187.8403578,6.15,418,"59°56'53""",77.01363889,10.92794444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01363888888889 10.927944444444444, 77.01186111111112 10.928305555555555)"
T.NO 9,,T,DB,24,08-Sep,196.9009903,6.75,416,"6°39'38""",77.01186111,10.92830556,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01186111111112 10.928305555555555, 77.01033333333334 10.928444444444445)"
T.NO 10,,T,DD,28,09-Oct,168.5823241,6.89,418,"35°33'58""",77.01033333,10.92844444,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01033333333334 10.928444444444445, 77.00858333333333 10.929916666666665)"
T.NO 11,,T,DC,35,10-Nov,251.8590876,6.16,408,"16°22'15""",77.00858333,10.92991667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00858333333333 10.929916666666665, 77.00738888888888 10.931777777777777)"
T.NO 12,,T,DD,37,11-Dec,244.0737593,7.21,403,"42°21'4""",77.00738889,10.93177778,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00738888888888 10.931777777777777, 77.00580555555555 10.932194444444443)"
