S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 44/1 PATTANAM LILO,,T,,,,,7.26,423,,77.06386111,10.95686111,GOOD,GOOD,,,PLAIN,NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06386111111111 10.95686111111111, 77.06372222222222 10.959444444444443)"
2,T.NO 2,,T,DB,24,44/1-2,287.5639059,5.61,423,"1°17'6""",77.06372222,10.95944444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06372222222222 10.959444444444443, 77.06352777777778 10.961777777777778)"
3,T.NO 3,,T,DB,24,02-Mar,258.9362856,5.45,418,"3°16'59""",77.06352778,10.96177778,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06352777777778 10.961777777777778, 77.06313888888889 10.9645)"
4,T.NO 4,,T,DD,28,03-Apr,303.0659994,5.91,414,"73°17'35""",77.06313889,10.9645,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06313888888889 10.9645, 77.06352777777778 10.964666666666666)"
5,T.NO 5,,T,DD,28,04-May,45.18849411,4.82,413,"75°59'34""",77.06352778,10.96466667,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06352777777778 10.964666666666666, 77.06327777777777 10.966)"
6,T.NO 6,,T,DC,35,05-Jun,148.6606875,4.71,412,"21°56'25""",77.06327778,10.966,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06327777777777 10.966, 77.06383333333333 10.968722222222222)"
7,T.NO 7,,S,DA,35,06-Jul,308.6907838,4.38,410,,77.06383333,10.96872222,GOOD,GOOD,"LT,HT","POND,DRAIN,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06383333333333 10.968722222222222, 77.06408333333333 10.969944444444444)"
8,T.NO 8,,T,DB,24,07-Aug,138.6542462,4.97,408,"12°51'52""",77.06408333,10.96994444,GOOD,GOOD,"2nos LT,HT",MUD ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06408333333333 10.969944444444444, 77.06405555555556 10.971694444444445)"
9,T.NO 9,,T,DB,30,08-Sep,193.0932417,1.76,405,"13°11'57""",77.06405556,10.97169444,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06405555555556 10.971694444444445, 77.06444444444445 10.973527777777777)"
10,T.NO 10,,T,DD,34,09-Oct,207.0990101,2.13,403,"30°28'52""",77.06444444,10.97352778,GOOD,GOOD,LT,"DRAIN,MUD ROAD",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06444444444445 10.973527777777777, 77.06386111111111 10.975277777777778)"
11,T.NO 11,,T,DD,28,10-Nov,202.0816667,2.36,401,"42°57'53""",77.06386111,10.97527778,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06386111111111 10.975277777777778, 77.06458333333333 10.976861111111111)"
12,T.NO 12,,T,DD,28,11-Dec,192.50974,2.11,401,"44°22'43""",77.06458333,10.97686111,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06458333333333 10.976861111111111, 77.06405555555556 10.978277777777778)"
13,T.NO 13,,T,DB,24,Dec-13,168.6564556,3.04,400,"9°24'55""",77.06405556,10.97827778,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06405555555556 10.978277777777778, 77.06380555555555 10.979472222222222)"
14,T.NO 14,,T,DC,26,13-14,135.5175265,4.38,400,"18°36'2""",77.06380556,10.97947222,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06380555555555 10.979472222222222, 77.064 10.980722222222223)"
15,T.NO 15,,T,DB,24,14-15,137.1860051,4.12,399,"13°28'15""",77.064,10.98072222,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.064 10.980722222222223, 77.06386111111111 10.982111111111111)"
16,T.NO 16,2W,T,DB,24,15-16,154.8289379,3.98,398,"0°31'53""",77.06386111,10.98211111,GOOD,GOOD,"LT,HT",TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06386111111111 10.982111111111111, 77.06361111111111 10.984416666666666)"
17,T.NO 17,,T,DB,24,16-17,257.637342,6.31,396,"9°36'49""",77.06361111,10.98441667,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06361111111111 10.984416666666666, 77.06372222222222 10.986388888888888)"
18,T.NO 18,,T,DD,28,17-18,218.3300254,5.61,394,"32°31'16""",77.06372222,10.98638889,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06372222222222 10.986388888888888, 77.06313888888889 10.98736111111111)"
19,T.NO 19,,S,DA,26,18-19,124.3422696,6.81,393,,77.06313889,10.98736111,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06313888888889 10.98736111111111, 77.06263888888888 10.988333333333333)"
20,T.NO 20,,T,DC,26,19-20,122.5438697,5.95,390,"15°20'3""",77.06263889,10.98833333,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06263888888888 10.988333333333333, 77.0623611111111 10.989416666666665)"
21,T.NO 21,,T,DD,28,20-21,123.6931688,5.32,391,"48°13'22""",77.06236111,10.98941667,GOOD,GOOD,2nos LT,TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0623611111111 10.989416666666665, 77.06113888888889 10.990083333333333)"
22,T.NO 22,,T,DB,24,21-22,152.5319639,4.82,391,"1°42'45""",77.06113889,10.99008333,GOOD,GOOD,HT,TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06113888888889 10.990083333333333, 77.0603611111111 10.990527777777777)"
23,T.NO 23,,T,DB,24,22-23,97.61659695,4.61,391,"10°21'37""",77.06036111,10.99052778,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0603611111111 10.990527777777777, 77.05916666666667 10.990944444444443)"
24,T.NO 24,,T,DD,28,23-24,137.5681649,3.45,390,"52°22'20""",77.05916667,10.99094444,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05916666666667 10.990944444444443, 77.05863888888888 10.9925)"
25,T.NO 25,,T,DB,24,24-25,182.463695,4.96,386,"11°45'27""",77.05863889,10.9925,GOOD,GOOD,"LT,HT",TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05863888888888 10.9925, 77.0581111111111 10.993416666666667)"
26,T.NO 26,,T,DB,30,25-26,116.9700816,5.02,384,"7°6'49""",77.05811111,10.99341667,GOOD,GOOD,"LT,HT",TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0581111111111 10.993416666666667, 77.05716666666666 10.994638888888888)"
27,T.NO 27,,T,DD,34,26-27,171.2074765,7.31,387,"62°3'25""",77.05716667,10.99463889,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05716666666666 10.994638888888888, 77.05694444444444 10.99461111111111)"
28,GT-PATTANAM 110kv SS,2W,GANTRY,,20,27-GANTRY,24.33105012,,386,,77.05694444,10.99461111,GOOD,MISSSING,,,PLAIN,110KV PATTANAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,4611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
