S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 19 KEERANATHAM LILO,T,DC,26,,,7.15,441,,76.97130555555556,11.069472222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97130555555556 11.069472222222222, 76.97116666666666 11.0715)"
2,T.NO 1,S,DA,26,19-1,226.71568097509268,6.05,438,,76.97116666666666,11.0715,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97116666666666 11.0715, 76.97111111111111 11.073194444444445)"
3,T.NO 2,T,DB,24,1-2,186.1316738225926,8.05,436,"8°43'22""",76.97111111111111,11.073194444444445,GOOD,GOOD,,"CANAL,RIVER",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97111111111111 11.073194444444445, 76.97133333333333 11.075416666666666)"
4,T.NO 3,S,DA,26,2-3,248.16325271885037,7.85,438,,76.97133333333333,11.075416666666666,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97133333333333 11.075416666666666, 76.97166666666666 11.0785)"
5,T.NO 4,S,DA,26,3-4,341.69577111811026,8.25,438,,76.97166666666666,11.0785,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97166666666666 11.0785, 76.97194444444445 11.081527777777778)"
6,T.NO 5,T,DB,24,4-5,339.0766874911928,7.95,450,"6°43'28""",76.97194444444445,11.081527777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97194444444445 11.081527777777778, 76.97188888888888 11.084000000000001)"
7,T.NO 6,T,DC,26,5-6,272.0900586203031,4.9,457,"20°48'46""",76.97188888888888,11.084000000000001,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97188888888888 11.084000000000001, 76.97272222222223 11.086361111111112)"
8,T.NO 7,S,DA,26,6-7,277.3319310861986,5.8,460,,76.97272222222223,11.086361111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97272222222223 11.086361111111112, 76.97344444444445 11.088277777777778)"
9,T.NO 8,T,DC,26,7-8,224.01785643113362,5.45,448,"22°8'13""",76.97344444444445,11.088277777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97344444444445 11.088277777777778, 76.97527777777778 11.090305555555556)"
10,T.NO 9,S,DA,26,8-9,303.19960422137757,7.3,443,,76.97527777777778,11.090305555555556,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97527777777778 11.090305555555556, 76.97730555555556 11.092527777777779)"
11,T.NO 10,T,DB,24,9-10,329.4434701128556,6.75,437,"8°57'19""",76.97730555555556,11.092527777777779,GOOD,GOOD,"LT-2,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97730555555556 11.092527777777779, 76.97927777777778 11.094111111111111)"
12,T.NO 11,S,DA,26,10-11,278.62519627628797,5.6,435,,76.97927777777778,11.094111111111111,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97927777777778 11.094111111111111, 76.98133333333334 11.095611111111111)"
13,T.NO 12,S,DA,26,11-12,280.60114041108244,4.3,433,,76.98133333333334,11.095611111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98133333333334 11.095611111111111, 76.98336111111111 11.097277777777778)"
14,T.NO 13,S,DA,26,12-13,287.3273394579778,5.7,429,,76.98336111111111,11.097277777777778,GOOD,GOOD,"LT-2,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98336111111111 11.097277777777778, 76.98455555555556 11.098361111111112)"
15,T.NO 14,T,DD,28,13-14,177.59786034747154,4.75,429,"53°13'25""",76.98455555555556,11.098361111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98455555555556 11.098361111111112, 76.98455555555556 11.09875)"
16,T.NO 15,T,DD,28,14-15,41.048751503547585,5.05,431,"85°35'36""",76.98455555555556,11.09875,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98455555555556 11.09875, 76.98541666666667 11.098833333333333)"
17,T.NO 16,T,DD,28,15-16,95.75489543621255,5.62,430,"78°37'49""",76.98541666666667,11.098833333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98541666666667 11.098833333333333, 76.98561111111111 11.101444444444445)"
18,T.NO 17,T,DD,28,16-17,288.76461001999536,5.95,433,"83°20'50""",76.98561111111111,11.101444444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98561111111111 11.101444444444445, 76.98877777777778 11.101555555555555)"
19,T.NO 18,T,DD,28,17-18,346.3249918790153,7.15,430,"92°51'43""",76.98877777777778,11.101555555555555,GOOD,GOOD,HT-2,"CANAL,TAARROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98877777777778 11.101555555555555, 76.98855555555555 11.10436111111111)"
20,T.NO 19,T,DC,26,18-19,311.35349684883903,3.25,420,"21°12'13""",76.98855555555555,11.10436111111111,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98855555555555 11.10436111111111, 76.989 11.105944444444445)"
21,T.NO 20,T,DC,26,19-20,182.96447742663054,4.73,422,"23°58'58""",76.989,11.105944444444445,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.989 11.105944444444445, 76.99030555555555 11.10736111111111)"
22,T.NO 21,S,DA,26,20-21,208.94257584322062,6.05,421,,76.99030555555555,11.10736111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99030555555555 11.10736111111111, 76.99138888888889 11.108722222222221)"
23,T.NO 21A KOVILPALAYAM LILO,T,DD,28,21-21A,192.4266093865399,5.35,419,"136°33'7""",76.99138888888889,11.108722222222221,GOOD,MISSING,,,PLAIN,KOVILPALAYAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99138888888889 11.108722222222221, 76.99091666666666 11.108666666666666)"
24,GT 110KV KEERANATHAM SS,T,GT,15,21A-GT,51.35172830587107,,421,,76.99091666666666,11.108666666666666,GOOD,MISSING,,,PLAIN,110KV KEERANATHAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
