S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 78 LILO NEELAMBUR,T,DC,26,,,5.98,380,,77.1073611111111,11.076611111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1073611111111 11.076611111111111, 77.10627777777778 11.076138888888888)"
2,T.NO 1,T,DC,26,78-1,127.534309109353,7.94,381,"25°51'27""",77.10627777777778,11.076138888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10627777777778 11.076138888888888, 77.10588888888888 11.076138888888888)"
3,T.NO 1A,T,DD,28,1-1A,44.01136216933077,7.34,382,"70°40'42""",77.10588888888888,11.076138888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10588888888888 11.076138888888888, 77.10563888888888 11.076916666666666)"
4,T.NO 2,T,DB,24,1A-2,87.28115489611719,7.18,381,"3°2'9""",77.10563888888888,11.076916666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10563888888888 11.076916666666666, 77.10491666666667 11.078833333333334)"
5,T.NO 3,T,DB,24,2-3,228.23890991677996,8.17,381,"4°9'12""",77.10491666666667,11.078833333333334,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10491666666667 11.078833333333334, 77.10441666666667 11.080472222222221)"
6,T.NO 4,T,DD,28,3-4,189.1718795170149,2.57,383,"73°5'52""",77.10441666666667,11.080472222222221,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10441666666667 11.080472222222221, 77.1033611111111 11.080472222222221)"
7,T.NO 5,T,DD,28,4-5,114,4.87,384,"61°39'0""",77.1033611111111,11.080472222222221,GOOD,GOOD,LT ,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1033611111111 11.080472222222221, 77.10269444444444 11.08175)"
8,T.NO 6,T,DC,26,5-6,157.94302770302968,1.72,386,"17°57'30""",77.10269444444444,11.08175,GOOD,GOOD,"LT,HT-2","RIVER,MUDROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10269444444444 11.08175, 77.10213888888889 11.084888888888889)"
9,T.NO 7,T,DC,26,6-7,354.81967250985394,6.03,388,"18°4'34""",77.10213888888889,11.084888888888889,GOOD,GOOD,HT-2,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10213888888889 11.084888888888889, 77.10102777777777 11.086944444444445)"
10,T.NO 8,T,DD,28,7-8,255.9472601924076,7.12,390,"33°13'52""",77.10102777777777,11.086944444444445,GOOD,GOOD,"LT-3,HT-2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10102777777777 11.086944444444445, 77.10125 11.089333333333334)"
11,T.NO 9,T,DC,26,8-9,264.9150807334305,6.15,394,"22°25'52""",77.10125,11.089333333333334,GOOD,GOOD,"LT-2,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10125 11.089333333333334, 77.1021111111111 11.090944444444444)"
12,T.NO 10,T,DB,24,9-10,203.49447166937975,5.95,397,"6°10'26""",77.1021111111111,11.090944444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1021111111111 11.090944444444444, 77.10294444444443 11.093027777777777)"
13,T.NO 11,T,DB,24,10-11,245.3263133053607,5.12,401,"8°7'11""",77.10294444444443,11.093027777777777,GOOD,GOOD,"LT,HT-2",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10294444444443 11.093027777777777, 77.10330555555555 11.09463888888889)"
14,T.NO 12,T,DD,28,11-12,183.63550854886427,5.02,402,"32°48'3""",77.10330555555555,11.09463888888889,GOOD,GOOD,"LT-2,HT",POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10330555555555 11.09463888888889, 77.1026111111111 11.09663888888889)"
