S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 1LILO MYLAMPATTI,T,DC,26,,,4.98,393,,77.05605555555556,11.060555555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05605555555556 11.060555555555556, 77.05622222222222 11.06075)"
2,T.NO 2,T,DD,28,1-2,28.42534080710379,7.16,395,"41°24'41""",77.05622222222222,11.06075,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05622222222222 11.06075, 77.05780555555555 11.061)"
3,T.NO 3,T,DD,28,2-3,173.27723451163456,5.21,393,"71°19'43""",77.05780555555555,11.061,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05780555555555 11.061, 77.05794444444444 11.061916666666667)"
4,T.NO 4,T,DD,28,3-4,104.39348638684312,4.12,393,"55°18'54""",77.05794444444444,11.061916666666667,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05794444444444 11.061916666666667, 77.05930555555555 11.062555555555557)"
5,T.NO 5,T,DC,26,4-5,163.7192719260625,5.13,393,"18°36'22""",77.05930555555555,11.062555555555557,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05930555555555 11.062555555555557, 77.06055555555555 11.063722222222223)"
6,T.NO 6,T,DD,28,5-6,187.41664813991312,4.21,392,"33°17'58""",77.06055555555555,11.063722222222223,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06055555555555 11.063722222222223, 77.06172222222222 11.063916666666668)"
7,T.NO 7,T,DB,24,6-7,130.23056476879765,4.02,392,"2°5'20""",77.06172222222222,11.063916666666668,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06172222222222 11.063916666666668, 77.06191666666666 11.063944444444445)"
8,GT 110KV MYLAMPATTY SS,T,GT,15,7-GT,20.223748416156685,,394,,77.06191666666666,11.063944444444445,GOOD,MISSING,,,PLAIN,110KV MYLAMPATTI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
