S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 230KV THUDIYALUR SS,2W,T,GT,15,,,,466,,76.93577778,11.085,GOOD,MISSING,,,PLAIN,230KV THUDIYALUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93577777777779 11.085, 76.93583333333333 11.085111111111111)"
2,T.NO 1,,T,DC,2,GT-1,12.64911064,3.86,466,"19°39'41""",76.93583333,11.08511111,GOOD,GOOD,HT-2,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93583333333333 11.085111111111111, 76.93586111111111 11.082166666666666)"
3,T.NO 2,,S ,DA,26,01-Feb,327.074915,3.78,459,,76.93586111,11.08216667,GOOD,GOOD,"LT-2,HT-2",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93586111111111 11.082166666666666, 76.93594444444444 11.079333333333333)"
4,T.NO 3,,T,DB,24,02-Mar,313.1597037,3.64,466,"10°59'21""",76.93594444,11.07933333,GOOD,GOOD,LT-2 ,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93594444444444 11.079333333333333, 76.93661111111112 11.076305555555555)"
5,T.NO 4,,S,DA,26,03-Apr,342.5375892,4.15,467,,76.93661111,11.07630556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93661111111112 11.076305555555555, 76.93727777777778 11.073583333333334)"
6,T.NO 5,,S,DA,26,04-May,308.0211032,4.68,467,,76.93727778,11.07358333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93727777777778 11.073583333333334, 76.93797222222223 11.070777777777778)"
7,T.NO 6,,S,DA,26,05-Jun,320.3903869,4.13,467,,76.93797222,11.07077778,GOOD,GOOD,"LT-2,HT ",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93797222222223 11.070777777777778, 76.93858333333334 11.068194444444444)"
8,T.NO 7,,S,DA,26,06-Jul,294.4418449,5.33,469,,76.93858333,11.06819444,GOOD,GOOD,"LT-3,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93858333333334 11.068194444444444, 76.93930555555556 11.065361111111113)"
9,T.NO 8,2W,T,DB,24,07-Aug,322.0931542,4.81,471,"1°3'7""",76.93930556,11.06536111,GOOD,GOOD,LT-3 ,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93930555555556 11.065361111111113, 76.94011111111112 11.062416666666667)"
10,T.NO 9,,S,DA,26,08-Sep,338.1952099,4.96,461,,76.94011111,11.06241667,GOOD,GOOD,"LT-4,HT-2",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94011111111112 11.062416666666667, 76.94091666666667 11.059416666666667)"
