S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,TNO 18 M.G PUDHUR LILO,,T,DC,26,,,4.53,363,,77.12502778,11.06038889,GOOD,GOOD,,,CULTI VACTION,M.G PUDHUR LILO.NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12502777777777 11.06038888888889, 77.12516666666666 11.060666666666668)"
2,T.NO 1,,T,DD,28,118-1,31.78049716,3.27,361,"43°27'54""",77.12516667,11.06066667,GOOD,GOOD,,DRAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12516666666666 11.060666666666668, 77.12461111111111 11.06225)"
3,T.NO 2,,T,DC,26,01-Feb,184.3827541,3.72,362,"17°24'25""",77.12461111,11.06225,GOOD,GOOD,,MUD ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12461111111111 11.06225, 77.12288888888888 11.064555555555556)"
4,T.NO 3,,T,DD,28,02-Mar,319.4010019,5.17,360,"64°11'29""",77.12288889,11.06455556,GOOD,GOOD,"LT,",DRAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12288888888888 11.064555555555556, 77.12108333333333 11.064222222222224)"
5,T.NO 4,,T,DD,28,03-Apr,200.631503,3.84,366,"69°51'10""",77.12108333,11.06422222,GOOD,GOOD,,DRAIN,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12108333333333 11.064222222222224, 77.1206111111111 11.064972222222224)"
6,T.NO 5,,T,DC,26,04-May,96.89685237,3.62,362,"15°52'12""",77.12061111,11.06497222,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1206111111111 11.064972222222224, 77.12002777777776 11.067194444444445)"
7,T.NO 6,,T,DD,28,05-Jun,251.8034948,5.7,365,"43°11'50""",77.12002778,11.06719444,GOOD,GOOD,"LT,",,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12002777777776 11.067194444444445, 77.11861111111111 11.068055555555555)"
8,T.NO 7,,T,DD,28,06-Jul,183.1720503,6.12,366,"38°27'1""",77.11861111,11.06805556,GOOD,GOOD,"LT,",CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11861111111111 11.068055555555555, 77.11677777777777 11.06786111111111)"
9,T.NO 8,,T,DD,28,07-Aug,201.434853,3.26,366,"45°39'11""",77.11677778,11.06786111,GOOD,GOOD,HT,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11677777777777 11.06786111111111, 77.11647222222221 11.067472222222221)"
10,T.NO 9,,T,DC,26,08-Sep,54.20332093,2.97,369,"25°35'5""",77.11647222,11.06747222,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11647222222221 11.067472222222221, 77.11524999999999 11.066888888888888)"
