S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 36 SULUR LILO,,T,DC,26,,,3.17,377,,77.08619444,11.03536111,GOOD,GOOD,,,CULTI VACTION,SULUR LILO.NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08619444444444 11.035361111111111, 77.08680555555556 11.034277777777778)"
2,T.NO 1,,T,DC,26,136-1,138.798,2.75,378,"21°13'37""",77.08680556,11.03427778,GOOD,GOOD,HT,,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08680555555556 11.034277777777778, 77.08891666666666 11.032527777777778)"
3,T.NO 2,,T,DC,26,01-Feb,299.1,3.7,379,"15°1'29""",77.08891667,11.03252778,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08891666666666 11.032527777777778, 77.08944444444444 11.031777777777778)"
4,T.NO 3,,T,DD,28,02-Mar,103.228,2.88,377,"41°32'30""",77.08944444,11.03177778,GOOD,GOOD,,RAILWAY ,PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08944444444444 11.031777777777778, 77.091 11.031416666666667)"
5,T.NO 4,,T,DB,24,03-Apr,174.416,3.02,376,"3°10'15""",77.091,11.03141667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.091 11.031416666666667, 77.09424999999999 11.030833333333334)"
6,T.NO 5,,T,DC,26,04-May,360.203,5.24,374,"23°15'7""",77.09425,11.03083333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09424999999999 11.030833333333334, 77.0975 11.031583333333334)"
7,T.NO 6,,T,DD,28,05-Jun,364.062,2.49,371,"68°38'10""",77.0975,11.03158333,GOOD,GOOD,HT,TAAR ROAD,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0975 11.031583333333334, 77.09825 11.030472222222222)"
8,T.NO 7,,T,DC,26,06-Jul,148.691,5.27,370,"24°4'48""",77.09825,11.03047222,GOOD,GOOD,HT,,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09825 11.030472222222222, 77.09994444444445 11.029444444444445)"
9,T.NO 8,,T,DB,24,07-Aug,217.117,2.79,368,"10°16'55""",77.09994444,11.02944444,GOOD,GOOD,,TAAR ROAD,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09994444444445 11.029444444444445, 77.10205555555555 11.02863888888889)"
10,T.NO 9 LILO ,2W,T,DC,26,08-Sep,248.129,7.25,364,"25°50'29""",77.10205556,11.02863889,GOOD,GOOD,LT, TAAR ROAD,PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10205555555555 11.02863888888889, 77.10269444444444 11.027972222222223)"
11,T.NO 10,,T,DC,26,09-Oct,100.449,3.26,370,"20°7'45""",77.10269444,11.02797222,GOOD,GOOD,,,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10269444444444 11.027972222222223, 77.1036111111111 11.025833333333335)"
