S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 1 ELLA PALAYAM LILO,,T,DC,26,,,4.75,393,,77.07738889,11.1985,GOOD,GOOD,,,PLAIN,ELLAPALAYAM LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07738888888889 11.198500000000001, 77.07680555555555 11.197277777777778)"
2,T.NO 2,,T,DC,26,01-Feb,150.3063538,3.96,394,"18°33'21""",77.07680556,11.19727778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07680555555555 11.197277777777778, 77.07658333333333 11.195416666666667)"
3,T.NO 3,,T,DD,28,02-Mar,207.3933461,2.67,392,"80°41'30""",77.07658333,11.19541667,GOOD,GOOD,"LT,11KV",,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07658333333333 11.195416666666667, 77.07419444444444 11.195333333333334)"
4,T.NO 4,,T,DD,28,03-Apr,258.278919,5.05,395,"56°38'14""",77.07419444,11.19533333,GOOD,GOOD,11KV,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07419444444444 11.195333333333334, 77.0735 11.194194444444445)"
5,T.NO 5,,T,DC,26,04-May,148.8623525,2.86,396,"21°29'12""",77.0735,11.19419444,GOOD,GOOD,"2nosLT,2nos11KV",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0735 11.194194444444445, 77.07111111111111 11.192388888888889)"
6,T.NO 6,,T,DD,28,05-Jun,327.8444753,6.13,388,"32°8'38""",77.07111111,11.19238889,GOOD,GOOD,,DRAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07111111111111 11.192388888888889, 77.07033333333332 11.190277777777778)"
7,T.NO 7,,T,DD,28,06-Jul,248.0201605,4.64,390,"53°36'5""",77.07033333,11.19027778,GOOD,GOOD,,DRAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07033333333332 11.190277777777778, 77.07152777777777 11.188444444444444)"
8,T.NO 8,,T,DD,28,07-Aug,242.4046204,8.79,395,"65°24'49""",77.07152778,11.18844444,GOOD,GOOD,,DRAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07152777777777 11.188444444444444, 77.07172222222222 11.188472222222222)"
9,GANTRY ELLA PALAYAM 110kv SS,2W,T,GANTRY,20,,19.23538406,,394,,77.07172222,11.18847222,GOOD,MISSING,,,,110KV ELLAPALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
