S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 26 KUPPEYAMPALAYAM LILO,,T,DC,26,,,4.23,427,,77.02622222,11.20808333,GOOD,GOOD,,,PLAIN,KUPPEYAMPALAYAM LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02622222222222 11.208083333333333, 77.02447222222222 11.207749999999999)"
2,T.NO 27,,T,DD,28,26-27,195.3458472,6.34,427,"31°22'3""",77.02447222,11.20775,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02447222222222 11.207749999999999, 77.02419444444445 11.207527777777777)"
3,T.NO 28,,T,DP,20,27-28,40.36087214,7.45,424,"0°33'49""",77.02419444,11.20752778,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02419444444445 11.207527777777777, 77.02388888888889 11.20725)"
4,T.NO 29,,T,DP,20,28-29,45.3431362,4.75,426,"6°35'21""",77.02388889,11.20725,GOOD,GOOD,230KV CROSSING ABOVE,,CULTIVACTION,PUSEP-ARASUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02388888888889 11.20725, 77.02363888888888 11.206972222222221)"
5,T.NO 30,,T,DD,28,29-30,40.36087214,5.33,426,"51°18'48""",77.02363889,11.20697222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02363888888888 11.206972222222221, 77.02163888888889 11.20711111111111)"
6,T.NO 31,,S ,DA,26,30-31,216.3330765,7.22,416,,77.02163889,11.20711111,GOOD,GOOD,LT,TAAR ROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02163888888889 11.20711111111111, 77.01911111111112 11.207277777777778)"
7,T.NO 32,,S,DA,26,31-32,277.5211704,3.95,409,,77.01911111,11.20727778,GOOD,GOOD,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01911111111112 11.207277777777778, 77.01663888888889 11.207416666666665)"
8,T.NO 33,,T,DB,24,32-33,270.4163457,6.95,407,"4°36'35""",77.01663889,11.20741667,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01663888888889 11.207416666666665, 77.01505555555555 11.207388888888888)"
9,T.NO 34,,T,DB,24,33-34,175.0457083,6.02,407,"5°7'24""",77.01505556,11.20738889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01505555555555 11.207388888888888, 77.01366666666667 11.2075)"
10,T.NO 35,,T,DD,28,34-35,150.3329638,7.85,408,"88°44'59""",77.01366667,11.2075,GOOD,GOOD,22KV,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01366666666667 11.2075, 77.01369444444444 11.20811111111111)"
11,GANTRY KUPPEYAM PALAYAM 110kv SS,2W,T,GANTRY,20,35-GANTRY,67.06713055,,408,,77.01369444,11.20811111,GOOD,MISSING,LT,,,110KV KUPPEYAMPALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
