S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT-ICHIPATTI 110kv SS,2W,T,GANTRY,15,,,,382,"0°00'00""",77.20091667,11.039,GOOD,EARTH WIRE NOT PROVIDED,NIL,NIL,PLAIN,EARTH WIRE  TERMINATED IN TAKE OFF TOWER OF ICHIPATTI 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20091666666667 11.039, 77.20058333333334 11.038833333333333)"
2,T.NO 44 ,,T,DD,28,GT-44,38.47076812,3.34,381,"101°45'52""",77.20058333,11.03883333,GOOD,GOOD,NIL,NIL,PLAIN,ICHIPATTY LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20058333333334 11.038833333333333, 77.20027777777779 11.039916666666667)"
3,T.NO 43,,T,DD,28,44-43,125.9603112,2.8,380,"74°4'11""",77.20027778,11.03991667,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20027777777779 11.039916666666667, 77.19805555555556 11.039944444444444)"
4,T.NO 42,,S ,DA,26,43-42,244,3.87,373,"0°00'00""",77.19805556,11.03994444,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19805555555556 11.039944444444444, 77.19569444444444 11.039916666666667)"
5,T.NO 41,,S,DA,26,42-41,258.0174413,6.05,372,"0°00'00""",77.19569444,11.03991667,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19569444444444 11.039916666666667, 77.19325 11.039944444444444)"
6,T.NO 40,,S,DA,26,41-40,266.0018797,8.4,372,"0°00'00""",77.19325,11.03994444,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19325 11.039944444444444, 77.19030555555555 11.039944444444444)"
7,T.NO 39,,S,DA,26,40-39,322.0062111,8.97,370,"0°00'00""",77.19030556,11.03994444,GOOD,GOOD,LT,MUDROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19030555555555 11.039944444444444, 77.18755555555556 11.039944444444444)"
8,T.NO 38,,S,DA,26,39-38,301.0066444,6.53,372,"0°00'00""",77.18755556,11.03994444,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,KAMANAIKENPALAYAM - ANNUR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18755555555556 11.039944444444444, 77.18477777777778 11.039972222222222)"
9,T.NO 37,,T,DD,28,38-37,305.0065573,5.15,369,"56°40'53""",77.18477778,11.03997222,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18477777777778 11.039972222222222, 77.1833888888889 11.042055555555555)"
10,T.NO 36,,S,DA,26,37-36,273.7480594,3.86,375,"0°00'00""",77.18338889,11.04205556,GOOD,GOOD,"3NOS LT,HT",TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1833888888889 11.042055555555555, 77.18222222222222 11.043833333333334)"
11,T.NO 35,,S,DA,26,36-35,236.3154671,4.96,368,"0°00'00""",77.18222222,11.04383333,GOOD,GOOD,NIL,TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18222222222222 11.043833333333334, 77.18100000000001 11.045694444444445)"
12,T.NO 34,2W,T,DC,26,35-34,243.238566,6.3,363,"17°24'9""",77.181,11.04569444,GOOD,GOOD,3NOS LT ,MUDROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18100000000001 11.045694444444445, 77.17944444444444 11.046861111111111)"
